time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.0241374,506.158,0.771696,0.851169,288,289.405,1,0.82859,0.1,-0.0241374,0.1,0,8,-1,0,0.0241374,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,422,-44,0,0,0,3.54499,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.191403,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,201.449,0.0241559,512.342,0.769161,0.848964,288.037,289.405,0.971449,0.82859,0.1,-0.0241559,0.100077,0,7.99288,-0.992884,0.000436331,0.0241559,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,421.681,-43.6811,0,0,0,3.54771,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.191452,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,202.95,0.0250025,518.73,0.766643,0.846797,288.074,289.442,0.943432,0.801145,0.1,-0.0242887,0.100153,0,7.98575,-0.98575,0.000872654,0.0248246,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,421.356,-43.3559,0,0,0,3.64544,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.193838,0,0,0.595608,30,0,0.4,0.6,1724,0,0,0,0.297804,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,204.503,0.0258912,525.102,0.764143,0.844669,288.111,289.478,0.915967,0.774239,0.1,-0.0244266,0.10023,0,7.97859,-0.978592,0.00130896,0.0255223,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,421.024,-43.024,0,0,0,3.7469,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.196299,0,0,0.886689,30,0,0.4,0.6,1724,0,0,0,0.443344,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,206.112,0.0268238,531.454,0.76166,0.842581,288.148,289.513,0.889076,0.747893,0.1,-0.0245697,0.100307,0,7.9714,-0.971402,0.00174524,0.0262496,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,420.685,-42.6854,0,0,0,3.85215,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.198836,0,0,1.1731,30,0,0.4,0.6,1724,0,0,0,0.586552,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,207.781,0.0278021,537.786,0.759193,0.840533,288.184,289.549,0.862779,0.722129,0.1,-0.0247182,0.100383,0,7.96418,-0.964176,0.00218149,0.027007,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,420.34,-42.3399,0,0,0,3.96122,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.201446,0,0,1.45471,30,0,0.4,0.6,1724,0,0,0,0.727357,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,209.51,0.0288278,544.099,0.756742,0.838525,288.22,289.584,0.837098,0.696968,0.1,-0.024872,0.10046,0,7.95691,-0.956905,0.00261769,0.027795,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,419.987,-41.9875,0,0,0,4.07411,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.204128,0,0,1.73137,30,0,0.4,0.6,1724,0,0,0,0.865685,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,211.304,0.0299024,550.394,0.754306,0.836559,288.256,289.619,0.812056,0.672435,0.1,-0.0250312,0.100537,0,7.94959,-0.949585,0.00305385,0.0286137,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,419.628,-41.6279,0,0,0,4.1908,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.206879,0,0,2.00293,30,0,0.4,0.6,1724,0,0,0,1.00146,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,213.166,0.0310272,556.672,0.751885,0.834634,288.291,289.654,0.787676,0.648552,0.1,-0.0251958,0.100614,0,7.94221,-0.94221,0.00348995,0.0294629,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,419.261,-41.2612,0,0,0,4.31121,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.209695,0,0,2.26923,30,0,0.4,0.6,1724,0,0,0,1.13462,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,215.098,0.0322032,562.933,0.749479,0.832752,288.327,289.688,0.763983,0.625345,0.1,-0.0253657,0.10069,0,7.93477,-0.934775,0.00392598,0.0303422,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,418.887,-40.8872,0,0,0,4.43519,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.212571,0,0,2.53013,30,0,0.4,0.6,1724,0,0,0,1.26507,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.166667,6.96667,217.104,0.033431,569.178,0.747087,0.830913,288.362,289.722,0.740999,0.602837,0.1,-0.0255407,0.100767,0,7.92727,-0.927275,0.00436194,0.0312504,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,418.506,-40.5059,0,0,0,4.56255,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.2155,0,0,2.78548,30,0,0.4,0.6,1724,0,0,0,1.39274,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.183333,6.98333,219.187,0.0347106,575.406,0.744708,0.829118,288.396,289.756,0.71875,0.581055,0.1,-0.0257205,0.100844,0,7.91971,-0.919705,0.00479781,0.0321863,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,418.117,-40.1173,0,0,0,4.69302,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.218475,0,0,3.03512,30,0,0.4,0.6,1724,0,0,0,1.51756,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.2,7,221.349,0.0360416,581.619,0.742344,0.827369,288.431,289.79,0.69726,0.560023,0.1,-0.0259049,0.100921,0,7.91206,-0.912064,0.0052336,0.0331477,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,417.722,-39.7215,0,0,0,4.82623,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.221487,0,0,3.27892,30,0,0.4,0.6,1724,0,0,0,1.63946,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.216667,7.01667,223.595,0.0374227,587.815,0.739994,0.825667,288.465,289.823,0.676553,0.539766,0.1,-0.0260933,0.100997,0,7.90435,-0.904349,0.00566928,0.0341319,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,417.319,-39.3186,0,0,0,4.96172,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.224525,0,0,3.51672,30,0,0.4,0.6,1724,0,0,0,1.75836,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.233333,7.03333,225.926,0.0388516,593.994,0.737658,0.824012,288.499,289.856,0.656652,0.520309,0.1,-0.0262852,0.101074,0,7.89656,-0.896559,0.00610485,0.0351354,0,6,4,-4,4,-0.0748845,0.049923,-1.68911e-311,-1.4472e-311,0,0,0,-0,0,416.909,-38.9087,0,0,0,5.09893,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.227576,0,0,3.7484,30,0,0.4,0.6,1724,0,0,0,1.8742,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
