time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.0283778,506.158,0.771696,0.851169,288,289.405,1,0.82859,0.1,-0.0283778,0.117568,0,8,-1,0.1,0.0283778,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,422,-44,0,0,0,4.16778,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.202013,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,201.703,0.0283778,506.002,0.77185,0.852043,288.039,289.405,0.971703,0.82859,0.1,-0.0283778,0.117568,0,8.02149,-1.02149,0.1,0.0283778,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.625,-43.6254,0,0,0,4.16778,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.202013,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,203.474,0.0295265,506.034,0.771943,0.852881,288.077,289.448,0.944051,0.796373,0.1,-0.0286909,0.11757,0,8.04226,-1.04226,0.1,0.0301609,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.242,-43.2422,0,0,0,4.29955,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.211088,0,0,0.594833,30,0,0.4,0.6,1724,0,0,0,0.297416,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,205.319,0.0307408,506.122,0.771972,0.853682,288.115,289.49,0.917072,0.764929,0.1,-0.0290209,0.117573,0,8.0623,-1.0623,0.1,0.03204,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,420.85,-42.8503,0,0,0,4.43707,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.220412,0,0,0.884318,30,0,0.4,0.6,1724,0,0,0,0.442159,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,207.24,0.0320242,506.322,0.771937,0.854446,288.153,289.532,0.890796,0.734289,0.1,-0.0293685,0.117575,0,8.08158,-1.08158,0.1,0.0340194,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,420.449,-42.4493,0,0,0,4.58041,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.229987,0,0,1.16827,30,0,0.4,0.6,1724,0,0,0,0.584135,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,209.243,0.0333796,506.655,0.771836,0.855174,288.19,289.573,0.865252,0.704486,0.1,-0.0297344,0.117577,0,8.10008,-1.10008,0.1,0.0361028,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,420.039,-42.039,0,0,0,4.72959,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.239813,0,0,1.4465,30,0,0.4,0.6,1724,0,0,0,0.72325,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,211.332,0.0348097,507.273,0.771667,0.855866,288.228,289.614,0.840472,0.675556,0.1,-0.0301192,0.11758,0,8.11778,-1.11778,0.1,0.0382936,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,419.619,-41.6194,0,0,0,4.88456,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.248862,0,0,1.71881,30,0,0.4,0.6,1724,0,0,0,0.859405,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,213.511,0.0363168,508.024,0.771428,0.856522,288.265,289.655,0.816488,0.647535,0.1,-0.0305232,0.117582,0,8.13464,-1.13464,0.1,0.0405941,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,419.19,-41.1903,0,0,0,5.04517,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.258105,0,0,1.985,30,0,0.4,0.6,1724,0,0,0,0.992501,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,215.785,0.0379024,509.045,0.77112,0.857142,288.301,289.695,0.793335,0.620458,0.1,-0.0309469,0.117584,0,8.15066,-1.15066,0.1,0.0430057,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,418.752,-40.7515,0,0,0,5.21115,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.267533,0,0,2.24488,30,0,0.4,0.6,1724,0,0,0,1.12244,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,218.159,0.0395672,510.168,0.770741,0.857728,288.338,289.735,0.771046,0.594363,0.1,-0.03139,0.117586,0,8.16581,-1.16581,0.1,0.0455283,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,418.303,-40.3032,0,0,0,5.38209,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.277134,0,0,2.49823,30,0,0.4,0.6,1724,0,0,0,1.24912,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
