time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.0199029,506.158,0.771696,0.851169,288,289.405,1,1.00488,0.1,-0.0199029,0.1,0,8,0,0,-0,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,422,-44,0,0,0,2.92308,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,201.195,0.0199181,510.513,0.769921,0.849692,288.036,289.405,0.971195,1.00488,0.1,-0.0199181,0.100077,0,8.00013,-0.000130899,0.000436331,-0,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,421.737,-43.7371,0,0,0,2.92532,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,202.427,0.0205251,514.997,0.768174,0.848259,288.072,289.442,0.942818,0.975912,0.1,-0.0199339,0.100153,0,8.00039,-0.000390339,0.000872654,2.68672e-006,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,421.469,-43.4694,0,0,0,2.99645,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,2.31443e-005,0,0,0.596382,30,0,0.4,0.6,1724,0,0,0,0.298191,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,203.696,0.0211601,519.429,0.766453,0.846871,288.107,289.478,0.914882,0.94735,0.1,-0.0199501,0.10023,0,8.00078,-0.000775871,0.00130896,8.25961e-006,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,421.197,-43.1967,0,0,0,3.07024,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,7.02105e-005,0,0,0.889045,30,0,0.4,0.6,1724,0,0,0,0.444523,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,205.006,0.0218246,523.805,0.76476,0.845528,288.143,289.513,0.887401,0.91921,0.1,-0.0199669,0.100307,0,8.00128,-0.00128496,0.00174524,1.6933e-005,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,420.919,-42.919,0,0,0,3.14679,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.000142011,0,0,1.17789,30,0,0.4,0.6,1724,0,0,0,0.588943,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,206.357,0.02252,528.125,0.763093,0.844231,288.178,289.549,0.860392,0.891506,0.1,-0.0199842,0.100383,0,8.00191,-0.00191495,0.00218149,2.89371e-005,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,420.636,-42.6362,0,0,0,3.22619,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.000239394,0,0,1.4628,30,0,0.4,0.6,1724,0,0,0,0.731399,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,207.752,0.0232478,532.39,0.761453,0.84298,288.213,289.584,0.83387,0.864254,0.1,-0.0200022,0.10046,0,8.00266,-0.00266313,0.00261769,4.45185e-005,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,420.348,-42.348,0,0,0,3.30851,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.000363241,0,0,1.74367,30,0,0.4,0.6,1724,0,0,0,0.871834,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,209.192,0.0240096,536.598,0.759838,0.841777,288.247,289.62,0.807851,0.837471,0.1,-0.0200209,0.100537,0,8.00353,-0.00352663,0.00305385,6.39407e-005,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,420.054,-42.0543,0,0,0,3.39383,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.000514469,0,0,2.02038,30,0,0.4,0.6,1724,0,0,0,1.01019,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,210.681,0.024807,540.75,0.75825,0.840621,288.282,289.655,0.782351,0.811173,0.1,-0.0200403,0.100614,0,8.0045,-0.00450252,0.00348995,8.7485e-005,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,419.755,-41.7551,0,0,0,3.48222,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.000694025,0,0,2.29283,30,0,0.4,0.6,1724,0,0,0,1.14641,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,212.219,0.0256413,544.847,0.756687,0.839513,288.316,289.689,0.75739,0.785377,0.1,-0.0200605,0.10069,0,8.00559,-0.00558772,0.00392598,0.00011545,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,419.45,-41.4502,0,0,0,3.57373,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.000902888,0,0,2.56087,30,0,0.4,0.6,1724,0,0,0,1.28044,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.166667,6.96667,213.81,0.0265141,548.889,0.755149,0.838454,288.35,289.724,0.732985,0.760103,0.1,-0.0200815,0.100767,0,8.00678,-0.00677907,0.00436194,0.000148153,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,419.139,-41.1395,0,0,0,3.66838,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.00114206,0,0,2.8244,30,0,0.4,0.6,1724,0,0,0,1.4122,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.183333,6.98333,215.456,0.0274267,552.875,0.753637,0.837445,288.384,289.758,0.709155,0.735369,0.1,-0.0201034,0.100844,0,8.00807,-0.00807327,0.00479781,0.000185928,0,6,4,-4,4,-0.0748845,0.049923,-8.48798e-312,-6.36599e-312,0,0,0,-0,0,418.823,-40.8228,0,0,0,3.76621,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.00141256,0,0,3.08329,30,0,0.4,0.6,1724,0,0,0,1.54164,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
