time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.0233994,506.158,0.771696,0.851169,288,289.405,1,1.00488,0.1,-0.0233994,0.117568,0,8,0,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,422,-44,0,0,0,3.43661,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,201.404,0.0233994,503.838,0.772744,0.852898,288.037,289.405,0.971404,1.00488,0.1,-0.0233994,0.117568,0,8.03,-0.03,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.691,-43.6911,0,0,0,3.43661,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,202.857,0.0242195,501.572,0.773753,0.854609,288.074,289.448,0.943323,0.970873,0.1,-0.0235269,0.11757,0,8.05957,-0.0595744,0.1,0.000726585,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.376,-43.3759,0,0,0,3.53208,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.00561196,0,0,0.595744,30,0,0.4,0.6,1724,0,0,0,0.297872,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,204.362,0.0250833,499.401,0.774723,0.856301,288.11,289.49,0.915777,0.937458,0.1,-0.0236616,0.117573,0,8.08871,-0.0887099,0.1,0.00149432,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.054,-43.0541,0,0,0,3.63165,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0113688,0,0,0.887099,30,0,0.4,0.6,1724,0,0,0,0.44355,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,205.922,0.0259933,497.329,0.775652,0.857975,288.147,289.532,0.888786,0.904656,0.1,-0.023804,0.117575,0,8.11739,-0.117393,0.1,0.00230586,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,420.726,-42.7255,0,0,0,3.73549,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.017205,0,0,1.17393,30,0,0.4,0.6,1724,0,0,0,0.586963,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,207.539,0.0269521,495.356,0.776541,0.859632,288.183,289.574,0.862372,0.87249,0.1,-0.0239546,0.117577,0,8.14561,-0.145608,0.1,0.00316397,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,420.39,-42.39,0,0,0,3.84372,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0231519,0,0,1.45608,30,0,0.4,0.6,1724,0,0,0,0.72804,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,209.217,0.0279623,493.485,0.777387,0.861271,288.219,289.615,0.836557,0.840984,0.1,-0.0241139,0.117579,0,8.17334,-0.173341,0.1,0.00407153,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,420.047,-42.0473,0,0,0,3.95647,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0292159,0,0,1.73341,30,0,0.4,0.6,1724,0,0,0,0.866706,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,210.958,0.0290266,491.717,0.778191,0.862894,288.254,289.656,0.811364,0.810164,0.1,-0.0242824,0.117581,0,8.20058,-0.200577,0.1,0.0050315,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,419.697,-41.6973,0,0,0,4.07386,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0354034,0,0,2.00577,30,0,0.4,0.6,1724,0,0,0,1.00288,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,212.767,0.0301475,490.056,0.778951,0.864501,288.29,289.696,0.786819,0.780055,0.1,-0.0244606,0.117584,0,8.2273,-0.227298,0.1,0.00604688,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,419.34,-41.3398,0,0,0,4.19596,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0417206,0,0,2.27298,30,0,0.4,0.6,1724,0,0,0,1.13649,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,214.647,0.0313275,488.502,0.779667,0.866092,288.325,289.737,0.762946,0.750686,0.1,-0.0246491,0.117586,0,8.25349,-0.25349,0.1,0.00712069,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,418.975,-40.9746,0,0,0,4.32281,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0481728,0,0,2.5349,30,0,0.4,0.6,1724,0,0,0,1.26745,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
