time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.190501,506.158,0.771696,0.851169,288,289.405,1,0.12343,0.1,-0.190501,0.117568,0,8,-5,0.1,0.952507,0,6,4,-4,4,-0.0748845,0.049923,-1.53755e-295,-5.56094e-292,0,0,0,-0,0,422,-44,0,0,0,27.9784,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,2.61703,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,211.43,0.190501,578.231,0.742842,0.824136,288.087,289.405,0.98143,0.12343,0.1,-0.190501,0.117568,0,7.74425,-4.74425,0.1,0.952507,0,6,4,-4,4,-0.0748845,0.049923,-1.53755e-295,-5.56094e-292,0,0,0,-0,0,419.485,-41.4854,0,0,0,27.9784,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,2.61703,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,220.867,0.157284,632.56,0.721889,0.804752,288.159,289.448,0.965869,0.149504,0.1,-0.154363,0.117573,0,7.56087,-4.56087,0.1,0.746194,0,6,4,-4,4,-0.0748845,0.049923,-1.53755e-295,-5.56094e-292,0,0,0,-0,0,417.634,-39.6337,0,0,0,21.7797,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,2.29854,0,0,0.570391,30,0,0.4,0.6,1724,0,0,0,0.285196,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,229.37,0.141712,678.03,0.704793,0.789106,288.224,289.488,0.952536,0.165939,0.1,-0.136875,0.117578,0,7.41246,-4.41246,0.1,0.646328,0,6,4,-4,4,-0.0748845,0.049923,-1.53755e-295,-5.56094e-292,0,0,0,-0,0,416.108,-38.1079,0,0,0,18.7475,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,2.12824,0,0,0.82009,30,0,0.4,0.6,1724,0,0,0,0.410045,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,237.275,0.131746,717.715,0.690198,0.775882,288.283,289.527,0.940979,0.178497,0.1,-0.125493,0.117582,0,7.28655,-4.28655,0.1,0.581325,0,6,4,-4,4,-0.0748845,0.049923,-1.53755e-295,-5.56094e-292,0,0,0,-0,0,414.795,-36.7946,0,0,0,16.7581,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,2.01046,0,0,1.05341,30,0,0.4,0.6,1724,0,0,0,0.526707,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,244.744,0.124494,753.066,0.677415,0.764415,288.338,289.564,0.930887,0.188901,0.1,-0.117146,0.117585,0,7.17689,-4.17689,0.1,0.533649,0,6,4,-4,4,-0.0748845,0.049923,-1.53755e-295,-5.56094e-292,0,0,0,-0,0,413.636,-35.6363,0,0,0,15.2899,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.92017,0,0,1.27312,30,0,0.4,0.6,1724,0,0,0,0.636561,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,251.873,0.118816,785.2,0.666031,0.754302,288.389,289.6,0.92203,0.197934,0.1,-0.110604,0.117589,0,7.07974,-4.07974,0.1,0.496281,0,6,4,-4,4,-0.0748845,0.049923,-1.53755e-295,-5.56094e-292,0,0,0,-0,0,412.598,-34.5983,0,0,0,14.1332,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.8469,0,0,1.48119,30,0,0.4,0.6,1724,0,0,0,0.740596,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,258.723,0.114156,814.63,0.655772,0.745277,288.438,289.635,0.914231,0.20602,0.1,-0.105255,0.117592,0,6.99262,-3.99262,0.1,0.465726,0,6,4,-4,4,-0.0748845,0.049923,-1.53755e-295,-5.56094e-292,0,0,0,-0,0,411.657,-33.6574,0,0,0,13.1833,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.78524,0,0,1.67913,30,0,0.4,0.6,1724,0,0,0,0.839564,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,265.335,0.110203,841.796,0.646441,0.737151,288.485,289.668,0.907349,0.213414,0.1,-0.100751,0.117595,0,6.91377,-3.91377,0.1,0.44,0,6,4,-4,4,-0.0748845,0.049923,-1.53755e-295,-5.56094e-292,0,0,0,-0,0,410.797,-32.7972,0,0,0,12.3808,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.73206,0,0,1.86812,30,0,0.4,0.6,1724,0,0,0,0.934062,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,271.741,0.106771,867.027,0.637895,0.72978,288.529,289.701,0.901266,0.220281,0.1,-0.0968782,0.117598,0,6.84189,-3.84189,0.1,0.417876,0,6,4,-4,4,-0.0748845,0.049923,-1.53755e-295,-5.56094e-292,0,0,0,-0,0,410.005,-32.0054,0,0,0,11.6886,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.68534,0,0,2.04915,30,0,0.4,0.6,1724,0,0,0,1.02457,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
