time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.0035136,29700,0,0,288,288,1,1,0,-0.0035136,0.017568,0,0,0,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-1.00623e-290,-0,0,0,0,-0,0,422,-44,0,0,0,0.516033,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,199.616,0.00360087,-inf,0.00289363,0.00319099,288.001,288,1.00009,1,0.000436331,-0.00360087,0.0180043,0,0.03,-0.03,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-1.00623e-290,-0,0,0,0,-0,0,421.952,-43.9525,0,0,0,0.528849,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,199.24,0.00370737,-inf,0.00578909,0.00638272,288.003,288.006,1.00004,0.994815,0.000872654,-0.00370768,0.0184407,0,0.0600243,-0.0600243,0.1,0.000111221,0,6,4,-4,4,-0.0748845,0.049923,-1.00623e-290,-0,0,0,0,-0,0,421.903,-43.9035,0,0,0,0.543903,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.00297851,0,0,0.600243,30,0,0.4,0.6,1724,0,0,0,0.300121,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,198.871,0.00381549,-inf,0.008686,0.0095748,288.004,288.013,0.999873,0.989498,0.00130896,-0.00381566,0.0188771,0,0.0900698,-0.0900698,0.1,0.000229022,0,6,4,-4,4,-0.0748845,0.049923,-1.00623e-290,-0,0,0,0,-0,0,421.853,-43.853,0,0,0,0.559142,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0104242,0,0,0.900698,30,0,0.4,0.6,1724,0,0,0,0.450349,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,198.51,0.00392531,-inf,0.0115839,0.0127668,288.006,288.02,0.999576,0.98405,0.00174524,-0.00392481,0.0193135,0,0.120133,-0.120133,0.1,0.000353552,0,6,4,-4,4,-0.0748845,0.049923,-1.00623e-290,-0,0,0,0,-0,0,421.801,-43.8011,0,0,0,0.574574,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0157956,0,0,1.20133,30,0,0.4,0.6,1724,0,0,0,0.600667,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,198.156,0.00403688,-inf,0.0144825,0.0159584,288.008,288.027,0.99915,0.97847,0.00218149,-0.00403517,0.0197498,0,0.150212,-0.150212,0.1,0.000484965,0,6,4,-4,4,-0.0748845,0.049923,-1.00623e-290,-0,0,0,0,-0,0,421.748,-43.7477,0,0,0,0.590206,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.021273,0,0,1.50212,30,0,0.4,0.6,1724,0,0,0,0.75106,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,197.811,0.00415029,-inf,0.0173814,0.0191492,288.01,288.034,0.998596,0.97276,0.00261769,-0.00414676,0.0201862,0,0.180302,-0.180302,0.1,0.000623423,0,6,4,-4,4,-0.0748845,0.049923,-1.00623e-290,-0,0,0,0,-0,0,421.693,-43.6927,0,0,0,0.606045,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0268564,0,0,1.80302,30,0,0.4,0.6,1724,0,0,0,0.901512,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,197.473,0.0042656,-inf,0.02028,0.0223386,288.012,288.041,0.997913,0.966919,0.00305385,-0.00425961,0.0206224,0,0.210401,-0.210401,0.1,0.000769098,0,6,4,-4,4,-0.0748845,0.049923,-1.00623e-290,-0,0,0,0,-0,0,421.636,-43.6362,0,0,0,0.622101,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.032546,0,0,2.10401,30,0,0.4,0.6,1724,0,0,0,1.05201,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,197.144,0.00438289,-inf,0.0231781,0.0255263,288.014,288.049,0.997102,0.960948,0.00348995,-0.00437375,0.0210587,0,0.240505,-0.240505,0.1,0.000922166,0,6,4,-4,4,-0.0748845,0.049923,-1.00623e-290,-0,0,0,0,-0,0,421.578,-43.578,0,0,0,0.638381,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.038342,0,0,2.40505,30,0,0.4,0.6,1724,0,0,0,1.20252,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,196.823,0.00450226,-inf,0.0260751,0.0287119,288.017,288.057,0.996162,0.954848,0.00392598,-0.00448921,0.0214949,0,0.27061,-0.27061,0.1,0.00108281,0,6,4,-4,4,-0.0748845,0.049923,-1.00623e-290,-0,0,0,0,-0,0,421.518,-43.5183,0,0,0,0.654893,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0442447,0,0,2.7061,30,0,0.4,0.6,1724,0,0,0,1.35305,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
