time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.0235136,29700,0,0,288,288,1,1,0.1,-0.0235136,0.117568,0,0,0,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,422,-44,0,0,0,3.45338,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,200.811,0.0235136,-inf,0.00288696,0.00318542,288.037,288,0.971411,1,0.1,-0.0235136,0.117568,0,0.03,-0.03,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.69,-43.6896,0,0,0,3.45338,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,201.669,0.0243381,-inf,0.00572761,0.00632221,288.074,288.042,0.94323,0.96614,0.1,-0.0236423,0.11757,0,0.0596607,-0.0596607,0.1,0.000730144,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.372,-43.3719,0,0,0,3.54926,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.00561561,0,0,0.596607,30,0,0.4,0.6,1724,0,0,0,0.298304,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,202.576,0.02521,-inf,0.00852068,0.00940911,288.111,288.084,0.915479,0.932746,0.1,-0.0237788,0.117573,0,0.088965,-0.088965,0.1,0.00150405,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.047,-43.0466,0,0,0,3.64967,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0197148,0,0,0.88965,30,0,0.4,0.6,1724,0,0,0,0.444825,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,203.536,0.0261323,-inf,0.0112648,0.0124448,288.148,288.126,0.888182,0.899843,0.1,-0.0239235,0.117575,0,0.117895,-0.117895,0.1,0.00232486,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,420.713,-42.7134,0,0,0,3.75481,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0299768,0,0,1.17895,30,0,0.4,0.6,1724,0,0,0,0.589474,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,204.552,0.0271083,-inf,0.0139586,0.015428,288.184,288.168,0.861365,0.86746,0.1,-0.0240771,0.117577,0,0.146432,-0.146432,0.1,0.00319594,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,420.372,-42.3721,0,0,0,3.86491,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0405245,0,0,1.46432,30,0,0.4,0.6,1724,0,0,0,0.732158,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,205.627,0.0281417,-inf,0.0166005,0.0183572,288.221,288.21,0.835053,0.835623,0.1,-0.0242403,0.117579,0,0.174555,-0.174555,0.1,0.00412083,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,420.022,-42.0223,0,0,0,3.98017,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0513702,0,0,1.74555,30,0,0.4,0.6,1724,0,0,0,0.872776,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,206.764,0.0292359,-inf,0.0191889,0.0212309,288.257,288.251,0.809276,0.804364,0.1,-0.0244135,0.117581,0,0.202245,-0.202245,0.1,0.00510327,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,419.664,-41.6638,0,0,0,4.1008,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0625259,0,0,2.02245,30,0,0.4,0.6,1724,0,0,0,1.01123,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,207.968,0.0303946,-inf,0.0217224,0.0240476,288.293,288.292,0.784061,0.773713,0.1,-0.0245976,0.117584,0,0.22948,-0.22948,0.1,0.00614716,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,419.296,-41.2964,0,0,0,4.22696,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0740036,0,0,2.2948,30,0,0.4,0.6,1724,0,0,0,1.1474,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,209.241,0.0316216,-inf,0.0241991,0.0268056,288.329,288.333,0.759441,0.743705,0.1,-0.0247933,0.117586,0,0.256237,-0.256237,0.1,0.00725653,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,418.92,-40.9196,0,0,0,4.35881,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0858148,0,0,2.56237,30,0,0.4,0.6,1724,0,0,0,1.28118,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
