time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.0035136,29700,0,0,288,288,1,1,0,-0.0035136,0.017568,0,0,0,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,422,-44,0,0,0,0.516033,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,200.096,0.00360087,-inf,0.00289363,0.00319179,288.001,288,1.00009,1,0.000436331,-0.00360087,0.0180043,0,0.03,-0.03,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.952,-43.9525,0,0,0,0.528849,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,200.198,0.00370737,-inf,0.00578215,0.00637826,288.003,288.006,1.00005,0.994815,0.000872654,-0.00370768,0.0184407,0,0.0599522,-0.0599522,0.1,0.000111221,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.904,-43.9036,0,0,0,0.543903,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0029809,0,0,0.599522,30,0,0.4,0.6,1724,0,0,0,0.299761,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,200.307,0.00381543,-inf,0.00866519,0.00955904,288.004,288.013,0.999884,0.989514,0.00130896,-0.00381561,0.0188771,0,0.089854,-0.089854,0.1,0.000228744,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.853,-43.8534,0,0,0,0.559134,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0104283,0,0,0.89854,30,0,0.4,0.6,1724,0,0,0,0.44927,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,200.423,0.00392511,-inf,0.0115424,0.0127338,288.006,288.02,0.999599,0.984098,0.00174524,-0.00392466,0.0193135,0,0.119702,-0.119702,0.1,0.000352687,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.802,-43.8018,0,0,0,0.57455,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0157952,0,0,1.19702,30,0,0.4,0.6,1724,0,0,0,0.598511,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,200.545,0.00403647,-inf,0.0144134,0.0159021,288.008,288.027,0.999191,0.978569,0.00218149,-0.00403485,0.0197498,0,0.149494,-0.149494,0.1,0.000483175,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.749,-43.7489,0,0,0,0.590156,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0212635,0,0,1.49494,30,0,0.4,0.6,1724,0,0,0,0.747472,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,200.673,0.00414957,-inf,0.0172778,0.0190636,288.01,288.034,0.998661,0.972927,0.00261769,-0.00414622,0.0201862,0,0.179227,-0.179227,0.1,0.000620338,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.695,-43.6946,0,0,0,0.605959,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0268328,0,0,1.79227,30,0,0.4,0.6,1724,0,0,0,0.896137,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,200.809,0.00426448,-inf,0.0201353,0.0222179,288.012,288.041,0.99801,0.967173,0.00305385,-0.00425877,0.0206224,0,0.208898,-0.208898,0.1,0.000764311,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.639,-43.6389,0,0,0,0.621965,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.032503,0,0,2.08898,30,0,0.4,0.6,1724,0,0,0,1.04449,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,200.951,0.00438125,-inf,0.0229855,0.0253646,288.014,288.049,0.997238,0.961309,0.00348995,-0.00437253,0.0210587,0,0.238504,-0.238504,0.1,0.000915235,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.582,-43.5818,0,0,0,0.638181,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.038274,0,0,2.38504,30,0,0.4,0.6,1724,0,0,0,1.19252,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,201.1,0.00449996,-inf,0.0258279,0.0285034,288.017,288.056,0.996346,0.955335,0.00392598,-0.00448753,0.0214949,0,0.268041,-0.268041,0.1,0.00107326,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.523,-43.5232,0,0,0,0.654614,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0441459,0,0,2.68041,30,0,0.4,0.6,1724,0,0,0,1.34021,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.166667,6.96667,201.257,0.00462068,-inf,0.0286623,0.0316338,288.019,288.064,0.995334,0.949253,0.00436194,-0.00460379,0.021931,0,0.297508,-0.297508,0.1,0.00123853,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.463,-43.4632,0,0,0,0.671272,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0501189,0,0,2.97508,30,0,0.4,0.6,1724,0,0,0,1.48754,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.183333,6.98333,201.421,0.00474347,-inf,0.0314882,0.0347555,288.022,288.072,0.994204,0.943065,0.00479781,-0.00472134,0.022367,0,0.3269,-0.3269,0.1,0.00141122,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.402,-43.4017,0,0,0,0.688161,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.056193,0,0,3.269,30,0,0.4,0.6,1724,0,0,0,1.6345,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.2,7,201.592,0.00486842,-inf,0.0343052,0.0378681,288.025,288.08,0.992956,0.93677,0.0052336,-0.0048402,0.022803,0,0.356214,-0.356214,0.1,0.00159149,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.339,-43.3388,0,0,0,0.70529,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0623688,0,0,3.56214,30,0,0.4,0.6,1724,0,0,0,1.78107,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.216667,7.01667,201.771,0.00499561,-inf,0.037113,0.040971,288.028,288.088,0.99159,0.930371,0.00566928,-0.00496041,0.0232388,0,0.385447,-0.385447,0.1,0.0017795,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.274,-43.2744,0,0,0,0.722665,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0686465,0,0,3.85447,30,0,0.4,0.6,1724,0,0,0,1.92724,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.233333,7.03333,201.957,0.0051251,-inf,0.039911,0.0440641,288.032,288.096,0.990109,0.923868,0.00610485,-0.005082,0.0236746,0,0.414597,-0.414597,0.1,0.00197546,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.208,-43.2084,0,0,0,0.740296,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0750266,0,0,4.14597,30,0,0.4,0.6,1724,0,0,0,2.07298,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.25,7.05,202.152,0.00525699,-inf,0.0426991,0.0471467,288.035,288.105,0.988512,0.917265,0.00654031,-0.00520499,0.0241102,0,0.443658,-0.443658,0.1,0.00217953,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.141,-43.1409,0,0,0,0.758189,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0815097,0,0,4.43658,30,0,0.4,0.6,1724,0,0,0,2.21829,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.266667,7.06667,202.354,0.00539136,-inf,0.0454766,0.0502186,288.039,288.113,0.986801,0.910561,0.00697565,-0.00532942,0.0245458,0,0.472629,-0.472629,0.1,0.00239192,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.072,-43.0719,0,0,0,0.776354,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0880964,0,0,4.72629,30,0,0.4,0.6,1724,0,0,0,2.36315,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.283333,7.08333,202.564,0.0055283,-inf,0.0482432,0.0532792,288.043,288.122,0.984976,0.903758,0.00741085,-0.00545533,0.0249812,0,0.501505,-0.501505,0.1,0.00261284,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,421.001,-43.0013,0,0,0,0.7948,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0947874,0,0,5.01505,30,0,0.4,0.6,1724,0,0,0,2.50753,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.3,7.1,202.783,0.0056679,-inf,0.0509985,0.0563282,288.047,288.131,0.983039,0.896858,0.00784591,-0.00558274,0.0254165,0,0.530284,-0.530284,0.1,0.00284248,0,6,4,-4,4,-0.0748845,0.049923,-1.64445e-319,-2.43633e+289,0,0,0,-0,0,420.929,-42.9291,0,0,0,0.813534,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.101584,0,0,5.30284,30,0,0.4,0.6,1724,0,0,0,2.65142,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
