time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.0235136,29700,0,0,288,288,1,1,0.1,-0.0235136,0.117568,0,0,0,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,nan,nan,0,0,0,-0,0,422,-44,0,0,0,3.45338,nan,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,201.291,0.0235136,-inf,0.00288696,0.00318622,288.037,288,0.971411,1,0.1,-0.0235136,0.117568,0,0.03,-0.03,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,nan,nan,0,0,0,-0,0,nan,nan,0,0,0,3.45338,nan,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,202.63,0.0243381,-inf,0.00572085,0.00631793,288.074,288.042,0.943318,0.96614,0.1,-0.0236423,0.11757,0,0.05959,-0.05959,0.1,0.000730144,0,6,4,-4,4,-0.0748845,0.049923,nan,nan,0,0,0,-0,0,nan,nan,0,0,0,nan,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.00562008,0,0,0.5959,30,0,0.4,0.6,1724,0,0,0,0.29795,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,204.021,0.0252073,-inf,0.00850078,0.00939424,288.111,288.084,0.915741,0.932846,0.1,-0.0237785,0.117573,0,0.0887558,-0.0887558,0.1,0.0015021,0,6,4,-4,4,-0.0748845,0.049923,nan,nan,0,0,0,-0,0,nan,nan,0,0,0,nan,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0197217,0,0,0.887558,30,0,0.4,0.6,1724,0,0,0,0.443779,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,205.466,0.0261236,-inf,0.0112258,0.0124143,288.147,288.126,0.888701,0.900142,0.1,-0.0239224,0.117575,0,0.117483,-0.117483,0.1,0.00231862,0,6,4,-4,4,-0.0748845,0.049923,nan,nan,0,0,0,-0,0,nan,nan,0,0,0,nan,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0299723,0,0,1.17483,30,0,0.4,0.6,1724,0,0,0,0.587413,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,206.968,0.0270899,-inf,0.0138949,0.015377,288.183,288.168,0.862221,0.868051,0.1,-0.0240748,0.117577,0,0.145755,-0.145755,0.1,0.00318259,0,6,4,-4,4,-0.0748845,0.049923,nan,nan,0,0,0,-0,0,nan,nan,0,0,0,nan,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0404962,0,0,1.45755,30,0,0.4,0.6,1724,0,0,0,0.728776,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,208.531,0.0281089,-inf,0.0165069,0.0182816,288.219,288.209,0.836325,0.836599,0.1,-0.0242361,0.117579,0,0.173557,-0.173557,0.1,0.00409701,0,6,4,-4,4,-0.0748845,0.049923,nan,nan,0,0,0,-0,0,nan,nan,0,0,0,nan,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0513034,0,0,1.73557,30,0,0.4,0.6,1724,0,0,0,0.867787,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,210.157,0.0291834,-inf,0.0190609,0.0211268,288.255,288.25,0.811035,0.805811,0.1,-0.0244068,0.117581,0,0.200873,-0.200873,0.1,0.00506499,0,6,4,-4,4,-0.0748845,0.049923,nan,nan,0,0,0,-0,0,nan,nan,0,0,0,nan,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0624035,0,0,2.00873,30,0,0.4,0.6,1724,0,0,0,1.00436,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,211.849,0.0303162,-inf,0.0215557,0.0239116,288.291,288.29,0.786379,0.775715,0.1,-0.0245875,0.117584,0,0.227684,-0.227684,0.1,0.00608969,0,6,4,-4,4,-0.0748845,0.049923,nan,nan,0,0,0,-0,0,nan,nan,0,0,0,nan,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0738057,0,0,2.27684,30,0,0.4,0.6,1724,0,0,0,1.13842,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,213.613,0.03151,-inf,0.0239901,0.026635,288.326,288.331,0.762383,0.746339,0.1,-0.0247788,0.117586,0,0.253974,-0.253974,0.1,0.00717433,0,6,4,-4,4,-0.0748845,0.049923,nan,nan,0,0,0,-0,0,nan,nan,0,0,0,nan,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0855183,0,0,2.53974,30,0,0.4,0.6,1724,0,0,0,1.26987,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
