time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.0235136,29700,0,0,288,288,1,1,0.1,-0.0235136,0.117568,0,0,0,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-1.70073e-313,-1.42904e-284,0,0,0,-0,0,422,-44,0,0,0,3.45338,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,201.411,0.0235136,-inf,0.00288696,0.00318642,288.037,288,0.971411,1,0.1,-0.0235136,0.117568,0,0.03,-0.03,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-1.70073e-313,-1.42904e-284,0,0,0,-0,0,421.69,-43.6896,0,0,0,3.45338,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,202.871,0.0243381,-inf,0.00571917,0.00631686,288.074,288.042,0.94334,0.96614,0.1,-0.0236423,0.11757,0,0.0595724,-0.0595724,0.1,0.000730144,0,6,4,-4,4,-0.0748845,0.049923,-1.70073e-313,-1.42904e-284,0,0,0,-0,0,421.373,-43.3729,0,0,0,3.54926,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.00562119,0,0,0.595724,30,0,0.4,0.6,1724,0,0,0,0.297862,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,204.384,0.0252066,-inf,0.00849583,0.00939055,288.11,288.084,0.915806,0.932871,0.1,-0.0237784,0.117573,0,0.0887037,-0.0887037,0.1,0.00150162,0,6,4,-4,4,-0.0748845,0.049923,-1.70073e-313,-1.42904e-284,0,0,0,-0,0,421.05,-43.0495,0,0,0,3.64926,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0197234,0,0,0.887037,30,0,0.4,0.6,1724,0,0,0,0.443518,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,205.951,0.0261214,-inf,0.0112161,0.0124067,288.147,288.126,0.88883,0.900217,0.1,-0.0239222,0.117575,0,0.11738,-0.11738,0.1,0.00231707,0,6,4,-4,4,-0.0748845,0.049923,-1.70073e-313,-1.42904e-284,0,0,0,-0,0,420.719,-42.7194,0,0,0,3.75351,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0299712,0,0,1.1738,30,0,0.4,0.6,1724,0,0,0,0.5869,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,207.576,0.0270853,-inf,0.013879,0.0153644,288.183,288.168,0.862434,0.868199,0.1,-0.0240742,0.117577,0,0.145587,-0.145587,0.1,0.00317927,0,6,4,-4,4,-0.0748845,0.049923,-1.70073e-313,-1.42904e-284,0,0,0,-0,0,420.382,-42.3823,0,0,0,3.86216,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0404892,0,0,1.45587,30,0,0.4,0.6,1724,0,0,0,0.727935,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,209.262,0.0281007,-inf,0.0164837,0.0182628,288.219,288.209,0.83664,0.836841,0.1,-0.024235,0.117579,0,0.17331,-0.17331,0.1,0.0040911,0,6,4,-4,4,-0.0748845,0.049923,-1.70073e-313,-1.42904e-284,0,0,0,-0,0,420.038,-42.0381,0,0,0,3.97534,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0512869,0,0,1.7331,30,0,0.4,0.6,1724,0,0,0,0.866548,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,211.012,0.0291704,-inf,0.0190292,0.021101,288.255,288.249,0.811472,0.80617,0.1,-0.0244051,0.117581,0,0.200532,-0.200532,0.1,0.0050555,0,6,4,-4,4,-0.0748845,0.049923,-1.70073e-313,-1.42904e-284,0,0,0,-0,0,419.686,-41.6865,0,0,0,4.09314,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0623733,0,0,2.00532,30,0,0.4,0.6,1724,0,0,0,1.00266,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,212.83,0.0302968,-inf,0.0215144,0.023878,288.29,288.29,0.786954,0.776211,0.1,-0.024585,0.117584,0,0.227239,-0.227239,0.1,0.00607548,0,6,4,-4,4,-0.0748845,0.049923,-1.70073e-313,-1.42904e-284,0,0,0,-0,0,419.327,-41.3273,0,0,0,4.21564,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0737568,0,0,2.27239,30,0,0.4,0.6,1724,0,0,0,1.1362,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,214.719,0.0314824,-inf,0.0239383,0.0265929,288.325,288.33,0.763112,0.746992,0.1,-0.0247752,0.117586,0,0.253414,-0.253414,0.1,0.00715404,0,6,4,-4,4,-0.0748845,0.049923,-1.70073e-313,-1.42904e-284,0,0,0,-0,0,418.961,-40.9605,0,0,0,4.34288,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0854452,0,0,2.53414,30,0,0.4,0.6,1724,0,0,0,1.26707,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
