DayOfYear,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.07109905986744,507.38280310652834,632.6550254821777,612.7674907505512,559.9768747210503,578.3314182728529,563.1317561712116,443.5192828178406,282.88511721587275,15.559975986378129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.303833822161,421.5471557617187,517.9541727066468,516.1736284905113,531.0355223731952,551.7566674098373,508.0654957071876,469.8226912096143,319.6628043205713,21.639788043320156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.9987879551016,430.68778592646123,467.2315460436046,456.9730676269908,436.99307142245846,443.0415408436823,453.66876098545833,416.1135841631244,289.5792714823816,21.126195384924923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.4901978932321,376.32983388497604,421.5964308932627,382.6471986952471,425.02490931889616,412.9170655313821,383.51861626817845,347.84195592217145,284.99896845296024,23.68535955664702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.6667022472987,384.2854006255651,443.20318458484996,435.9413233764799,345.2584929503941,270.1420801284567,316.29129339023837,377.88996831665895,282.3299921393394,25.584795546532924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.84208070011132,411.49352418546687,517.2341390351494,523.4668938252377,481.30699548138625,470.5713963627868,509.9267888576579,445.9631530489016,289.73161298655907,34.27014238219999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.5043801787775,419.3470186106744,535.6319274902344,577.76593062957,540.389889383316,520.5565990447999,520.7035562939014,461.91843517699016,307.5322674356168,33.513417928759466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.15924330977725,497.62478017807007,605.9769068373149,610.4320381031546,648.838851506638,641.2780137142166,623.2625908374787,565.8635305091739,398.16013105779786,42.11606378555316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.46705038249493,351.1651008307934,448.25710197190466,448.56404471995467,466.6686647862199,452.159475040437,399.50980551752843,400.4541983122937,333.8320261101577,40.23259568655122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.40590354574746,421.51751056941424,495.5254361888173,475.8176776166028,463.3411557344621,429.7419095395231,390.2453501946048,332.22283471944303,281.5120967548144,32.69931151384632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
