DayOfYear,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
1,0.0,0.0,0.0,0.0,0.0,0.0,0.3166626710444689,58.58642234802246,198.03115062713624,328.3962127685547,381.7626175880432,387.9189190864563,376.25486907958987,315.35644683837893,205.32190685272218,81.9103081703186,2.633965328335762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.3116962149739265,61.0147066116333,183.70827493667602,286.06105642318727,339.46156244277955,369.67685947418215,361.4666856765747,307.4342231750488,212.49781951904296,84.90044107437134,3.151635502278805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.2820046961307526,56.784566926956174,176.39529247283934,268.4845006942749,311.7726194381714,324.44355335235593,319.8452431678772,278.675722694397,200.2021682739258,81.51118607521057,3.3128293618559836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.2614416217431426,53.39381513595581,152.47041273117065,248.87290077209474,294.6894323348999,305.95643043518066,299.90559129714967,255.7697551727295,170.74344596862792,81.5773904800415,3.7218193858861923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.23571693561971188,49.36875009536743,159.17639608383178,246.43548994064332,292.3417488098145,293.7574682235718,262.6622852325439,237.11345386505127,185.59843521118165,90.62337818145753,4.514094662666321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.27481789905577897,57.18048679828644,175.2936421394348,286.4524579048157,353.1230920791626,369.40913715362547,357.7712940216064,314.1660512924194,217.05149974823,90.79828424453736,5.070046037435532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.3186916319653392,62.546664524078366,180.2216107368469,306.12916803359985,387.41359252929686,401.8189624786377,369.6171802520752,311.0196250915527,206.61249923706055,90.06677985191345,5.342444443702698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.3280779030174017,65.32218894958496,198.22428293228148,314.404909324646,384.09580726623534,428.8580181121826,412.03310070037844,355.8242527008057,247.29965953826905,107.02869625091553,6.3067363739013675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.3227395411580801,60.88188719749451,162.17196321487427,275.9955696105957,332.84989500045776,355.12176418304443,349.63560075759887,289.9404636383057,211.35739755630493,100.77906646728516,6.488282644748688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.32420396569528076,56.92077192507292,178.68723487854004,282.4018269589073,322.7621473011218,347.9367986980237,342.35032011333266,278.92658635189656,191.22626796521638,96.93231878782574,6.5768401905110006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
