"Year" "Month" "Day" "Hour" "Minute" "GHIobs" "DNIobs" "GHImod" "DNImod"
2012 1 1 0 30 765.733333 913.066667 741.013 849.938
2012 1 1 1 30 934.383333 948.033333 910.827 900.603
2012 1 1 2 30 1074.5 969.366667 1019.51 917.325
2012 1 1 3 30 884.964912 602.366667 1054.77 845.379
2012 1 1 4 30 964.716667 706.55 983.269 634.315
2012 1 1 5 30 914.316667 678.75 707.056 307.121
2012 1 1 6 30 612.166667 431.466667 481.74 202.487
2012 1 1 7 30 121.4 9.733333 454.378 444.655
2012 1 1 8 30 234.583333 327.2 331.977 504.765
2012 1 1 9 30 49.066667 68.683333 127.89 253.559
2012 1 1 10 30 3.95 2.416667 18.7879 50.3522
2012 1 1 11 30 0 0 0 0
2012 1 1 12 30 0 0 0 0
2012 1 1 13 30 0 0 0 0
2012 1 1 14 30 0 0 0 0
2012 1 1 15 30 0 0 0 0
2012 1 1 16 30 0 0 0 0
2012 1 1 17 30 0 0 0 0
2012 1 1 18 30 0 0 0 0
2012 1 1 19 30 0 0 0 0
2012 1 1 20 30 0.416667 0.266667 7.72472 26.1641
2012 1 1 21 30 33.583333 53.516667 90.1421 203.364
2012 1 1 22 30 194.85 319.683333 277.24 471.122
2012 1 2 11 30 0 0 0 0
2012 1 2 12 30 0 0 0 0
2012 1 2 13 30 0 0 0 0
2012 1 2 14 30 0 0 0 0
2012 1 2 15 30 0 0 0 0
2012 1 2 16 30 0 0 0 0
2012 1 2 17 30 0 0 0 0
2012 1 2 18 30 0 0 0 0
2012 1 2 19 30 0 0 0 0
2012 1 2 20 30 2.066667 3.45 9.61322 42.4024
2012 1 2 21 30 91 330.533333 101.267 287.455
2012 1 2 22 30 306.683333 670.116667 301.178 607.652
2012 1 2 23 30 547.05 822.933333 534.874 783.693
2012 1 3 0 30 764.083333 909.166667 749.744 874.322
2012 1 3 1 30 935.783333 956.333333 921.146 922.557
2012 1 3 2 30 1051.583333 984.9 1032.61 942.965
2012 1 3 3 30 1098.433333 990.683333 1081.41 961.301
2012 1 3 4 30 1071.783333 987.333333 1058.39 964.224
2012 1 3 5 30 976.866667 963.85 958.44 927.411
2012 1 3 6 30 839.2 930.433333 798.454 874.518
2012 1 3 7 30 649.866667 867.533333 592.788 778.435
2012 1 3 8 30 350.183333 617.366667 329.847 435.906
2012 1 3 9 30 162.1 465.733333 103.964 94.1284
2012 1 3 10 30 11.633333 40.066667 14.0642 12.9895
2012 1 3 11 30 0 0 0 0
2012 1 3 12 30 0 0 0 0
2012 1 3 13 30 0 0 0 0
2012 1 3 14 30 0 0 0 0
2012 1 3 15 30 0 0 0 0
2012 1 3 16 30 0 0 0 0
2012 1 3 17 30 0 0 0 0
2012 1 3 18 30 0 0 0 0
2012 1 3 19 30 0 0 0 0
2012 1 3 20 30 0.35 0.733333 8.96095 36.9682
2012 1 3 21 30 77.583333 287.816667 96.1548 259.753
2012 1 3 22 30 282.866667 594.933333 288.223 557.628
2012 1 3 23 30 500.05 696.85 514.68 726.957
2012 1 4 0 30 729.616667 832.916667 716.553 792.601
2012 1 4 1 30 909.616667 914.533333 876.948 820.599
2012 1 4 2 30 1022.383333 940.866667 987.585 848.644
2012 1 4 3 30 1062.116667 932.733333 1030.46 853.694
2012 1 4 4 30 1045.533333 907.433333 998.964 830.049
2012 1 4 5 30 987.783333 885.35 842.062 601.645
2012 1 4 6 30 826.3 736.066667 462.495 205.763
2012 1 4 7 30 543.916667 510.283333 144.361 9.10317
2012 1 4 8 30 192.316667 153.3 105.847 47.3259
2012 1 4 9 30 25.35 0.816667 78.2077 68.9432
2012 1 4 10 30 8.616667 5.3 14.248 21.7145
2012 1 4 11 30 0 0 0 0
2012 1 4 12 30 0 0 0 0
2012 1 4 13 30 0 0 0 0
2012 1 4 14 30 0 0 0 0
2012 1 4 15 30 0 0 0 0
2012 1 4 16 30 0 0 0 0
2012 1 4 17 30 0 0 0 0
2012 1 4 18 30 0 0 0 0
2012 1 4 19 30 0 0 0 0
2012 1 4 20 30 1.583333 0.616667 4.13854 4.24945
2012 1 4 21 30 43.083333 2.433333 51.1399 35.467
2012 1 4 22 30 151.766667 8.683333 153.883 68.4467
2012 1 4 23 30 330.033333 97.1 377.826 280.032
2012 1 5 0 30 619.716667 456.633333 671.549 643.212
