"Year" "Month" "Day" "Hour" "Minute" "GHIobs" "DNIobs" "GHImod" "DNImod"
2015 1 1 0 0 20.866667 157.483333 25.0914 98.0702
2015 1 1 1 0 0 0 0 0
2015 1 1 2 0 0 0 0 0
2015 1 1 3 0 0 0 0 0
2015 1 1 4 0 0 0 0 0
2015 1 1 5 0 0 0 0 0
2015 1 1 6 0 0 0 0 0
2015 1 1 7 0 0 0 0 0
2015 1 1 8 0 0 0 0 0
2015 1 1 9 0 0 0 0 0
2015 1 1 10 0 0 0 0 0
2015 1 1 11 0 0 0 0 0
2015 1 1 12 0 0 0 0 0
2015 1 1 13 0 0 0 0 0
2015 1 1 14 0 0 0 0 0
2015 1 1 15 0 13.916667 218.233333 10.2538 4.39104
2015 1 1 16 0 146.066667 743 79.4116 9.43076
2015 1 1 17 0 295.033333 752.7 192.082 112.535
2015 1 1 18 0 424.816667 955.766667 183.668 6.29674
2015 1 1 19 0 483.4 928.716667 191.381 4.82593
2015 1 1 20 0 447.8 757.633333 306.389 126.878
2015 1 1 21 0 347.633333 281.766667 221.786 33.8956
2015 1 1 22 0 176.683333 3.116667 177.68 38.5951
2015 1 1 23 0 92.433333 13.616667 107.457 89.6737
2015 1 2 0 0 20.816667 1.95 16.6562 14.0275
2015 1 2 1 0 0 0 0 0
2015 1 2 2 0 0 0 0 0
2015 1 2 3 0 0 0 0 0
2015 1 2 4 0 0 0 0 0
2015 1 2 5 0 0 0 0 0
2015 1 2 6 0 0 0 0 0
2015 1 2 7 0 0 0 0 0
2015 1 2 8 0 0 0 0 0
2015 1 2 9 0 0 0 0 0
2015 1 2 10 0 0 0 0 0
2015 1 2 11 0 0 0 0 0
2015 1 2 12 0 0 0 0 0
2015 1 2 13 0 0 0 0 0
2015 1 2 14 0 0 0 0 0
2015 1 2 15 0 27.283333 177.8 9.82222 3.54291
2015 1 2 16 0 107.95 114.733333 107.547 149.861
2015 1 2 17 0 215.2 93.716667 207.362 161.889
2015 1 2 18 0 343.416667 198.85 239.692 40.3739
2015 1 2 19 0 482.35 974.25 194.462 0.476009
2015 1 2 20 0 488.916667 1002.116667 205.797 0.421719
2015 1 2 21 0 427.033333 975.483333 193.939 0.684973
2015 1 2 22 0 310.45 908.466667 168.42 10.0599
2015 1 2 23 0 162.1 765.483333 122.921 151.573
2015 1 3 0 0 23.066667 196.3 30.8487 171.024
2015 1 3 1 0 0 0 0 0
2015 1 3 2 0 0 0 0 0
2015 1 3 3 0 0 0 0 0
2015 1 3 4 0 0 0 0 0
2015 1 3 5 0 0 0 0 0
2015 1 3 6 0 0 0 0 0
2015 1 3 7 0 0 0 0 0
2015 1 3 8 0 0 0 0 0
2015 1 3 9 0 0 0 0 0
2015 1 3 10 0 0 0 0 0
2015 1 3 11 0 0 0 0 0
2015 1 3 12 0 0 0 0 0
2015 1 3 13 0 0 0 0 0
2015 1 3 14 0 0 0 0 0
2015 1 3 15 0 32.85 97.866667 13.997 57.3897
2015 1 3 16 0 94.883333 4.25 110.831 281.868
2015 1 3 17 0 111.416667 2.3 214.206 283.094
2015 1 3 18 0 180.233333 2.45 196.879 11.4803
2015 1 3 19 0 154.95 2 180.602 9.05762
2015 1 3 20 0 201.633333 1.316667 165.013 0.038707
2015 1 3 21 0 172.116667 1.607143 161.699 0.191844
2015 1 3 22 0 127.8 1.916667 137.714 10.3838
2015 1 3 23 0 52.866667 1.85 83.3011 27.1301
2015 1 4 0 0 8.35 0.533333 14.793 1.81425
2015 1 4 1 0 0 0 0 0
2015 1 4 2 0 0 0 0 0
2015 1 4 3 0 0 0 0 0
2015 1 4 4 0 0 0 0 0
2015 1 4 5 0 0 0 0 0
2015 1 4 6 0 0 0 0 0
2015 1 4 7 0 0 0 0 0
2015 1 4 8 0 0 0 0 0
2015 1 4 9 0 0 0 0 0
2015 1 4 10 0 0 0 0 0
2015 1 4 11 0 0 0 0 0
2015 1 4 12 0 0 0 0 0
2015 1 4 13 0 0 0 0 0
2015 1 4 14 0 0 0 0 0
2015 1 4 15 0 13.4 80.6 18.4574 181.24
2015 1 4 16 0 81.033333 118.233333 113.018 277.121
2015 1 4 17 0 245 392.833333 157.364 8.86361
2015 1 4 18 0 271.416667 75.9 202.868 2.49689
2015 1 4 19 0 264.116667 78.516667 240.149 4.02115
2015 1 4 20 0 405.5 146.416667 201.64 1.12875
2015 1 4 21 0 573.75 621.8 137.298 0
2015 1 4 22 0 467.283333 604.966667 135.278 0.446258
2015 1 4 23 0 84.9 3.933333 71.7848 0.405321
2015 1 5 0 0 28.527273 3.166667 10.8866 0
2015 1 5 1 0 0 0 0 0
2015 1 5 2 0 0 0 0 0
2015 1 5 3 0 0 0 0 0
2015 1 5 4 0 0 0 0 0
2015 1 5 5 0 0 0 0 0
2015 1 5 6 0 0 0 0 0
2015 1 5 7 0 0 0 0 0
2015 1 5 8 0 0 0 0 0
2015 1 5 9 0 0 0 0 0
2015 1 5 10 0 0 0 0 0
2015 1 5 11 0 0 0 0 0
2015 1 5 12 0 0 0 0 0
2015 1 5 13 0 0 0 0 0
2015 1 5 14 0 0 0 0 0
2015 1 5 15 0 8.35 1.866667 10.8359 10.1685
2015 1 5 16 0 86.2 12.509091 104.461 146.745
2015 1 5 17 0 134.233333 5.087719 266.986 511.574
2015 1 5 18 0 177.033333 0.7 381.237 626.122
2015 1 5 19 0 202.166667 0.483333 453.14 692.598
2015 1 5 20 0 209.433333 19.766667 359.807 276.714
2015 1 5 21 0 288.816667 66.416667 241.684 31.8357
2015 1 5 22 0 226.3 79.366667 171.143 10.9899
2015 1 5 23 0 174.383333 412.783333 95.5071 21.5417
2015 1 6 0 0 30.7 2.35 12.5823 0
2015 1 6 1 0 0 0 0 0
2015 1 6 2 0 0 0 0 0
2015 1 6 3 0 0 0 0 0
2015 1 6 4 0 0 0 0 0
2015 1 6 5 0 0 0 0 0
2015 1 6 6 0 0 0 0 0
2015 1 6 7 0 0 0 0 0
2015 1 6 8 0 0 0 0 0
2015 1 6 9 0 0 0 0 0
2015 1 6 10 0 0 0 0 0
2015 1 6 11 0 0 0 0 0
2015 1 6 12 0 0 0 0 0
2015 1 6 13 0 0 0 0 0
2015 1 6 14 0 0 0 0 0
2015 1 6 15 0 17.95 72.266667 11.3786 19.5372
2015 1 6 16 0 147.35 354.166667 136.696 481.84
2015 1 6 17 0 233.133333 417.683333 290.442 745.891
2015 1 6 18 0 416.25 729.433333 314.25 297.517
2015 1 6 19 0 434.016667 539.333333 350.893 246.028
2015 1 6 20 0 333.457627 132.966667 222.724 7.82055
2015 1 6 21 0 270.966667 99.316667 292.044 182.504
2015 1 6 22 0 161.35 1.866667 208.762 100.253
2015 1 6 23 0 95.083333 66.433333 139.64 301.277
