"Year" "Month" "Day" "Hour" "Minute" "GHIobs" "DNIobs" "GHImod" "DNImod"
2012 1 1 0 30 0 0 0 0
2012 1 1 1 30 0 0 0 0
2012 1 1 2 30 0 0 0 0
2012 1 1 3 30 0 0 0 0
2012 1 1 4 30 0 0 0 0
2012 1 1 5 30 0 0 0 0
2012 1 1 6 30 0 0 0 0
2012 1 1 7 30 9.8 0 0 0
2012 1 1 8 30 69.7 10.4 89 88
2012 1 1 9 30 121 20.6 186 293
2012 1 1 10 30 304.8 408.8 296 543
2012 1 1 11 30 329.6 667.4 335 596
2012 1 1 12 30 366.5 809 323 497
2012 1 1 13 30 273.7 635.5 262 486
2012 1 1 14 30 174.1 530 168 487
2012 1 1 15 30 56 166.3 65 325
2012 1 1 16 30 1.9 3.5 0 0
2012 1 1 17 30 0 0 0 0
2012 1 1 18 30 0 0 0 0
2012 1 1 19 30 0 0 0 0
2012 1 1 20 30 0 0 0 0
2012 1 1 21 30 0 0 0 0
2012 1 1 22 30 0 0 0 0
2012 1 1 23 30 0 0 0 0
2012 1 3 0 30 0 0 0 0
2012 1 3 1 30 0 0 0 0
2012 1 3 2 30 0 0 0 0
2012 1 3 3 30 0 0 0 0
2012 1 3 4 30 0 0 0 0
2012 1 3 5 30 0 0 0 0
2012 1 3 6 30 0 0 0 0
2012 1 3 7 30 22.4 154.6 0 0
2012 1 3 8 30 139.4 589.9 120 397
2012 1 3 9 30 265.3 751.4 232 564
2012 1 3 10 30 350.3 805.6 318 647
2012 1 3 11 30 389.9 792.2 350 673
2012 1 3 12 30 373.6 649 345 669
2012 1 3 13 30 272.8 290.3 278 612
2012 1 3 14 30 207.7 423 171 485
2012 1 3 15 30 80.5 402.6 53 222
2012 1 3 16 30 2.5 11.3 0 0
2012 1 3 17 30 0 0 0 0
2012 1 3 18 30 0 0 0 0
2012 1 3 19 30 0 0 0 0
2012 1 3 20 30 0 0 0 0
2012 1 3 21 30 0 0 0 0
2012 1 3 22 30 0 0 0 0
2012 1 3 23 30 0 0 0 0
2012 1 4 0 30 0 0 0 0
2012 1 4 1 30 0 0 0 0
2012 1 4 2 30 0 0 0 0
2012 1 4 3 30 0 0 0 0
2012 1 4 4 30 0 0 0 0
2012 1 4 5 30 0 0 0 0
2012 1 4 6 30 0 0 0 0
2012 1 4 7 30 8 0 0 0
2012 1 4 8 30 39.8 1 67 42
2012 1 4 9 30 209.7 515.7 218 397
2012 1 4 10 30 351.3 785.9 301 533
2012 1 4 11 30 334.3 624.4 326 508
2012 1 4 12 30 329.3 600.5 302 474
2012 1 4 13 30 231.8 502.8 252 465
2012 1 4 14 30 201 602.8 155 343
2012 1 4 15 30 69.2 316.5 58 211
2012 1 4 16 30 2.2 4.5 0 0
2012 1 4 17 30 0 0 0 0
2012 1 4 18 30 0 0 0 0
2012 1 4 19 30 0 0 0 0
2012 1 4 20 30 0 0 0 0
2012 1 4 21 30 0 0 0 0
2012 1 4 22 30 0 0 0 0
2012 1 4 23 30 0 0 0 0
2012 1 5 0 30 0 0 0 0
2012 1 5 1 30 0 0 0 0
2012 1 5 2 30 0 0 0 0
2012 1 5 3 30 0 0 0 0
2012 1 5 4 30 0 0 0 0
2012 1 5 5 30 0 0 0 0
2012 1 5 6 30 0 0 0 0
2012 1 5 7 30 21.9 28.6 0 0
2012 1 5 8 30 133.6 138.9 94 183
2012 1 5 9 30 188.2 103.5 136 70
2012 1 5 10 30 263.1 150.1 241 253
2012 1 5 11 30 238.7 70.3 230 158
2012 1 5 12 30 231.1 90.7 267 279
2012 1 5 13 30 123.3 1.7 106 2
2012 1 5 14 30 134.4 159.2 107 72
2012 1 5 15 30 43.3 6.1 70 200
2012 1 5 16 30 1.8 0 0 0
