"Year" "Month" "Day" "Hour" "Minute" "GHIobs" "DNIobs" "GHImod" "DNImod"
2015 1 1 0 0 255.083333 758.066667 240.277 638.108
2015 1 1 1 0 318.216667 551.183333 345.759 566.185
2015 1 1 2 0 225.683333 24.65 216.729 2.02326
2015 1 1 3 0 190.416667 11.633333 167.87 0.21132
2015 1 1 4 0 243.266667 11.7 209.447 1.79863
2015 1 1 5 0 141.283333 2.25 178.391 1.51236
2015 1 1 6 0 109.733333 1.916667 145.996 29.106
2015 1 1 7 0 133.383333 255 95.9989 141.475
2015 1 1 8 0 11.483333 12.283333 9.97474 26.574
2015 1 1 9 0 0 0 0 0
2015 1 1 10 0 0 0 0 0
2015 1 1 11 0 0 0 0 0
2015 1 1 12 0 0 0 0 0
2015 1 1 13 0 0 0 0 0
2015 1 1 14 0 0 0 0 0
2015 1 1 15 0 0 0 0 0
2015 1 1 16 0 0 0 0 0
2015 1 1 17 0 0 0 0 0
2015 1 1 18 0 0 0 0 0
2015 1 1 19 0 0 0 0 0
2015 1 1 20 0 0 0 0 0
2015 1 1 21 0 0 0 0 0
2015 1 1 22 0 2.65 24.283333 0.204111 1.62993
2015 1 1 23 0 91.75 529.083333 79.1961 361.12
2015 1 2 0 0 222.45 559.516667 203.818 404.771
2015 1 2 1 0 170.55 2.116667 180.474 5.0931
2015 1 2 2 0 291.65 45.983333 300.576 54.0307
2015 1 2 3 0 229.55 3.333333 228.908 1.14033
2015 1 2 4 0 220.4 10.616667 215.452 4.28411
2015 1 2 5 0 387.45 527.833333 312.676 227.431
2015 1 2 6 0 329.533333 852.816667 300.566 656.535
2015 1 2 7 0 119.533333 367.35 140.053 448.008
2015 1 2 8 0 13.233333 62.95 14.4408 75.1312
2015 1 2 9 0 0 0 0 0
2015 1 2 10 0 0 0 0 0
2015 1 2 11 0 0 0 0 0
2015 1 2 12 0 0 0 0 0
2015 1 2 13 0 0 0 0 0
2015 1 2 14 0 0 0 0 0
2015 1 2 15 0 0 0 0 0
2015 1 2 16 0 0 0 0 0
2015 1 2 17 0 0 0 0 0
2015 1 2 18 0 0 0 0 0
2015 1 2 19 0 0 0 0 0
2015 1 2 20 0 0 0 0 0
2015 1 2 21 0 0 0 0 0
2015 1 2 22 0 2.416667 19.316667 0.217961 2.00056
2015 1 2 23 0 89.883333 513.466667 81.3686 386.983
2015 1 3 0 0 261.6 793.066667 249.306 687.526
2015 1 3 1 0 412.4 903.55 402.583 820.114
2015 1 3 2 0 514.883333 948.5 506.476 873.497
2015 1 3 3 0 557.2 960.833333 549.693 885.79
2015 1 3 4 0 535.8 943.516667 531.111 876.745
2015 1 3 5 0 453.566667 889.9 450.075 830.898
2015 1 3 6 0 321.8 805.266667 316.701 735.379
2015 1 3 7 0 155.5 614.55 152.118 537.387
2015 1 3 8 0 19.766667 150.833333 17.6624 112.748
2015 1 3 9 0 0 0 0 0
2015 1 3 10 0 0 0 0 0
2015 1 3 11 0 0 0 0 0
2015 1 3 12 0 0 0 0 0
2015 1 3 13 0 0 0 0 0
2015 1 3 14 0 0 0 0 0
2015 1 3 15 0 0 0 0 0
2015 1 3 16 0 0 0 0 0
2015 1 3 17 0 0 0 0 0
2015 1 3 18 0 0 0 0 0
2015 1 3 19 0 0 0 0 0
2015 1 3 20 0 0 0 0 0
2015 1 3 21 0 0 0 0 0
2015 1 3 22 0 1.516667 0 0.104445 0.163947
2015 1 3 23 0 38.066667 1.15 44.0813 31.8255
2015 1 4 0 0 95.2 0.966667 98.882 1.15336
2015 1 4 1 0 188.583333 17.716667 189.541 3.20564
2015 1 4 2 0 364.416667 230.483333 303.711 136.103
2015 1 4 3 0 366.666667 321.65 374.241 301.396
2015 1 4 4 0 496.216667 711.416667 453.95 570.746
2015 1 4 5 0 429.15 744.933333 379.574 517.266
2015 1 4 6 0 296.35 644.233333 259.213 416.362
2015 1 4 7 0 142.483333 459.4 124.775 308.607
2015 1 4 8 0 19.333333 99.783333 11.8612 40.822
2015 1 4 9 0 0 0 0 0
2015 1 4 10 0 0 0 0 0
2015 1 4 11 0 0 0 0 0
2015 1 4 12 0 0 0 0 0
2015 1 4 13 0 0 0 0 0
2015 1 4 14 0 0 0 0 0
2015 1 4 15 0 0 0 0 0
2015 1 4 16 0 0 0 0 0
2015 1 4 17 0 0 0 0 0
2015 1 4 18 0 0 0 0 0
2015 1 4 19 0 0 0 0 0
2015 1 4 20 0 0 0 0 0
2015 1 4 21 0 0 0 0 0
2015 1 4 22 0 1.883333 1.216667 0.138479 0.824783
2015 1 4 23 0 73.633333 296.016667 68.783 265.015
2015 1 5 0 0 232.933333 601.416667 226.037 557.445
2015 1 5 1 0 383.716667 756.966667 374.36 701.549
2015 1 5 2 0 485.083333 819.783333 479.363 773.005
2015 1 5 3 0 529.3 833.183333 527.881 804.442
2015 1 5 4 0 516.866667 839.833333 509.801 785.079
2015 1 5 5 0 442.25 805.65 434.848 747.556
2015 1 5 6 0 312.783333 717.616667 305.412 646.771
2015 1 5 7 0 147.55 499.266667 144.809 440.382
2015 1 5 8 0 18.366667 84.3 16.6086 81.4922
2015 1 5 9 0 0 0 0 0
2015 1 5 10 0 0 0 0 0
2015 1 5 11 0 0 0 0 0
2015 1 5 12 0 0 0 0 0
2015 1 5 13 0 0 0 0 0
2015 1 5 14 0 0 0 0 0
2015 1 5 15 0 0 0 0 0
2015 1 5 16 0 0 0 0 0
2015 1 5 17 0 0 0 0 0
2015 1 5 18 0 0 0 0 0
2015 1 5 19 0 0 0 0 0
2015 1 5 20 0 0 0 0 0
2015 1 5 21 0 0 0 0 0
2015 1 5 22 0 0.8 0 0.03569 0.000436
2015 1 5 23 0 23.783333 0 23.2552 0.206885
2015 1 6 0 0 59.933333 0.05 48.5824 0.03429
2015 1 6 1 0 88.783333 0.133333 75.88 0
2015 1 6 2 0 77.05 0.016667 96.5019 0
2015 1 6 3 0 217.266667 1.766667 194.451 0.145247
2015 1 6 4 0 332.933333 203.05 169.842 1.0069
2015 1 6 5 0 89.983333 20.466667 129.525 7.68496
2015 1 6 6 0 20.15 0.016667 31.2398 0
2015 1 6 7 0 15.8 0 40.0165 0.316562
2015 1 6 8 0 1.616667 0 4.21687 0.364276
2015 1 6 9 0 0 0 0 0
2015 1 6 10 0 0 0 0 0
2015 1 6 11 0 0 0 0 0
2015 1 6 12 0 0 0 0 0
2015 1 6 13 0 0 0 0 0
2015 1 6 14 0 0 0 0 0
2015 1 6 15 0 0 0 0 0
2015 1 6 16 0 0 0 0 0
2015 1 6 17 0 0 0 0 0
2015 1 6 18 0 0 0 0 0
2015 1 6 19 0 0 0 0 0
2015 1 6 20 0 0 0 0 0
2015 1 6 21 0 0 0 0 0
2015 1 6 22 0 1.766667 0 0.199821 1.62951
2015 1 6 23 0 46.016667 121.166667 80.4289 378.821
2015 1 7 0 0 271.35 785.483333 230.997 580.671
2015 1 7 1 0 434 873.95 391.051 755.907
2015 1 7 2 0 556.216667 919.883333 489.077 793.954
2015 1 7 3 0 547.816667 856.816667 525.073 776.166
2015 1 7 4 0 520.9 847.35 489.479 688.482
2015 1 7 5 0 425.266667 723.45 428.137 698.32
2015 1 7 6 0 345.6 859.6 315.925 676.645
2015 1 7 7 0 172.633333 666.633333 156.366 490.147
2015 1 7 8 0 24.1 161.466667 20.1886 100.124
2015 1 7 9 0 0 0 0 0
2015 1 7 10 0 0 0 0 0
2015 1 7 11 0 0 0 0 0
2015 1 7 12 0 0 0 0 0
2015 1 7 13 0 0 0 0 0
2015 1 7 14 0 0 0 0 0
2015 1 7 15 0 0 0 0 0
2015 1 7 16 0 0 0 0 0
2015 1 7 17 0 0 0 0 0
2015 1 7 18 0 0 0 0 0
2015 1 7 19 0 0 0 0 0
2015 1 7 20 0 0 0 0 0
2015 1 7 21 0 0 0 0 0
2015 1 7 22 0 2.533333 13.25 0.174802 1.31561
2015 1 7 23 0 87.983333 462.316667 75.4428 324.735
2015 1 8 0 0 257.033333 746.116667 235.771 602.583
2015 1 8 1 0 406.9 855.95 391.577 758.782
2015 1 8 2 0 511.766667 906.966667 496.59 816.762
2015 1 8 3 0 556.35 915.85 535.729 809.08
2015 1 8 4 0 528.7 841.883333 521.994 804.748
2015 1 8 5 0 436.016667 720.833333 445.031 757.606
2015 1 8 6 0 309.466667 638.683333 315.642 659.478
2015 1 8 7 0 158.366667 518.616667 154.909 468.191
2015 1 8 8 0 23.116667 115.883333 21.1626 110.521
2015 1 8 9 0 0 0 0 0
2015 1 8 10 0 0 0 0 0
2015 1 8 11 0 0 0 0 0
2015 1 8 12 0 0 0 0 0
2015 1 8 13 0 0 0 0 0
2015 1 8 14 0 0 0 0 0
2015 1 8 15 0 0 0 0 0
2015 1 8 16 0 0 0 0 0
2015 1 8 17 0 0 0 0 0
2015 1 8 18 0 0 0 0 0
2015 1 8 19 0 0 0 0 0
2015 1 8 20 0 0 0 0 0
2015 1 8 21 0 0 0 0 0
2015 1 8 22 0 2.533333 13.066667 0.190794 1.49158
2015 1 8 23 0 89.016667 477.883333 78.9068 359.634
2015 1 9 0 0 260.166667 763.566667 243.294 647.54
2015 1 9 1 0 411.133333 870.283333 400.352 794.37
2015 1 9 2 0 511.983333 900.15 504.814 843.808
2015 1 9 3 0 555.233333 898.516667 547.721 848.457
2015 1 9 4 0 544.483333 900.916667 537.995 858.016
2015 1 9 5 0 471.55 872.8 465.046 830.705
2015 1 9 6 0 336.816667 781.716667 332.001 733.009
2015 1 9 7 0 177.383333 649.216667 164.439 526.908
2015 1 9 8 0 27.583333 183.883333 23.009 119.888
2015 1 9 9 0 0 0 0 0
2015 1 9 10 0 0 0 0 0
2015 1 9 11 0 0 0 0 0
2015 1 9 12 0 0 0 0 0
2015 1 9 13 0 0 0 0 0
2015 1 9 14 0 0 0 0 0
2015 1 9 15 0 0 0 0 0
2015 1 9 16 0 0 0 0 0
2015 1 9 17 0 0 0 0 0
2015 1 9 18 0 0 0 0 0
2015 1 9 19 0 0 0 0 0
2015 1 9 20 0 0 0 0 0
2015 1 9 21 0 0 0 0 0
2015 1 9 22 0 2.466667 19.6 0.19774 1.7974
2015 1 9 23 0 90.166667 505.65 78.9508 369.047
2015 1 10 0 0 263.783333 791.65 243.438 653.502
2015 1 10 1 0 415.983333 895.266667 396.525 785.519
2015 1 10 2 0 525.033333 950.033333 495.401 812.167
2015 1 10 3 0 572.216667 962.866667 534.753 798.473
2015 1 10 4 0 570.033333 920.016667 532.144 833.79
2015 1 10 5 0 487.316667 916.033333 463.044 814.901
2015 1 10 6 0 349.8 842.4 331.433 720.416
2015 1 10 7 0 180.516667 676.05 171.293 565.383
2015 1 10 8 0 29.466667 212.716667 26.1401 160.874
2015 1 10 9 0 0 0 0 0
2015 1 10 10 0 0 0 0 0
2015 1 10 11 0 0 0 0 0
2015 1 10 12 0 0 0 0 0
2015 1 10 13 0 0 0 0 0
2015 1 10 14 0 0 0 0 0
2015 1 10 15 0 0 0 0 0
2015 1 10 16 0 0 0 0 0
2015 1 10 17 0 0 0 0 0
2015 1 10 18 0 0 0 0 0
2015 1 10 19 0 0 0 0 0
2015 1 10 20 0 0 0 0 0
2015 1 10 21 0 0 0 0 0
2015 1 10 22 0 2.766667 21.366667 0.194337 1.7282
2015 1 10 23 0 90.133333 479.733333 77.6952 351.765
2015 1 11 0 0 257.833333 733.3 237.766 616.581
2015 1 11 1 0 407.1 837.95 388.877 747.849
2015 1 11 2 0 510.233333 878.116667 481.302 759.673
2015 1 11 3 0 552.966667 881.833333 523.129 759.508
2015 1 11 4 0 539.05 872.516667 517.566 774.152
2015 1 11 5 0 459.816667 814.516667 444.35 731.773
