 PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
1015.0     15   10.0    4.0     66   5.05     45     12  281.9  296.1  282.8
 1000.0    166    8.8    4.5     74   5.31     15     24  281.9  296.9  282.9
  984.0    299    7.8    4.0     77   5.21     10     25  282.2  296.9  283.1
  925.0    806    4.2    1.2     81   4.53    350     28  283.6  296.5  284.4
  921.0    841    3.9    0.9     81   4.46    350     28  283.6  296.4  284.4
  914.0    903    3.4    0.4     81   4.33    353     29  283.8  296.1  284.5
  868.0   1319   -0.7   -1.0     98   4.11     12     35  283.7  295.5  284.4
  862.0   1375   -0.2   -1.2     93   4.07     15     36  284.8  296.5  285.5
  850.0   1487    0.8   -1.7     83   3.99     30     35  287.0  298.6  287.7
  787.0   2102   -2.9   -3.3     97   3.83     38     28  289.4  300.7  290.1
  777.0   2203   -3.7   -3.7    100   3.76     39     27  289.6  300.7  290.2
  700.0   3023   -7.3  -11.7     71   2.24     50     18  294.4  301.3  294.8
  650.0   3596  -11.5  -16.5     66   1.63     52     13  295.9  301.1  296.2
  639.0   3727  -11.1  -19.1     52   1.33     53     12  297.8  302.1  298.1
  600.0   4207  -15.3  -22.3     55   1.07     55      8  298.4  301.9  298.6
  597.0   4245  -15.5  -22.8     54   1.03     55      8  298.5  301.9  298.7
  544.0   4941  -19.7  -32.7     31   0.45     31     14  301.6  303.2  301.7
  502.0   5531  -25.2  -34.4     42   0.41     10     19  301.9  303.3  301.9
  500.0   5560  -25.5  -34.5     43   0.41     10     19  301.9  303.3  302.0
  454.0   6249  -31.7  -37.7     55   0.33     26     20  302.6  303.7  302.6
  442.0   6437  -32.8  -44.0     32   0.18     30     20  303.6  304.2  303.6
  438.0   6501  -33.1  -46.1     26   0.14     31     21  303.9  304.4  303.9
  400.0   7130  -38.5  -51.5     24   0.08     45     26  304.9  305.2  304.9
  374.0   7589  -42.5  -54.5     26   0.06     50     37  305.5  305.7  305.5
  358.0   7884  -42.5  -57.5     18   0.05     53     44  309.3  309.5  309.3
  306.0   8930  -49.5  -57.5     39   0.05     65     69  313.7  313.9  313.7
  305.0   8952  -49.6  -57.8     38   0.05     65     70  313.9  314.1  313.9
  300.0   9060  -50.1  -59.1     34   0.04     65     69  314.6  314.8  314.6
  272.0   9693  -54.7  -64.7     28   0.02     71     66  316.9  317.0  316.9
  269.0   9764  -53.9  -63.9     28   0.03     71     66  319.1  319.2  319.1
  252.0  10179  -56.8  -65.9     31   0.02     75     64  320.8  320.9  320.8
  250.0  10230  -57.1  -66.1     31   0.02     80     62  321.1  321.1  321.1
  230.0  10753  -59.9  -69.9     26   0.01     75     40  324.5  324.6  324.5
  228.0  10808  -59.7  -70.7     23   0.01     69     37  325.6  325.7  325.6
  218.0  11091  -56.0  -71.3     13   0.01     40     19  335.6  335.6  335.6
  212.0  11268  -53.7  -71.7      9   0.01     34     19  341.8  341.9  341.8
  200.0  11640  -55.7  -77.7      5   0.00     20     18  344.4  344.4  344.4
  190.0  11966  -57.3  -81.3      3   0.00     12     12  346.9  346.9  346.9
  181.0  12275  -56.0  -80.7      3   0.00      5      7  354.0  354.0  354.0
  167.0  12789  -53.7  -79.7      3   0.00    339      8  365.9  366.0  365.9
  150.0  13480  -53.5  -84.5      1   0.00    305     10  377.7  377.7  377.7
  141.0  13875  -55.5  -86.5      1   0.00    290     10  381.0  381.0  381.0
  140.0  13921  -55.7  -86.7      1   0.00    289     12  381.4  381.4  381.4
  133.0  14249  -54.8  -86.0      1   0.00    285     24  388.6  388.6  388.6
  112.0  15351  -51.7  -83.7      1   0.00    301     15  413.9  413.9  413.9
  101.0  16016  -54.3  -85.3      1   0.00    310     10  421.3  421.4  421.3
  100.0  16080  -54.5  -85.5      1   0.00    310      9  422.1  422.2  422.1
   98.0  16209  -54.7  -85.7      1   0.00    310      5  424.2  424.2  424.2
   70.0  18350  -58.3  -88.3      1   0.00    270     12  459.3  459.3  459.3
   64.0  18915  -58.2  -88.2      1   0.00    275     21  471.3  471.4  471.3
   57.0  19644  -58.2  -88.2      1   0.00    255      8  487.4  487.4  487.4
   50.0  20470  -58.1  -88.1      1   0.00    240     21  506.1  506.2  506.1
   40.0  21880  -57.0  -87.7      1   0.00    275     29  542.3  542.3  542.3
   36.4  22476  -56.5  -87.5      1   0.01    279     18  558.3  558.4  558.3
   36.0                                       280     17                     
