AERONET Version 3
Thessaloniki
Version 3: Almucantar Level 1.5 Inversion
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
All Points,Contact: PI=Dimitris_Balis; PI Email=balis@auth.gr 
UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Thessaloniki,22:04:2025,05:57:23,112,112.248183,0.025613,0.008334,0.006210,0.005897,2.132618,64.279615,64.845796,1.435190,0.030164,0.210082,3,10,8,5,3,10,8,5,3,10,8,4,3,10,8,4,0.071330,0.110480,0.226540,0.228370,0,0,25:04:2025,22:43:04,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,22:04:2025,07:27:44,112,112.310926,0.003726,0.002415,0.001876,0.001610,1.005897,47.729601,48.252937,19.275219,0.746726,0.222560,4,8,8,3,4,5,5,2,4,6,3,1,1,6,2,3,0.054930,0.091060,0.192290,0.195100,0,0,25:04:2025,22:48:11,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,22:04:2025,12:53:16,112,112.536991,0.008488,0.003480,0.002371,0.001975,1.890656,43.223475,42.733140,1.372254,0.163750,0.256946,4,10,8,3,4,10,8,3,4,10,9,2,4,10,9,2,0.053160,0.088750,0.187220,0.189670,0,0,25:04:2025,22:50:48,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,22:04:2025,13:53:20,112,112.578704,0.011260,0.005229,0.003921,0.003389,1.571176,53.691118,53.146163,3.286103,0.112042,0.247245,4,10,8,4,4,10,8,4,4,10,8,4,4,6,8,4,0.058840,0.095460,0.200200,0.201450,0,0,25:04:2025,22:56:10,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,22:04:2025,14:55:05,112,112.621586,0.013946,0.010003,0.008269,0.007307,0.766889,65.177301,64.611583,10.758267,0.440471,0.253253,3,10,4,6,3,10,3,4,3,10,2,3,3,10,2,3,0.074150,0.112760,0.228680,0.227710,0,0,25:04:2025,22:58:13,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,23:04:2025,05:07:27,113,113.213507,0.002354,0.001473,0.001125,0.000955,1.083030,73.483731,74.050807,14.188325,0.124495,0.225296,4,10,7,6,4,10,7,2,4,10,5,1,4,10,3,1,0.092540,0.134590,0.269060,0.270050,0,0,26:04:2025,22:54:47,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,23:04:2025,12:53:16,113,113.536991,0.002016,0.001302,0.001007,0.000861,1.017184,43.008890,42.516660,10.664123,0.188157,0.189866,4,10,8,3,4,10,9,2,4,10,9,2,4,11,8,2,0.053100,0.088270,0.188610,0.190950,0,0,26:04:2025,23:01:40,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,25:04:2025,05:03:41,115,115.210891,0.024110,0.011314,0.009217,0.008329,1.445994,73.716574,74.282940,1.586794,0.007092,0.220232,4,10,7,6,4,10,7,6,4,10,7,6,4,10,6,5,0.096560,0.138830,0.273960,0.275250,0,0,28:04:2025,21:52:52,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,25:04:2025,05:53:30,115,115.245486,0.020987,0.009343,0.007229,0.006591,1.595475,64.285545,64.852890,0.835121,0.014948,0.212742,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.071290,0.110040,0.228760,0.230580,0,0,28:04:2025,21:57:54,1247,40.630000,22.960000,60.000000,lev15,Almucantar
Thessaloniki,25:04:2025,06:50:20,115,115.284954,0.019371,0.006466,0.004701,0.004040,2.125233,53.664675,54.215936,0.718004,0.026918,0.223546,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.058350,0.094860,0.202400,0.204800,0,0,28:04:2025,22:00:31,1247,40.630000,22.960000,60.000000,lev15,Almucantar
