AERONET Version 3
Helmos_NTUA
Version 3: Almucantar Level 1.5 Inversion
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
All Points,Contact: PI=Alex_Papayannis; PI Email=apdlidar@central.ntua.gr 
UNITS can be found at,,, https://aeronet.gsfc.nasa.gov/new_web/units.html
Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
Helmos_NTUA,05:11:2024,07:17:15,310,310.303646,0.017658,0.010020,0.009011,0.008762,1.020707,67.602591,68.027703,4.729700,0.302298,0.053926,4,10,7,5,4,10,7,6,4,10,7,5,4,10,7,5,0.037620,0.068610,0.206940,0.210020,0,0,01:01:2025,05:03:42,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,05:11:2024,08:17:17,310,310.345336,0.012898,0.008575,0.008012,0.008274,0.724135,60.172032,60.488239,4.074582,0.265006,0.050604,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.036060,0.065870,0.196670,0.200280,0,0,01:01:2025,04:48:30,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,05:11:2024,09:17:17,310,310.387002,0.010727,0.008875,0.009810,0.010323,0.163121,55.357283,55.523518,4.285975,0.261198,0.062727,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.035370,0.064650,0.191960,0.195820,0,0,01:01:2025,04:50:17,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,06:11:2024,07:28:38,311,311.311551,0.013053,0.008575,0.008514,0.007591,0.662785,66.283568,66.689786,4.922920,0.311969,0.048091,3,10,7,5,4,10,7,5,4,10,7,6,4,10,7,5,0.037290,0.068030,0.204790,0.207970,0,0,31:12:2024,22:32:58,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,06:11:2024,08:19:21,311,311.346771,0.010457,0.008379,0.008672,0.008107,0.299344,60.232055,60.542558,4.097849,0.167136,0.040694,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.036080,0.065890,0.196740,0.200340,0,0,31:12:2024,22:34:44,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,06:11:2024,09:17:54,311,311.387431,0.012783,0.009622,0.010093,0.009914,0.378948,55.617372,55.781176,3.832274,0.144579,0.044253,4,10,8,4,4,10,8,4,3,10,8,4,2,10,8,4,0.035410,0.064710,0.192180,0.196020,0,0,31:12:2024,22:36:12,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,06:11:2024,10:19:19,311,311.430081,0.014217,0.010496,0.011495,0.012309,0.352392,54.198361,54.179539,4.052749,0.192544,0.050438,4,10,8,4,4,10,8,4,4,10,8,4,3,10,8,4,0.035250,0.064420,0.190990,0.194810,0,0,31:12:2024,22:18:55,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,06:11:2024,12:19:21,311,311.513438,0.018450,0.013921,0.013200,0.011615,0.507963,61.895173,61.558492,3.517511,0.139498,0.076325,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.036480,0.066490,0.198640,0.201420,0,0,31:12:2024,22:20:28,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,07:11:2024,08:19:19,312,312.346748,0.018956,0.009624,0.009736,0.008511,1.038994,60.507004,60.816420,4.316943,0.299225,0.046936,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.036120,0.065970,0.197050,0.200620,0,0,31:12:2024,22:35:29,141,38.005580,22.198250,1700.000000,lev15,Almucantar
Helmos_NTUA,07:11:2024,10:19:21,312,312.430104,0.019746,0.012701,0.012973,0.010283,0.658408,54.491853,54.473206,4.626164,0.260214,0.050254,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,3,0.035280,0.064480,0.191230,0.195030,0,0,31:12:2024,22:37:18,141,38.005580,22.198250,1700.000000,lev15,Almucantar
