time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.162035,506.158,0.771696,0.851169,288,289.405,1,0.12343,0.1,-0.162035,0.1,0,8,-5,0,0.810176,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,422,-44,0,0,0,23.7977,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,2.47958,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,209.73,0.162159,574.087,0.744462,0.825212,288.079,289.405,0.97973,0.12343,0.1,-0.162159,0.100077,0,7.75689,-4.75689,0.000436331,0.810797,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,419.859,-41.8595,0,0,0,23.8159,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,2.48022,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,217.984,0.13757,628.585,0.723383,0.805222,288.146,289.442,0.962088,0.145603,0.1,-0.134781,0.100153,0,7.56993,-4.56993,0.000872654,0.654406,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,418.212,-40.2121,0,0,0,19.2216,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,2.20782,0,0,0.574276,30,0,0.4,0.6,1724,0,0,0,0.287138,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,225.473,0.124822,675.612,0.705656,0.788488,288.206,289.476,0.946444,0.160597,0.1,-0.120089,0.10023,0,7.41328,-4.41328,0.00130896,0.570426,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,416.83,-38.8305,0,0,0,16.754,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,2.04632,0,0,0.829795,30,0,0.4,0.6,1724,0,0,0,0.414898,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,232.459,0.116436,717.571,0.690196,0.773958,288.262,289.51,0.932425,0.172296,0.1,-0.1102,0.100307,0,7.277,-4.277,0.00174524,0.513863,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,415.627,-37.6273,0,0,0,15.0914,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.93004,0,0,1.07019,30,0,0.4,0.6,1724,0,0,0,0.535096,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,239.076,0.110273,755.63,0.676422,0.761068,288.315,289.542,0.919773,0.182064,0.1,-0.102821,0.100384,0,7.15583,-4.15583,0.00218149,0.471637,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,414.556,-36.5564,0,0,0,13.8498,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.83868,0,0,1.29784,30,0,0.4,0.6,1724,0,0,0,0.648921,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,245.402,0.105435,790.775,0.663976,0.74947,288.364,289.573,0.908296,0.190563,0.1,-0.0969767,0.10046,0,7.04652,-4.04652,0.00261769,0.438172,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,413.589,-35.5891,0,0,0,12.8654,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.76319,0,0,1.51447,30,0,0.4,0.6,1724,0,0,0,0.757233,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,251.49,0.101467,823.426,0.652613,0.738927,288.411,289.604,0.897841,0.198166,0.1,-0.0921624,0.100537,0,6.94688,-3.94688,0.00305385,0.41059,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,412.706,-34.7062,0,0,0,12.0536,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.69874,0,0,1.72139,30,0,0.4,0.6,1724,0,0,0,0.860696,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,257.376,0.098109,853.961,0.642159,0.729268,288.456,289.633,0.888287,0.205106,0.1,-0.0880863,0.100614,0,6.85533,-3.85533,0.00348995,0.387224,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,411.894,-33.8938,0,0,0,11.3655,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.64244,0,0,1.91968,30,0,0.4,0.6,1724,0,0,0,0.959839,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,263.088,0.0951997,882.669,0.63248,0.720364,288.499,289.662,0.879532,0.211536,0.1,-0.0845646,0.100691,0,6.77068,-3.77068,0.00392598,0.367026,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,411.142,-33.1416,0,0,0,10.7703,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,1.59244,0,0,2.1102,30,0,0.4,0.6,1724,0,0,0,1.0551,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
