time [h],time [h UTC],h [m],we [m s-¹],LCL [m],RH(surf) [-],RH(top) [-],θ [K],θv [K],Δθ [K],Δθv [K],w'θ'(s) [K m s-¹],w'θ'(e) [K m s-¹],w'θv'(s) [K m s-¹],w'θ'(M) [K m s-¹],q [g kg-¹],Δq [g kg-¹],w'q'(s) [g kg-¹ m s-¹],w'q'(e) [g kg-¹ m s-¹],w'q'(M) [g kg-¹ m s-¹],u [m s-¹],Δu [m s-¹],v [m s-¹],Δv [m s-¹],u'w'(s) [m² s-²],v'w'(s) [m² s-²],u'w'(e) [m² s-²],v'w'(e) [m² s-²],scalar [ppm],Δsca [ppm],wsca [ppm m s-¹],wscae [ppm m s-¹],wscaM [ppm m s-¹],CO2 [ppm],ΔCO2 [ppm],wCO2 [mgC m-2 s-1],wCO2A [mgC m-2 s-1],wCO2R [mgC m-2 s-1],wCO2e [mgC m-2 s-1],wCO2M [mgC m-2 s-1],u* [m s-¹],L [m],Rib [-],ra [s m-¹],Cm [-],Cs [-],Swin [W m-²],Swout [W m-²],Lwin [W m-²],Lwout [W m-²],Q [W m-²],Wsoil1 [m3 m-3],Tsoil1 [K],Ts [K],Wl [m3 m-3],rs [s m-¹],H [W m-²],LE [W m-²],G [W m-²],ac [-],cc [-],σq [g kg-¹],w'q'(M) [g kg-¹ m s-¹],M [m s-¹],Inert [ppb],O3 [ppb],O1D [ppb],NO [ppb],NO2 [ppb],CH4 [ppb],CH2O [ppb],CH3O2 [ppb],MVK [ppb],ISO [ppb],RO2 [ppb],OH [ppb],HO2 [ppb],CO [ppb],H2O [ppb],Product [ppb],O2 [ppb],N2 [ppb],HNO3 [ppb],H2O2 [ppb],NO3 [ppb],N2O5 [ppb]
0,6.8,200,0.0035136,29700,0,0,288,288,1,1,0,-0.0035136,0.017568,0,0,0,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,422,-44,0,0,0,0.516033,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0,30,0,0.4,0.6,1724,0,0,0,0,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0166667,6.81667,200.216,0.00360087,-inf,0.00289363,0.00319199,288.001,288,1.00009,1,0.000436331,-0.00360087,0.0180043,0,0.03,-0.03,0.1,-0,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.952,-43.9525,0,0,0,0.528849,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0,0,0,0.3,30,0,0.4,0.6,1724,0,0,0,0.15,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0333333,6.83333,200.438,0.00370737,-inf,0.00578042,0.00637715,288.003,288.006,1.00005,0.994815,0.000872654,-0.00370768,0.0184407,0,0.0599343,-0.0599343,0.1,0.000111221,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.904,-43.9036,0,0,0,0.543903,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.00298149,0,0,0.599343,30,0,0.4,0.6,1724,0,0,0,0.299671,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.05,6.85,200.667,0.00381542,-inf,0.00866001,0.00955513,288.004,288.013,0.999887,0.989518,0.00130896,-0.0038156,0.0188771,0,0.0898002,-0.0898002,0.1,0.000228674,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.853,-43.8535,0,0,0,0.559132,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0104293,0,0,0.898002,30,0,0.4,0.6,1724,0,0,0,0.449001,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0666667,6.86667,200.903,0.00392507,-inf,0.0115321,0.0127256,288.006,288.02,0.999604,0.98411,0.00174524,-0.00392462,0.0193135,0,0.119595,-0.119595,0.1,0.000352472,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.802,-43.802,0,0,0,0.574544,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0157951,0,0,1.19595,30,0,0.4,0.6,1724,0,0,0,0.597975,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.0833333,6.88333,201.145,0.00403637,-inf,0.0143962,0.0158881,288.008,288.027,0.999201,0.978594,0.00218149,-0.00403478,0.0197498,0,0.149316,-0.149316,0.1,0.00048273,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.749,-43.7492,0,0,0,0.590144,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0212611,0,0,1.49316,30,0,0.4,0.6,1724,0,0,0,0.74658,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.1,6.9,201.394,0.0041494,-inf,0.0172521,0.0190424,288.01,288.034,0.998677,0.972969,0.00261769,-0.00414608,0.0201862,0,0.17896,-0.17896,0.1,0.000619572,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.695,-43.6951,0,0,0,0.605937,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0268269,0,0,1.7896,30,0,0.4,0.6,1724,0,0,0,0.894802,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.116667,6.91667,201.65,0.0042642,-inf,0.0200994,0.022188,288.012,288.041,0.998034,0.967236,0.00305385,-0.00425856,0.0206224,0,0.208525,-0.208525,0.1,0.000763123,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.64,-43.6396,0,0,0,0.621931,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0324923,0,0,2.08525,30,0,0.4,0.6,1724,0,0,0,1.04263,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.133333,6.93333,201.913,0.00438084,-inf,0.0229377,0.0253247,288.014,288.049,0.997272,0.961399,0.00348995,-0.00437223,0.0210587,0,0.238008,-0.238008,0.1,0.000913517,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.583,-43.5827,0,0,0,0.638131,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0382572,0,0,2.38008,30,0,0.4,0.6,1724,0,0,0,1.19004,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.15,6.95,202.183,0.00449939,-inf,0.0257667,0.028452,288.017,288.056,0.996391,0.955456,0.00392598,-0.00448711,0.0214948,0,0.267406,-0.267406,0.1,0.00107089,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.524,-43.5244,0,0,0,0.654545,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0441215,0,0,2.67406,30,0,0.4,0.6,1724,0,0,0,1.33703,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.166667,6.96667,202.46,0.00461991,-inf,0.028586,0.0315696,288.019,288.064,0.995394,0.949411,0.00436194,-0.00460324,0.021931,0,0.296715,-0.296715,0.1,0.00123539,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.465,-43.4647,0,0,0,0.671179,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0500854,0,0,2.96715,30,0,0.4,0.6,1724,0,0,0,1.48358,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.183333,6.98333,202.744,0.00474247,-inf,0.0313953,0.034677,288.022,288.071,0.99428,0.943264,0.00479781,-0.00472063,0.022367,0,0.325934,-0.325934,0.1,0.00140716,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.404,-43.4036,0,0,0,0.68804,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0561488,0,0,3.25934,30,0,0.4,0.6,1724,0,0,0,1.62967,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.2,7,203.037,0.00486714,-inf,0.0341941,0.037774,288.025,288.079,0.993052,0.937016,0.0052336,-0.0048393,0.0228029,0,0.355058,-0.355058,0.1,0.00158637,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.341,-43.3411,0,0,0,0.705135,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0623122,0,0,3.55058,30,0,0.4,0.6,1724,0,0,0,1.77529,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.216667,7.01667,203.336,0.004994,-inf,0.0369821,0.04086,288.028,288.088,0.991709,0.93067,0.00566928,-0.0049593,0.0232388,0,0.384085,-0.384085,0.1,0.00177316,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.277,-43.2772,0,0,0,0.722472,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0685757,0,0,3.84085,30,0,0.4,0.6,1724,0,0,0,1.92043,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.233333,7.03333,203.644,0.00512312,-inf,0.0397589,0.0439349,288.032,288.096,0.990252,0.924226,0.00610485,-0.00508064,0.0236746,0,0.413013,-0.413013,0.1,0.00196771,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.212,-43.2117,0,0,0,0.740057,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0749398,0,0,4.13013,30,0,0.4,0.6,1724,0,0,0,2.06506,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
0.25,7.05,203.959,0.00525457,-inf,0.0425242,0.046998,288.035,288.104,0.988684,0.917686,0.00654031,-0.00520335,0.0241102,0,0.441836,-0.441836,0.1,0.0021702,0,6,4,-4,4,-0.0748845,0.049923,-0,-0,0,0,0,-0,0,421.145,-43.1448,0,0,0,0.757899,0,0.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,0.21,285,290,0,1e+006,-1,-1,-1,0,0,0.0814049,0,0,4.41836,30,0,0.4,0.6,1724,0,0,0,2.20918,0,0,0,100,0,0,2e+008,8e+008,0,0,0,0
