"Dates.dec" "GHIsat" "GHIstation"
2015 4.5299 4.5437
2015.00274 4.66562 4.3978
2015.00548 NaN NaN
2015.00822 4.82143 4.6581
2015.01096 NaN NaN
2015.0137 NaN NaN
2015.01644 NaN NaN
2015.01918 NaN NaN
2015.02192 NaN NaN
2015.02466 4.48968 4.3937
2015.0274 4.09457 3.7944
2015.03014 3.97666 3.7545
2015.03288 3.64434 3.8768
2015.03562 2.54872 3.2195
2015.03836 4.10154 4.613
2015.0411 3.42735 4.2576
2015.04384 4.68106 4.3568
2015.04658 4.62352 4.4711
2015.04932 1.46915 4.6199
2015.05205 5.27164 4.8515
2015.05479 NaN NaN
2015.05753 5.25908 4.8919
2015.06027 NaN NaN
2015.06301 5.1173 4.8975
2015.06575 5.25384 5.0686
2015.06849 5.15603 5.1577
2015.07123 5.43513 5.1017
2015.07397 5.15139 5.074
2015.07671 5.55546 5.129
2015.07945 5.34843 5.2219
2015.08219 5.42574 5.0963
2015.08493 4.98258 4.7263
2015.08767 5.04976 4.9323
2015.09041 5.26775 4.885
2015.09315 5.26608 5.1859
2015.09589 5.13503 4.9205
2015.09863 4.89131 5.1915
2015.10137 5.60559 5.2486
2015.10411 5.43317 5.49
2015.10685 NaN NaN
2015.10959 5.43572 4.6651
2015.11233 5.03074 5.0945
2015.11507 6.01162 5.557
2015.11781 5.27613 4.9901
2015.12055 6.25722 5.629
2015.12329 6.10265 5.7157
2015.12603 6.21176 5.6741
2015.12877 6.21646 5.8218
2015.13151 4.67151 4.3835
2015.13425 2.68084 5.0364
2015.13699 5.64485 5.3638
2015.13973 3.38297 4.6761
2015.14247 6.35367 5.984
2015.14521 6.44824 5.8628
2015.14795 6.41245 6.1518
2015.15068 2.58644 5.689
2015.15342 6.52529 5.8906
2015.15616 6.47746 5.9512
2015.1589 6.81266 6.1253
2015.16164 6.34097 6.2973
2015.16438 7.0651 6.2658
2015.16712 6.52604 6.653
2015.16986 6.7894 6.6623
2015.1726 5.68558 5.6128
2015.17534 6.15215 5.7535
2015.17808 7.08899 6.5695
2015.18082 6.39025 6.5911
2015.18356 7.38875 6.8319
2015.1863 5.91917 5.9999
2015.18904 6.65239 6.3979
2015.19178 6.72652 6.8929
2015.19452 7.20918 7.0078
2015.19726 NaN NaN
2015.2 7.17245 7.1168
2015.20274 7.69016 7.048
2015.20548 7.13893 7.1569
2015.20822 7.75653 7.179
2015.21096 6.87232 6.8075
2015.2137 7.36057 6.6756
2015.21644 7.42723 6.9669
2015.21918 7.37149 7.1471
2015.22192 7.93827 6.9629
2015.22466 7.50178 7.2088
2015.2274 5.51241 6.5974
2015.23014 7.50667 7.444
2015.23288 8.17081 7.3731
2015.23562 7.65555 7.4265
2015.23836 7.69481 7.3702
2015.2411 NaN NaN
2015.24384 7.78213 7.4844
2015.24658 8.36188 7.5801
2015.24932 7.88367 7.6571
2015.25205 8.50361 7.6136
2015.25479 8.06735 7.731
2015.25753 7.95897 7.4023
2015.26027 7.77967 7.8099
2015.26301 7.982 7.8368
2015.26575 7.91513 7.532
2015.26849 7.61162 7.6662
2015.27123 8.34373 7.8341
2015.27397 NaN NaN
2015.27671 7.26668 6.8906
2015.27945 5.87343 5.6995
2015.28219 NaN NaN
2015.28493 NaN NaN
2015.28767 5.25574 3.751
2015.29041 7.45774 7.2061
2015.29315 5.71112 5.8156
2015.29589 6.58363 6.502
2015.29863 8.17403 7.8442
