 PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
1028.0      4    0.8   -1.3     86   3.40    130      5  271.8  281.1  272.4
 1020.0     68    6.4    2.2     75   4.42     88      7  278.0  290.3  278.7
 1000.0    233    6.8    0.8     66   4.07    340     13  279.9  291.4  280.6
  992.0    299    6.8   -0.2     61   3.82    341     14  280.6  291.4  281.2
  947.0    678    4.7   -1.7     63   3.59    345     23  282.2  292.5  282.8
  925.0    870    3.6   -2.4     65   3.48    335     17  283.0  293.0  283.6
  922.0    896    3.4   -2.6     65   3.44    334     16  283.0  293.0  283.6
  891.0   1173    1.8   -3.2     69   3.40    328     10  284.2  294.0  284.8
  865.0   1412    2.8   -6.2     52   2.79    323      5  287.6  295.9  288.1
  850.0   1553    1.6   -6.4     55   2.80    320      2  287.8  296.1  288.3
  847.0   1581    1.4   -6.5     56   2.79    335      2  287.9  296.2  288.4
  794.0   2098   -2.5   -8.5     63   2.55    357      9  289.1  296.8  289.5
  726.0   2802   -7.7  -13.7     62   1.84     28     19  290.9  296.6  291.2
  719.0   2877   -8.1  -14.1     62   1.80     31     20  291.2  296.8  291.6
  700.0   3085   -9.1  -12.2     78   2.15     40     23  292.4  299.0  292.8
  683.0   3275   -9.9  -15.9     62   1.63     42     24  293.6  298.7  293.8
  664.0   3492  -11.5  -16.3     68   1.62     45     26  294.1  299.2  294.4
  655.0   3597  -12.3  -16.5     71   1.62     38     25  294.4  299.5  294.7
  642.0   3750  -12.9  -17.9     66   1.47     29     24  295.4  300.1  295.6
  637.0   3809  -13.4  -18.5     65   1.40     25     24  295.5  300.0  295.8
  605.0   4199  -16.5  -22.5     60   1.04     28     23  296.3  299.7  296.5
  500.0   5600  -28.1  -33.1     62   0.47     40     19  298.7  300.4  298.8
  480.0   5891  -30.5  -35.5     62   0.39     49     18  299.3  300.6  299.3
  456.0   6252  -33.5  -40.5     49   0.25     61     16  299.9  300.8  300.0
  447.0   6390  -34.1  -44.2     35   0.17     65     15  300.9  301.5  300.9
  419.0   6841  -36.1  -56.1     11   0.05     59     19  303.9  304.1  303.9
  400.0   7160  -38.5  -54.5     17   0.06     55     22  304.9  305.1  304.9
  351.0   8053  -42.3  -59.3     14   0.04     41     34  311.4  311.5  311.4
  310.0   8884  -48.5  -65.5     12   0.02     28     45  313.9  314.0  313.9
  300.0   9100  -48.9  -67.9      9   0.01     25     48  316.3  316.4  316.3
  287.0   9390  -50.3  -68.3     10   0.01     29     51  318.4  318.4  318.4
  283.0   9481  -50.9  -68.5     11   0.01     30     52  318.8  318.8  318.8
  250.0  10280  -56.1  -70.1     16   0.01     30     47  322.5  322.6  322.5
  249.0  10305  -56.3  -70.3     16   0.01     30     46  322.6  322.7  322.6
  230.0  10807  -56.1  -73.1     10   0.01     17     42  330.3  330.4  330.3
  200.0  11690  -56.1  -76.1      6   0.01    355     34  343.8  343.8  343.8
  174.0  12577  -55.5  -81.5      3   0.00    333     33  358.7  358.7  358.7
  150.0  13520  -57.3  -87.3      1   0.00    310     32  371.1  371.2  371.1
  139.0  13999  -58.7  -88.7      1   0.00    308     34  376.9  376.9  376.9
  131.0  14373  -56.5  -87.5      1   0.00    307     35  387.2  387.2  387.2
  101.0  16008  -60.1  -89.1      1   0.00    300     41  410.2  410.2  410.2
  100.0  16070  -60.3  -89.3      1   0.00    300     40  410.9  411.0  410.9
   98.2  16183  -60.7  -89.7      1   0.00    298     39  412.3  412.3  412.3
   86.4  16984  -57.1  -87.1      1   0.00    285     28  434.9  434.9  434.9
   86.0  17013  -57.3  -87.2      1   0.00    285     28  435.1  435.1  435.1
   77.5  17662  -61.7  -90.7      1   0.00    295     36  439.1  439.1  439.1
   70.0  18290  -62.1  -91.1      1   0.00    275     34  451.2  451.2  451.2
   58.0  19453  -62.3  -91.3      1   0.00    290     35  475.6  475.6  475.6
   51.0  20248  -62.5  -91.5      1   0.00    270     36  493.0  493.1  493.0
   50.0  20370  -62.5  -91.5      1   0.00    270     39  495.8  495.8  495.8
   41.8  21480  -62.1  -91.1      1   0.00    278     41  522.8  522.8  522.8
   32.0  23147  -59.8  -89.7      1   0.00    290     44  570.3  570.3  570.3
   30.2  23509  -59.4  -89.3      1   0.00    280     59  581.1  581.2  581.1
   30.0  23550  -59.3  -89.3      1   0.00    280     58  582.4  582.4  582.4
   24.4  24852  -56.5  -87.5      1   0.01    280     53  625.9  626.0  625.9
   24.0                                       280     53                     
