Date,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,2025/04/28,
Time,08:00:00,08:01:00,08:02:00,08:03:00,08:04:00,08:05:00,08:06:00,08:07:00,08:08:00,08:09:00,08:10:00,08:11:00,08:12:00,08:13:00,08:14:00,08:15:00,08:16:00,08:17:00,08:18:00,08:19:00,08:20:00,08:21:00,08:22:00,08:23:00,08:24:00,08:25:00,08:26:00,08:27:00,08:28:00,08:29:00,08:30:00,08:31:00,08:32:00,08:33:00,08:34:00,08:35:00,08:36:00,08:37:00,08:38:00,08:39:00,08:40:00,08:41:00,08:42:00,08:43:00,08:44:00,08:45:00,08:46:00,08:47:00,08:48:00,08:49:00,08:50:00,08:51:00,08:52:00,08:53:00,08:54:00,08:55:00,08:56:00,08:57:00,08:58:00,08:59:00,
Memo,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,500,500,100,500,1000,2000,2000,2000,5000,500,1000,200,200,200,200,200,200,500,500,500,500,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,
Sensor Temp.(deg),24.9,24.9,24.9,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.9,24.9,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.7,25.0,24.8,24.8,24.8,24.9,24.9,24.7,25.0,24.7,25.0,24.8,24.8,24.9,24.9,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,9.49,8.53,9.24,9.24,9.13,7.92,7.48,9.68,10.21,9.40,10.26,9.42,8.62,8.87,9.00,8.50,8.36,7.92,7.31,5.62,5.35,4.09,3.83,3.35,3.13,2.28,1.81,8.90,1.37,1.11,0.43,0.24,0.30,0.07,2.04,1.07,6.25,6.24,5.88,4.88,2.74,2.42,2.64,2.50,1.58,1.01,0.15,0.04,0.28,0.01,0.05,0.02,0.02,0.01,0.06,0.01,0.05,0.06,0.07,0.12,
301.00,11.19,10.17,11.29,11.56,10.28,9.60,9.14,11.83,11.67,11.37,12.21,11.38,11.11,11.41,10.17,10.09,9.70,8.92,8.74,6.96,6.40,4.80,4.46,3.86,3.62,2.80,2.22,11.02,1.75,1.35,0.52,0.29,0.38,0.09,2.60,1.33,7.54,7.63,6.92,5.83,3.34,3.06,3.27,2.92,1.94,1.24,0.19,0.04,0.33,0.02,0.06,0.03,0.04,0.01,0.05,0.02,0.04,0.09,0.08,0.16,
302.00,13.59,12.63,13.67,13.58,12.84,11.91,11.31,13.71,13.52,14.28,14.38,14.52,14.08,14.47,12.25,12.87,11.41,9.77,9.99,8.38,7.82,6.02,5.37,4.82,4.27,3.42,2.61,13.71,2.25,1.66,0.63,0.37,0.47,0.12,3.24,1.61,9.19,9.44,8.26,7.09,4.22,3.88,4.25,3.44,2.34,1.57,0.24,0.05,0.41,0.02,0.09,0.04,0.07,0.03,0.05,0.02,0.05,0.11,0.11,0.18,
303.00,16.41,15.64,16.49,16.22,15.10,14.55,13.83,16.29,16.38,17.34,17.09,17.62,17.29,17.61,15.10,15.28,13.83,11.60,11.55,10.22,9.83,7.26,6.67,5.68,4.91,4.22,3.28,16.53,2.77,2.09,0.76,0.47,0.57,0.15,4.00,1.99,11.52,11.60,10.07,8.61,5.23,4.78,5.36,4.20,2.83,2.01,0.28,0.06,0.49,0.03,0.11,0.05,0.08,0.04,0.07,0.04,0.06,0.11,0.14,0.22,
304.00,20.37,19.61,20.09,19.17,18.25,17.65,16.95,19.77,19.44,21.45,21.07,21.56,21.02,21.29,18.68,18.68,17.00,14.29,13.69,12.55,12.11,9.15,8.36,7.36,5.95,5.15,4.10,20.42,3.49,2.69,0.93,0.60,0.68,0.18,4.95,2.49,14.47,14.26,12.33,10.56,6.25,5.92,6.53,5.24,3.41,2.64,0.33,0.09,0.60,0.07,0.13,0.07,0.10,0.04,0.07,0.04,0.07,0.12,0.18,0.29,
305.00,23.98,23.80,23.73,22.50,21.47,21.18,20.18,23.58,23.69,25.02,25.09,25.09,24.87,24.80,23.13,22.72,20.73,17.70,16.37,14.97,14.27,11.17,10.20,9.09,7.33,6.18,5.00,24.50,4.24,3.27,1.12,0.75,0.80,0.22,5.95,3.03,17.77,16.87,15.17,12.45,7.52,7.37,7.75,6.36,4.18,3.14,0.40,0.12,0.72,0.09,0.14,0.07,0.13,0.05,0.09,0.06,0.08,0.15,0.22,0.36,
306.00,28.13,27.97,27.66,25.60,25.40,24.46,23.15,27.97,28.68,28.98,29.62,29.18,28.53,28.69,27.66,27.05,24.62,21.67,19.93,17.74,16.42,13.36,12.22,10.78,9.05,7.22,6.01,29.02,4.99,3.91,1.34,0.89,0.95,0.26,6.89,3.61,21.17,19.87,18.08,15.06,8.69,8.95,9.07,7.59,5.00,3.70,0.47,0.15,0.89,0.10,0.18,0.09,0.13,0.05,0.13,0.06,0.10,0.17,0.26,0.42,
307.00,33.02,33.21,32.47,30.14,29.80,28.50,26.92,32.92,34.24,33.81,34.92,34.69,33.49,33.57,31.93,31.37,29.01,26.12,23.45,21.13,19.13,16.01,14.61,12.51,11.00,8.69,7.09,34.00,5.98,4.63,1.61,1.03,1.10,0.31,8.16,4.36,25.33,23.24,21.40,18.16,10.40,10.62,10.56,9.05,6.16,4.29,0.58,0.18,1.06,0.12,0.20,0.11,0.14,0.05,0.14,0.07,0.13,0.21,0.30,0.51,
308.00,38.05,38.21,37.66,35.89,35.21,33.21,31.09,38.53,39.88,39.99,40.98,40.97,39.26,38.98,36.99,36.62,33.62,30.39,27.38,24.39,22.04,18.84,16.76,14.70,12.92,10.28,8.28,39.26,7.15,5.46,1.90,1.18,1.33,0.37,9.57,5.09,29.63,27.40,25.22,21.34,12.41,12.30,12.33,10.73,7.30,4.99,0.68,0.19,1.23,0.15,0.24,0.11,0.17,0.06,0.18,0.08,0.16,0.29,0.34,0.59,
309.00,43.97,44.49,43.67,42.54,40.39,38.67,36.31,45.34,46.30,46.44,47.81,47.45,46.13,45.50,43.14,42.05,38.94,35.30,31.82,28.36,25.10,21.98,19.20,16.70,15.02,12.00,9.63,46.21,8.35,6.35,2.19,1.38,1.56,0.42,11.30,5.94,34.42,31.65,29.28,24.87,14.52,14.18,14.45,12.42,8.41,5.75,0.81,0.22,1.44,0.17,0.28,0.12,0.21,0.08,0.20,0.11,0.18,0.35,0.39,0.69,
310.00,50.66,51.58,50.63,49.46,47.39,44.92,42.06,52.61,53.18,54.07,54.69,55.51,53.86,53.03,49.74,48.26,44.63,40.24,36.39,32.69,28.75,25.55,22.03,19.22,17.07,13.83,11.06,53.48,9.57,7.32,2.52,1.61,1.84,0.48,13.07,6.84,39.33,36.59,33.59,28.48,16.60,16.44,16.90,14.30,9.61,6.66,0.95,0.26,1.66,0.19,0.33,0.14,0.26,0.10,0.23,0.14,0.22,0.42,0.46,0.81,
311.00,57.61,58.41,57.32,56.45,53.84,50.86,47.89,59.70,59.95,61.78,61.65,62.96,61.27,60.35,56.55,54.11,50.54,45.60,40.94,36.84,32.82,28.85,25.17,21.50,19.07,15.72,12.52,60.71,10.86,8.32,2.86,1.84,2.08,0.55,14.82,7.77,44.44,41.49,37.72,32.06,18.75,18.66,19.33,16.17,10.74,7.59,1.07,0.30,1.87,0.21,0.37,0.16,0.30,0.12,0.26,0.16,0.25,0.48,0.53,0.93,
