Date,2025/05/16,
Time,18:00:00,
Memo,EKO 711 DNI,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.5,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,-0.01,
301.00,-0.01,
302.00,-0.00,
303.00,-0.00,
304.00,0.01,
305.00,0.01,
306.00,-0.00,
307.00,0.00,
308.00,0.00,
309.00,0.01,
310.00,0.01,
311.00,0.02,
312.00,0.02,
313.00,0.03,
314.00,0.02,
315.00,0.01,
316.00,0.02,
317.00,0.01,
318.00,0.00,
319.00,0.00,
320.00,0.00,
321.00,0.00,
322.00,0.01,
323.00,0.00,
324.00,-0.02,
325.00,-0.02,
326.00,-0.02,
327.00,-0.01,
328.00,-0.01,
329.00,0.01,
330.00,0.00,
331.00,0.01,
332.00,0.01,
333.00,0.01,
334.00,0.00,
335.00,-0.00,
336.00,-0.01,
337.00,-0.02,
338.00,-0.01,
339.00,-0.00,
340.00,0.00,
341.00,0.01,
342.00,0.01,
343.00,0.01,
344.00,0.01,
345.00,0.01,
346.00,0.00,
347.00,0.00,
348.00,-0.01,
349.00,-0.01,
350.00,-0.00,
351.00,-0.00,
352.00,0.01,
353.00,0.01,
354.00,0.00,
355.00,-0.01,
356.00,0.00,
357.00,0.00,
358.00,0.01,
359.00,0.02,
360.00,0.02,
361.00,0.01,
362.00,0.01,
363.00,0.01,
364.00,0.01,
365.00,0.02,
366.00,0.02,
367.00,0.02,
368.00,0.01,
369.00,0.01,
370.00,0.00,
371.00,0.00,
372.00,0.00,
373.00,-0.00,
374.00,-0.01,
375.00,-0.00,
376.00,-0.00,
377.00,0.01,
378.00,0.00,
379.00,0.01,
380.00,0.01,
381.00,0.01,
382.00,0.01,
383.00,0.01,
384.00,0.01,
385.00,0.00,
386.00,0.01,
387.00,0.01,
388.00,0.01,
389.00,0.01,
390.00,0.01,
391.00,-0.00,
392.00,-0.01,
393.00,-0.01,
394.00,-0.00,
395.00,0.00,
396.00,0.00,
397.00,0.01,
398.00,-0.00,
399.00,-0.00,
400.00,0.00,
401.00,0.01,
402.00,0.01,
403.00,0.01,
404.00,0.01,
405.00,-0.00,
406.00,-0.00,
407.00,0.01,
408.00,0.02,
409.00,0.01,
410.00,-0.00,
411.00,-0.01,
412.00,-0.01,
413.00,-0.01,
414.00,-0.01,
415.00,0.01,
416.00,0.01,
417.00,-0.01,
418.00,-0.01,
419.00,0.00,
420.00,0.00,
421.00,-0.01,
422.00,-0.00,
423.00,-0.00,
424.00,-0.02,
425.00,-0.01,
426.00,0.00,
427.00,0.01,
428.00,0.01,
429.00,0.00,
430.00,0.01,
431.00,0.03,
432.00,0.04,
433.00,0.03,
434.00,0.02,
435.00,0.01,
436.00,-0.01,
437.00,-0.01,
438.00,-0.00,
439.00,-0.00,
440.00,0.02,
441.00,0.01,
442.00,0.02,
443.00,0.03,
444.00,0.04,
445.00,0.02,
446.00,0.00,
447.00,-0.01,
448.00,-0.03,
449.00,-0.05,
450.00,-0.02,
451.00,-0.03,
452.00,-0.03,
453.00,-0.03,
454.00,-0.04,
455.00,-0.02,
456.00,0.00,
457.00,-0.00,
458.00,-0.01,
459.00,-0.02,
460.00,-0.03,
461.00,-0.02,
462.00,-0.02,
463.00,-0.01,
464.00,-0.03,
465.00,-0.05,
466.00,-0.08,
467.00,-0.06,
468.00,-0.05,
469.00,-0.03,
470.00,-0.00,
471.00,0.00,
472.00,0.00,
473.00,-0.00,
474.00,0.00,
475.00,-0.01,
476.00,-0.01,
477.00,-0.01,
478.00,0.01,
479.00,0.01,
480.00,0.01,
481.00,0.02,
482.00,0.01,
483.00,0.02,
484.00,0.01,
485.00,0.04,
486.00,0.05,
487.00,0.06,
488.00,0.05,
489.00,0.03,
490.00,0.00,
491.00,-0.01,
492.00,-0.02,
493.00,-0.03,
494.00,-0.02,
495.00,0.01,
496.00,0.01,
497.00,0.01,
498.00,0.08,
499.00,0.10,
500.00,0.07,
501.00,0.04,
502.00,0.03,
503.00,0.00,
504.00,-0.01,
505.00,0.02,
506.00,0.01,
507.00,-0.00,
508.00,0.01,
509.00,0.03,
510.00,0.02,
511.00,0.05,
512.00,0.03,
513.00,0.04,
514.00,0.01,
515.00,0.00,
516.00,0.00,
517.00,0.04,
518.00,0.03,
519.00,-0.01,
520.00,-0.03,
521.00,-0.03,
522.00,-0.03,
523.00,-0.02,
524.00,-0.01,
525.00,-0.03,
526.00,-0.03,
527.00,-0.02,
528.00,0.03,
529.00,0.03,
530.00,0.05,
531.00,0.08,
532.00,0.06,
533.00,0.03,
534.00,0.04,
535.00,0.04,
536.00,0.02,
537.00,-0.02,
538.00,-0.02,
539.00,-0.03,
540.00,-0.03,
541.00,0.04,
542.00,0.07,
543.00,0.04,
544.00,0.03,
545.00,0.01,
546.00,0.03,
547.00,0.01,
548.00,0.03,
549.00,0.02,
550.00,0.02,
551.00,-0.02,
552.00,-0.03,
553.00,-0.03,
554.00,0.01,
555.00,-0.02,
556.00,-0.02,
557.00,0.01,
558.00,0.02,
559.00,0.03,
560.00,0.03,
561.00,0.03,
562.00,0.01,
563.00,-0.02,
564.00,-0.00,
565.00,0.01,
566.00,-0.01,
567.00,0.00,
568.00,-0.02,
569.00,-0.03,
570.00,0.00,
571.00,0.05,
572.00,0.05,
573.00,0.04,
574.00,0.05,
575.00,0.03,
576.00,-0.00,
577.00,0.02,
578.00,0.02,
579.00,0.04,
580.00,0.04,
581.00,0.04,
582.00,0.05,
583.00,0.06,
584.00,0.04,
585.00,0.04,
586.00,0.05,
587.00,0.05,
588.00,0.04,
589.00,0.09,
590.00,0.07,
591.00,0.03,
592.00,0.01,
593.00,0.00,
594.00,-0.01,
595.00,0.02,
596.00,-0.00,
597.00,-0.01,
598.00,-0.02,
599.00,-0.06,
600.00,-0.02,
601.00,-0.01,
602.00,-0.01,
603.00,0.01,
604.00,0.02,
605.00,-0.00,
606.00,0.02,
607.00,0.08,
608.00,0.08,
609.00,0.04,
610.00,0.06,
611.00,0.04,
612.00,-0.01,
613.00,0.01,
614.00,0.00,
615.00,-0.03,
616.00,-0.03,
617.00,-0.02,
618.00,-0.02,
619.00,0.03,
620.00,0.05,
621.00,0.06,
622.00,0.01,
623.00,-0.00,
624.00,-0.04,
625.00,-0.00,
626.00,0.02,
627.00,0.00,
628.00,0.03,
629.00,0.03,
630.00,0.00,
631.00,0.03,
632.00,0.07,
633.00,0.05,
634.00,0.05,
635.00,0.03,
636.00,0.02,
637.00,0.02,
638.00,0.03,
639.00,0.02,
640.00,0.03,
641.00,0.00,
642.00,-0.02,
643.00,-0.01,
644.00,-0.01,
645.00,-0.04,
646.00,-0.04,
647.00,-0.05,
648.00,-0.07,
649.00,-0.03,
650.00,-0.01,
651.00,0.02,
652.00,0.05,
653.00,0.04,
654.00,0.03,
655.00,0.04,
656.00,0.02,
657.00,0.00,
658.00,0.01,
659.00,-0.02,
660.00,-0.04,
661.00,-0.01,
662.00,0.02,
663.00,0.02,
664.00,0.06,
665.00,0.06,
666.00,-0.00,
667.00,0.03,
668.00,0.02,
669.00,-0.01,
670.00,0.00,
671.00,0.04,
672.00,0.03,
673.00,0.08,
674.00,0.08,
675.00,0.08,
676.00,0.09,
677.00,0.08,
678.00,0.06,
679.00,0.07,
680.00,0.10,
681.00,0.10,
682.00,0.08,
683.00,0.07,
684.00,0.02,
685.00,0.02,
686.00,-0.01,
687.00,-0.04,
688.00,-0.03,
689.00,-0.04,
690.00,-0.05,
691.00,-0.00,
692.00,-0.01,
