Date,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,2025/04/26,
Time,05:00:00,05:01:00,05:02:00,05:03:00,05:04:00,05:05:00,05:06:00,05:07:00,05:08:00,05:09:00,05:10:00,05:11:00,05:12:00,05:13:00,05:14:00,05:15:00,05:16:00,05:17:00,05:18:00,05:19:00,05:20:00,05:21:00,05:22:00,05:23:00,05:24:00,05:25:00,05:26:00,05:27:00,05:28:00,05:29:00,05:30:00,05:31:00,05:32:00,05:33:00,05:34:00,05:35:00,05:36:00,05:37:00,05:38:00,05:39:00,05:40:00,05:41:00,05:42:00,05:43:00,05:44:00,05:45:00,05:46:00,05:47:00,05:48:00,05:49:00,05:50:00,05:51:00,05:52:00,05:53:00,05:54:00,
Memo,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
Sensor Temp.(deg),24.7,24.8,24.8,24.8,24.7,24.7,24.7,24.6,24.8,24.8,24.6,24.6,24.7,24.6,24.7,24.7,24.6,24.6,24.6,24.8,24.8,24.8,24.7,24.7,24.7,24.7,24.6,24.6,24.7,24.6,24.6,24.8,24.8,24.7,24.6,24.6,24.6,24.6,24.6,24.7,24.7,24.8,24.7,24.7,24.6,24.6,24.7,24.6,24.6,24.7,24.7,24.6,24.7,24.7,24.7,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,2.75,2.60,3.04,2.95,2.77,2.94,2.83,3.10,3.12,2.90,2.96,3.28,3.01,3.24,3.05,3.08,2.96,3.18,3.33,3.00,2.76,3.22,3.03,3.11,3.33,3.12,3.50,3.53,3.56,3.76,3.60,3.66,3.69,3.90,4.08,4.05,4.15,4.33,4.32,4.64,5.06,5.10,5.36,4.97,4.58,4.96,5.24,4.68,4.88,4.87,4.98,4.89,4.87,5.21,4.83,
301.00,3.10,2.96,3.18,3.10,3.01,2.92,3.10,3.22,3.26,3.11,3.11,3.42,3.24,3.52,3.27,3.47,3.40,3.33,3.30,3.34,3.00,3.53,3.41,3.20,3.57,3.28,3.61,3.74,3.90,4.01,3.91,4.10,4.06,4.03,4.54,4.24,4.50,4.63,4.56,4.99,5.31,5.32,5.81,5.61,5.08,5.10,5.58,5.19,5.47,5.32,5.12,5.18,5.26,5.77,5.23,
302.00,3.11,3.24,3.38,3.29,3.24,3.12,3.24,3.26,3.61,3.51,3.60,3.72,3.32,3.67,3.44,3.70,3.75,3.67,3.55,3.72,3.15,3.70,3.55,3.60,3.89,3.52,3.91,3.98,4.20,4.43,4.12,4.26,4.40,4.32,4.71,4.76,4.89,4.99,5.16,5.42,5.51,5.68,5.85,6.19,5.23,5.68,6.07,5.85,5.97,5.46,5.72,5.96,5.89,6.30,5.96,
303.00,3.34,3.33,3.53,3.60,3.42,3.66,3.35,3.51,3.82,3.72,3.83,3.84,3.78,3.78,3.80,3.92,3.80,3.89,4.05,3.93,3.57,3.93,3.65,4.01,4.18,3.88,4.41,4.49,4.37,4.83,4.56,4.70,4.75,4.92,5.16,5.18,5.24,5.44,5.52,5.98,6.19,6.04,6.29,6.41,5.77,6.11,6.80,6.32,6.06,6.41,6.67,6.54,6.63,6.74,6.33,
304.00,3.74,3.61,3.68,3.80,3.81,3.83,3.65,3.76,3.92,3.97,3.99,3.85,4.15,4.05,4.06,4.29,4.08,4.16,4.14,4.42,3.89,4.37,4.19,4.27,4.51,4.22,4.75,4.82,4.83,5.08,5.03,5.29,5.20,5.37,5.81,5.59,5.78,5.91,5.94,6.60,6.79,6.61,6.83,7.23,6.64,6.57,7.35,7.00,6.62,7.22,7.14,7.29,7.17,7.42,7.02,
305.00,3.85,3.86,3.89,4.04,4.10,4.10,3.90,3.99,4.19,4.36,4.45,4.10,4.33,4.31,4.29,4.60,4.57,4.60,4.48,4.84,4.13,4.61,4.57,4.81,4.84,4.81,5.08,5.11,5.25,5.50,5.47,5.66,5.70,5.88,6.18,6.26,6.43,6.46,6.76,7.31,7.41,7.33,7.16,8.15,7.33,7.64,8.17,8.12,7.49,7.75,7.86,8.29,8.03,8.17,8.37,
306.00,3.95,4.04,4.07,4.33,4.28,4.67,4.12,4.47,4.45,4.70,4.81,4.48,4.85,4.61,4.66,4.86,4.78,4.98,5.19,5.19,4.60,4.98,4.93,5.30,5.29,5.46,5.72,5.70,5.72,6.03,6.03,6.20,6.30,6.71,6.78,7.03,7.20,7.30,7.61,8.09,8.36,8.38,8.27,8.91,8.29,8.65,9.27,8.78,8.19,8.83,9.36,9.31,9.27,9.08,9.41,
307.00,4.38,4.46,4.43,4.75,4.73,5.00,4.64,4.94,4.85,5.01,5.06,4.84,5.52,5.10,5.21,5.40,5.28,5.47,5.57,5.79,5.19,5.71,5.75,5.77,5.92,6.15,6.45,6.45,6.44,6.67,6.83,7.08,7.15,7.50,7.80,7.87,8.16,8.27,8.48,9.06,9.56,9.68,9.69,10.07,9.87,9.74,10.11,9.74,9.51,10.42,10.36,10.43,10.44,10.58,10.79,
308.00,4.75,5.07,4.99,5.25,5.28,5.44,5.28,5.42,5.49,5.55,5.73,5.55,5.91,5.84,5.78,6.17,6.18,6.22,6.21,6.51,5.75,6.46,6.65,6.76,6.73,7.12,7.15,7.02,7.47,7.60,7.75,8.01,8.26,8.60,8.78,9.05,9.44,9.44,10.10,10.25,10.78,11.09,11.10,11.72,11.41,11.46,11.46,11.77,11.46,11.77,11.73,12.25,11.90,12.36,12.94,
309.00,5.29,5.66,5.67,5.97,5.79,6.35,6.02,6.35,6.38,6.41,6.61,6.67,6.72,6.80,6.61,6.99,7.13,7.12,7.44,7.41,6.63,7.44,7.55,7.90,7.93,8.31,8.40,8.29,8.69,9.07,9.08,9.30,9.74,10.20,10.23,10.66,10.99,11.16,11.87,12.03,12.82,12.88,13.17,13.48,13.26,13.58,13.55,13.60,13.51,13.83,14.23,14.24,14.49,14.69,15.15,
310.00,6.25,6.48,6.54,6.85,6.82,7.23,7.05,7.35,7.43,7.36,7.59,7.69,7.97,7.97,7.84,8.14,8.25,8.25,8.66,8.72,7.91,9.01,8.98,9.27,9.45,9.57,10.08,10.09,10.30,10.77,10.90,11.14,11.58,12.02,12.39,12.55,13.06,13.29,13.81,14.18,15.36,15.33,15.81,15.89,15.93,15.92,16.09,15.94,16.01,16.90,16.73,16.77,17.17,17.56,17.62,
311.00,7.39,7.65,7.66,7.91,8.09,8.27,8.30,8.44,8.83,8.63,8.85,9.04,9.14,9.42,9.22,9.72,9.87,9.73,10.11,10.27,9.23,10.61,10.72,11.03,11.17,11.32,11.70,11.76,12.21,12.71,12.86,13.21,13.65,14.07,14.51,14.84,15.36,15.67,16.28,16.70,17.82,17.95,18.45,18.92,18.72,18.66,18.99,19.11,19.12,19.81,19.19,19.83,20.09,20.83,20.99,
312.00,8.68,8.87,8.96,9.21,9.36,9.79,9.72,9.96,10.37,10.31,10.60,10.82,10.61,11.05,10.92,11.38,11.54,11.52,12.08,12.02,10.85,12.36,12.56,13.01,13.18,13.38,13.73,13.89,14.33,15.03,15.03,15.53,16.12,16.66,16.96,17.50,18.08,18.47,19.26,19.69,20.98,20.97,21.60,22.10,21.63,21.92,22.66,22.47,22.42,23.14,22.98,23.31,23.72,24.33,24.58,
313.00,10.25,10.34,10.54,10.80,11.07,11.49,11.51,11.73,12.07,12.24,12.46,12.68,12.73,12.90,12.97,13.26,13.46,13.55,14.24,14.18,12.90,14.74,14.70,15.09,15.55,15.60,16.30,16.64,16.82,17.67,17.76,18.35,18.95,19.33,20.17,20.47,21.15,21.69,22.28,23.10,24.63,24.63,25.36,25.70,25.46,25.46,26.48,25.81,25.85,27.26,26.78,26.98,27.75,28.43,28.29,
314.00,12.09,12.39,12.51,12.83,13.28,13.42,13.68,13.69,14.19,14.32,14.57,14.83,14.88,15.09,15.41,15.88,15.86,16.02,16.51,16.78,15.30,17.27,17.55,17.80,18.14,18.35,18.95,19.38,19.64,20.54,20.87,21.59,22.13,22.52,23.48,23.80,24.80,25.33,25.99,26.87,28.31,28.56,29.37,30.19,29.73,29.36,30.44,30.35,30.40,31.52,30.79,31.34,31.95,32.88,32.97,
315.00,14.13,14.48,14.65,15.04,15.48,15.76,16.09,16.11,16.58,16.80,17.27,17.53,17.31,17.61,18.00,18.47,18.47,18.72,19.26,19.44,17.71,19.87,20.33,20.74,20.99,21.47,21.92,22.45,22.81,23.76,24.06,24.69,25.55,26.01,26.82,27.56,28.64,29.30,30.23,31.04,32.46,32.67,33.52,34.51,33.82,33.81,34.86,34.96,34.95,35.80,35.65,36.05,36.69,37.61,38.03,
316.00,16.44,16.84,17.22,17.63,17.97,18.39,18.77,18.91,19.08,19.57,20.08,20.28,20.37,20.53,20.99,21.34,21.30,21.76,22.32,22.54,20.60,23.18,23.46,23.93,24.26,24.67,25.53,26.14,26.29,27.28,27.85,28.50,29.47,29.97,30.95,31.60,32.89,33.72,34.62,35.66,37.25,37.34,38.60,39.26,38.68,38.75,39.82,39.75,39.77,40.79,41.13,41.08,41.90,42.75,43.14,
317.00,19.05,19.81,20.13,20.46,21.01,21.31,21.78,21.92,22.14,22.57,23.12,23.32,23.59,23.77,24.27,24.82,24.71,25.11,25.49,26.09,23.74,26.63,27.15,27.49,27.82,28.33,29.18,29.86,30.22,31.16,32.04,32.72,33.59,34.14,35.46,36.09,37.51,38.43,39.36,40.71,42.26,42.59,44.06,44.77,44.09,43.96,44.92,45.13,45.26,46.23,46.37,46.58,47.26,48.23,48.70,
318.00,21.87,22.60,22.96,23.36,23.91,24.28,24.83,24.98,25.36,25.69,26.39,26.55,26.66,27.09,27.47,27.95,28.02,28.42,28.68,29.32,26.57,29.92,30.69,31.09,31.45,32.10,32.76,33.47,34.06,34.98,35.92,36.62,37.73,38.51,39.52,40.58,42.04,43.11,44.28,45.52,47.04,47.45,49.07,50.04,48.96,49.01,50.28,50.39,50.71,51.22,51.69,52.07,52.66,53.53,54.68,
319.00,24.63,25.12,25.80,26.09,26.58,27.06,27.67,28.06,28.22,28.72,29.44,29.58,29.97,30.27,30.46,30.92,31.12,31.53,32.01,32.50,29.61,33.28,33.86,34.34,34.93,35.60,36.36,37.16,37.69,38.66,39.64,40.44,41.63,42.62,43.67,44.81,46.19,47.48,48.76,50.05,51.88,52.26,54.30,54.60,53.72,53.96,55.61,54.97,55.23,56.04,56.82,57.16,57.74,58.52,59.63,
320.00,27.39,28.24,28.81,29.06,29.80,30.14,30.71,31.15,31.47,31.92,32.46,32.68,33.24,33.59,33.71,34.33,34.54,35.04,35.29,36.07,32.75,36.86,37.52,37.75,38.52,39.10,40.07,40.81,41.57,42.54,43.62,44.67,45.78,46.72,48.16,49.11,50.67,51.96,53.24,54.76,57.00,57.23,59.56,59.90,58.97,58.93,60.67,59.92,60.45,61.09,61.73,62.16,62.71,63.82,64.67,
321.00,30.55,31.32,32.00,32.31,33.03,33.33,34.08,34.45,35.02,35.42,36.06,36.26,36.56,37.12,37.20,37.81,38.11,38.71,38.95,39.59,35.84,40.41,41.25,41.81,42.44,43.17,43.90,44.66,45.71,46.74,47.73,48.80,50.24,51.17,52.52,53.91,55.40,56.68,58.32,59.82,62.19,62.32,64.56,65.41,64.21,64.26,66.20,65.45,66.08,66.47,66.92,67.69,68.05,69.36,70.35,
322.00,34.21,34.74,35.67,36.12,36.60,37.08,37.87,38.44,38.77,39.37,40.00,40.32,40.66,41.23,41.09,41.64,42.13,42.74,43.34,43.74,39.56,44.71,45.39,46.12,46.89,47.58,48.38,49.35,50.25,51.45,52.49,53.65,55.26,56.32,57.69,59.26,60.68,62.33,64.02,65.53,68.43,68.38,70.52,71.58,70.10,70.53,72.90,71.28,71.98,72.47,73.39,73.88,74.44,75.68,76.50,
323.00,38.18,38.94,39.90,40.46,41.13,41.46,42.45,42.86,43.34,43.97,44.43,44.80,45.38,45.83,45.89,46.46,46.85,47.62,48.39,48.85,44.10,49.89,50.47,51.15,51.94,52.66,53.68,54.82,55.69,57.03,58.09,59.44,60.96,62.12,63.95,65.39,67.00,68.73,70.37,72.32,75.84,75.38,77.75,78.92,77.52,77.65,79.89,78.28,79.14,79.98,80.53,80.88,81.80,82.88,83.47,
324.00,42.58,43.60,44.51,45.24,46.04,46.33,47.41,47.60,48.42,49.03,49.53,49.88,50.26,50.93,51.05,51.66,52.21,52.90,53.56,53.93,48.64,55.15,55.90,56.80,57.44,58.27,59.21,60.47,61.66,62.96,64.17,65.68,67.17,68.62,70.25,72.19,73.83,75.71,77.57,79.57,83.46,82.92,85.06,86.93,85.32,85.03,87.69,86.30,87.21,87.79,88.04,88.77,89.56,90.72,91.63,
325.00,47.49,48.41,49.44,50.27,50.78,51.23,52.52,52.83,53.35,54.30,54.86,55.08,55.60,56.29,56.32,56.96,57.47,58.03,59.11,59.35,53.48,60.62,61.41,62.47,63.14,64.20,65.04,66.38,67.65,69.16,70.43,72.15,73.68,75.44,77.09,79.31,80.77,83.03,85.03,87.23,91.64,91.10,93.12,95.05,93.15,92.98,96.02,94.49,95.13,95.84,96.57,96.89,97.95,98.75,100.21,
326.00,52.39,53.58,54.53,55.49,56.07,56.67,57.83,58.13,58.85,59.71,60.20,60.40,61.24,61.79,61.96,62.56,63.04,63.61,64.69,65.19,58.90,66.66,67.49,68.15,69.04,70.20,71.28,72.78,74.09,75.58,77.09,79.08,80.44,82.29,84.49,86.58,88.33,90.86,92.53,95.14,100.39,99.50,101.91,103.82,101.62,101.35,104.35,102.67,103.28,104.27,105.01,105.04,106.66,107.38,108.76,
327.00,57.07,58.43,59.28,60.28,61.11,61.69,62.77,63.05,63.98,64.77,65.40,65.58,66.23,66.84,67.31,67.90,68.21,68.91,69.83,70.39,63.76,72.02,72.93,73.85,74.59,75.97,76.97,78.34,80.17,81.53,83.15,85.46,86.68,88.82,91.00,93.30,95.35,97.77,99.69,102.49,107.98,107.25,109.93,111.88,109.55,109.00,111.83,110.92,111.27,112.07,112.51,112.94,114.53,115.36,117.04,
328.00,61.27,62.49,63.36,64.41,65.11,65.88,66.75,67.44,68.13,69.01,69.88,70.00,70.50,71.43,71.63,72.28,72.58,73.25,74.32,74.71,67.63,76.38,77.47,78.38,79.20,80.70,81.70,83.24,85.03,86.52,88.37,90.54,92.12,94.35,96.31,99.06,101.13,103.69,105.89,108.75,114.54,113.85,116.35,118.18,115.71,115.68,118.77,117.43,117.70,118.45,119.20,119.60,121.09,122.12,123.77,
329.00,64.72,66.04,66.90,67.84,68.61,69.47,70.14,71.02,71.80,72.79,73.55,73.77,74.32,75.09,75.54,75.96,76.32,77.04,78.20,78.75,71.28,80.43,81.42,82.21,83.21,84.70,85.92,87.67,89.23,90.77,92.74,94.94,96.59,98.74,101.23,103.85,106.14,108.88,110.94,114.12,120.23,119.53,122.45,123.84,121.00,121.47,124.35,122.56,122.94,123.96,124.94,124.89,126.58,127.74,128.90,
330.00,67.72,69.11,69.85,70.80,71.85,72.76,73.17,74.07,75.08,75.81,76.46,77.17,77.51,78.08,78.77,79.18,79.56,80.35,81.33,81.88,74.29,83.65,84.93,85.62,86.53,88.18,89.23,91.19,92.88,94.38,96.32,98.66,100.47,102.50,105.08,107.84,110.37,113.19,115.10,118.49,124.72,124.10,127.39,128.58,125.72,126.05,128.74,127.10,127.63,128.35,128.98,129.45,131.07,132.41,133.27,
331.00,70.13,71.35,72.20,72.95,73.96,75.04,75.40,76.47,77.34,78.14,78.84,79.58,79.73,80.41,81.00,81.47,81.99,82.80,83.68,84.29,76.21,85.92,87.08,88.07,89.02,90.70,91.80,93.68,95.26,97.02,98.99,101.07,103.00,105.37,107.64,110.63,113.22,115.98,118.35,121.58,127.84,127.45,130.43,131.92,128.88,129.21,132.17,130.39,130.68,131.69,132.05,133.02,134.21,135.70,136.76,
332.00,71.78,72.93,73.92,74.62,75.61,76.57,77.08,78.05,78.94,79.72,80.47,81.15,81.55,82.09,82.56,82.93,83.83,84.39,85.42,86.05,77.71,87.63,88.59,89.51,90.68,92.23,93.63,95.64,96.89,98.76,100.73,102.75,104.88,107.08,109.58,112.56,115.18,118.17,120.41,123.79,130.39,129.73,132.73,134.00,131.01,131.45,134.52,132.19,132.67,133.63,134.24,135.07,136.28,137.60,138.52,
