Date,2025/05/05,
Time,18:00:00,
Memo,EKO 711,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.6,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,0.00,
301.00,0.01,
302.00,0.01,
303.00,0.00,
304.00,0.00,
305.00,0.01,
306.00,0.00,
307.00,0.00,
308.00,0.01,
309.00,0.01,
310.00,0.00,
311.00,0.00,
312.00,0.00,
313.00,-0.00,
314.00,0.00,
315.00,0.00,
316.00,0.00,
317.00,0.00,
318.00,0.00,
319.00,-0.00,
320.00,-0.00,
321.00,0.00,
322.00,0.00,
323.00,0.00,
324.00,0.01,
325.00,0.01,
326.00,0.01,
327.00,0.01,
328.00,0.01,
329.00,0.01,
330.00,0.01,
331.00,0.01,
332.00,0.01,
333.00,0.01,
334.00,0.02,
335.00,0.02,
336.00,0.02,
337.00,0.02,
338.00,0.02,
339.00,0.02,
340.00,0.02,
341.00,0.02,
342.00,0.02,
343.00,0.02,
344.00,0.02,
345.00,0.02,
346.00,0.02,
347.00,0.03,
348.00,0.02,
349.00,0.02,
350.00,0.02,
351.00,0.02,
352.00,0.02,
353.00,0.02,
354.00,0.02,
355.00,0.02,
356.00,0.03,
357.00,0.02,
358.00,0.02,
359.00,0.02,
360.00,0.02,
361.00,0.02,
362.00,0.02,
363.00,0.03,
364.00,0.03,
365.00,0.03,
366.00,0.03,
367.00,0.03,
368.00,0.03,
369.00,0.03,
370.00,0.03,
371.00,0.03,
372.00,0.03,
373.00,0.03,
374.00,0.02,
375.00,0.03,
376.00,0.03,
377.00,0.02,
378.00,0.03,
379.00,0.03,
380.00,0.03,
381.00,0.03,
382.00,0.03,
383.00,0.03,
384.00,0.02,
385.00,0.02,
386.00,0.03,
387.00,0.03,
388.00,0.03,
389.00,0.03,
390.00,0.03,
391.00,0.03,
392.00,0.03,
393.00,0.02,
394.00,0.02,
395.00,0.02,
396.00,0.02,
397.00,0.02,
398.00,0.03,
399.00,0.03,
400.00,0.03,
401.00,0.04,
402.00,0.04,
403.00,0.04,
404.00,0.04,
405.00,0.04,
406.00,0.03,
407.00,0.03,
408.00,0.04,
409.00,0.04,
410.00,0.04,
411.00,0.04,
412.00,0.04,
413.00,0.04,
414.00,0.04,
415.00,0.04,
416.00,0.04,
417.00,0.04,
418.00,0.04,
419.00,0.04,
420.00,0.04,
421.00,0.04,
422.00,0.04,
423.00,0.04,
424.00,0.04,
425.00,0.04,
426.00,0.04,
427.00,0.04,
428.00,0.04,
429.00,0.03,
430.00,0.03,
431.00,0.03,
432.00,0.03,
433.00,0.03,
434.00,0.04,
435.00,0.04,
436.00,0.03,
437.00,0.04,
438.00,0.04,
439.00,0.03,
440.00,0.04,
441.00,0.04,
442.00,0.04,
443.00,0.04,
444.00,0.05,
445.00,0.04,
446.00,0.04,
447.00,0.05,
448.00,0.05,
449.00,0.05,
450.00,0.05,
451.00,0.05,
452.00,0.04,
453.00,0.04,
454.00,0.04,
455.00,0.04,
456.00,0.04,
457.00,0.05,
458.00,0.04,
459.00,0.05,
460.00,0.06,
461.00,0.05,
462.00,0.04,
463.00,0.05,
464.00,0.04,
465.00,0.03,
466.00,0.04,
467.00,0.04,
468.00,0.03,
469.00,0.03,
470.00,0.04,
471.00,0.03,
472.00,0.04,
473.00,0.06,
474.00,0.05,
475.00,0.04,
476.00,0.05,
477.00,0.04,
478.00,0.02,
479.00,0.03,
480.00,0.03,
481.00,0.03,
482.00,0.04,
483.00,0.05,
484.00,0.04,
485.00,0.05,
486.00,0.05,
487.00,0.04,
488.00,0.03,
489.00,0.03,
490.00,0.03,
491.00,0.02,
492.00,0.03,
493.00,0.04,
494.00,0.03,
495.00,0.04,
496.00,0.04,
497.00,0.04,
498.00,0.03,
499.00,0.04,
500.00,0.04,
501.00,0.04,
502.00,0.04,
503.00,0.04,
504.00,0.04,
505.00,0.03,
506.00,0.03,
507.00,0.03,
508.00,0.03,
509.00,0.03,
510.00,0.04,
511.00,0.04,
512.00,0.05,
513.00,0.04,
514.00,0.04,
515.00,0.04,
516.00,0.03,
517.00,0.02,
518.00,0.01,
519.00,0.01,
520.00,0.01,
521.00,0.01,
522.00,0.02,
523.00,0.03,
524.00,0.03,
525.00,0.03,
526.00,0.04,
527.00,0.04,
528.00,0.04,
529.00,0.04,
530.00,0.04,
531.00,0.03,
532.00,0.02,
533.00,0.03,
534.00,0.03,
535.00,0.03,
536.00,0.03,
537.00,0.03,
538.00,0.03,
539.00,0.03,
540.00,0.02,
541.00,0.02,
542.00,0.02,
543.00,0.02,
544.00,0.01,
545.00,0.01,
546.00,0.02,
547.00,0.03,
548.00,0.03,
549.00,0.03,
550.00,0.03,
551.00,0.01,
552.00,0.01,
553.00,0.01,
554.00,0.01,
555.00,0.01,
556.00,0.02,
557.00,0.03,
558.00,0.03,
559.00,0.04,
560.00,0.04,
561.00,0.04,
562.00,0.03,
563.00,0.03,
564.00,0.02,
565.00,0.02,
566.00,0.01,
567.00,0.00,
568.00,0.01,
569.00,0.01,
570.00,0.01,
571.00,0.02,
572.00,0.03,
573.00,0.02,
574.00,0.02,
575.00,0.03,
576.00,0.02,
577.00,0.02,
578.00,0.03,
579.00,0.02,
580.00,-0.00,
581.00,-0.00,
582.00,-0.01,
583.00,-0.01,
584.00,-0.00,
585.00,0.01,
586.00,-0.00,
587.00,0.00,
588.00,0.01,
589.00,0.00,
590.00,-0.00,
591.00,0.02,
592.00,0.01,
593.00,0.01,
594.00,0.02,
595.00,0.02,
596.00,0.02,
597.00,0.02,
598.00,0.02,
599.00,0.01,
600.00,0.02,
601.00,0.03,
602.00,0.02,
603.00,0.01,
604.00,0.02,
605.00,0.01,
606.00,0.00,
607.00,0.01,
608.00,0.01,
609.00,0.00,
610.00,0.01,
611.00,0.01,
612.00,0.00,
613.00,0.01,
614.00,0.01,
615.00,-0.00,
616.00,-0.00,
617.00,0.00,
618.00,-0.01,
619.00,-0.01,
620.00,-0.01,
621.00,-0.00,
622.00,-0.01,
623.00,0.01,
624.00,0.01,
625.00,0.01,
626.00,0.01,
627.00,0.02,
628.00,0.01,
629.00,0.01,
630.00,0.02,
631.00,0.01,
632.00,0.00,
633.00,0.00,
634.00,-0.00,
