Datetime_UTC,DHI-MS80,MS80-temp,DNI-MS57
2024-11-23 00:00:00,0.09,7.33,6.03
2024-11-23 00:00:10,0.36,7.35,5.27
2024-11-23 00:00:20,0.21,7.35,4.93
2024-11-23 00:00:30,0.04,7.36,8.42
2024-11-23 00:00:40,0.19,7.36,4.48
2024-11-23 00:00:50,0.07,7.36,6.63
2024-11-23 00:01:00,0.09,7.36,7.62
2024-11-23 00:01:10,0.07,7.38,3.94
2024-11-23 00:01:20,0.07,7.38,6.3
2024-11-23 00:01:30,0.08,7.38,5.31
2024-11-23 00:01:40,0.03,7.39,7.17
2024-11-23 00:01:50,0.0,7.39,5.08
2024-11-23 00:02:00,0.16,7.41,5.99
2024-11-23 00:02:10,0.13,7.41,8.9
2024-11-23 00:02:20,0.16,7.41,4.78
2024-11-23 00:02:30,0.1,7.42,5.86
2024-11-23 00:02:40,0.15,7.42,5.26
2024-11-23 00:02:50,0.24,7.42,5.46
2024-11-23 00:03:00,0.27,7.42,6.98
2024-11-23 00:03:10,0.3,7.42,6.15
2024-11-23 00:03:20,0.15,7.42,4.72
2024-11-23 00:03:30,0.3,7.44,4.86
2024-11-23 00:03:40,0.24,7.44,7.22
2024-11-23 00:03:50,0.23,7.44,5.97
2024-11-23 00:04:00,0.23,7.44,4.91
2024-11-23 00:04:10,0.23,7.44,5.01
2024-11-23 00:04:20,0.15,7.46,8.19
2024-11-23 00:04:30,0.24,7.46,4.95
2024-11-23 00:04:40,0.23,7.46,5.77
2024-11-23 00:04:50,0.15,7.46,3.57
2024-11-23 00:05:00,0.21,7.46,4.7
2024-11-23 00:05:10,0.33,7.46,4.15
2024-11-23 00:05:20,0.3,7.47,6.31
2024-11-23 00:05:30,0.21,7.47,3.87
2024-11-23 00:05:40,0.27,7.47,4.86
2024-11-23 00:05:50,0.38,7.47,5.72
2024-11-23 00:06:00,0.47,7.47,4.04
2024-11-23 00:06:10,0.33,7.47,6.77
2024-11-23 00:06:20,0.27,7.47,5.01
2024-11-23 00:06:30,0.41,7.47,3.49
2024-11-23 00:06:40,0.47,7.46,4.55
2024-11-23 00:06:50,0.86,7.46,2.53
2024-11-23 00:07:00,0.71,7.44,3.55
2024-11-23 00:07:10,0.83,7.44,3.44
2024-11-23 00:07:20,0.74,7.44,3.29
2024-11-23 00:07:30,0.8,7.42,3.14
2024-11-23 00:07:40,0.77,7.42,2.46
2024-11-23 00:07:50,0.74,7.41,3.94
2024-11-23 00:08:00,0.83,7.41,3.81
2024-11-23 00:08:10,0.92,7.39,2.96
2024-11-23 00:08:20,0.83,7.39,3.23
2024-11-23 00:08:30,0.86,7.38,3.44
2024-11-23 00:08:40,0.77,7.38,4.05
2024-11-23 00:08:50,0.62,7.36,3.5
2024-11-23 00:09:00,0.65,7.36,3.24
2024-11-23 00:09:10,0.68,7.35,4.15
2024-11-23 00:09:20,0.74,7.38,3.0
2024-11-23 00:09:30,0.56,7.35,2.05
2024-11-23 00:09:40,0.59,7.33,3.14
2024-11-23 00:09:50,0.62,7.33,4.65
2024-11-23 00:10:00,0.62,7.33,3.32
2024-11-23 00:10:10,0.68,7.33,2.28
2024-11-23 00:10:20,0.56,7.33,3.41
2024-11-23 00:10:30,0.44,7.31,3.69
2024-11-23 00:10:40,0.38,7.31,4.55
2024-11-23 00:10:50,0.56,7.31,3.13
2024-11-23 00:11:00,0.5,7.31,2.39
2024-11-23 00:11:10,0.5,7.31,2.91
2024-11-23 00:11:20,0.38,7.31,2.05
2024-11-23 00:11:30,0.3,7.31,3.53
2024-11-23 00:11:40,0.33,7.31,3.54
2024-11-23 00:11:50,0.27,7.31,2.91
2024-11-23 00:12:00,0.3,7.31,2.59
2024-11-23 00:12:10,0.24,7.31,1.92
2024-11-23 00:12:20,0.27,7.31,3.1
2024-11-23 00:12:30,0.27,7.31,2.37
