Date,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,2024/11/13,
Time,09:00:00,09:01:00,09:02:00,09:03:00,09:04:00,09:05:00,09:06:00,09:07:00,09:08:00,09:09:00,09:10:00,09:11:00,09:12:00,09:13:00,09:14:00,09:15:00,09:16:00,09:17:00,09:18:00,09:19:00,09:20:00,09:21:00,09:22:00,09:23:00,09:24:00,09:25:00,09:26:00,09:27:00,09:28:00,09:29:00,09:30:00,09:41:00,09:42:00,09:43:00,09:44:00,09:45:00,09:46:00,09:49:00,09:50:00,09:51:00,09:52:00,09:53:00,09:54:00,09:55:00,09:56:00,09:57:00,09:58:00,09:59:00,
Memo,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,
Sensor Temp.(deg),24.5,24.5,24.5,24.5,24.6,24.5,24.5,24.5,24.5,24.5,24.5,24.4,24.4,24.4,24.5,24.5,24.4,24.4,24.5,24.5,24.5,24.6,24.4,24.5,24.5,24.5,24.5,24.5,24.6,24.4,24.5,24.1,24.7,24.3,24.4,24.5,24.5,24.0,24.9,24.4,24.5,24.5,24.5,24.6,24.4,24.3,24.5,24.5,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,0.00,-0.00,-0.01,0.00,-0.01,-0.01,0.01,0.01,-0.00,-0.01,-0.00,0.01,0.01,0.01,0.01,0.01,-0.00,-0.01,0.02,0.01,0.00,0.01,-0.00,0.01,-0.00,0.02,-0.01,0.01,-0.01,-0.01,0.00,-0.03,-0.03,-0.02,-0.01,-0.01,0.01,-0.00,-0.01,0.01,-0.00,0.01,-0.01,0.00,0.00,0.00,-0.00,0.02,
301.00,-0.00,-0.01,-0.00,0.01,-0.02,-0.01,0.00,0.00,0.00,-0.01,0.00,0.02,0.01,-0.00,-0.00,0.01,-0.00,-0.01,0.02,0.00,-0.00,0.01,0.00,0.02,0.00,0.02,-0.01,0.02,0.00,-0.01,-0.00,-0.03,-0.02,-0.02,0.00,-0.00,0.01,-0.02,-0.00,0.01,-0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.02,
302.00,-0.01,-0.01,0.00,0.01,-0.02,-0.02,0.00,0.00,0.01,-0.02,0.00,0.02,-0.00,-0.00,-0.00,0.00,0.00,-0.01,0.02,0.00,0.00,0.00,0.00,0.03,-0.00,0.02,-0.00,0.03,-0.00,-0.02,-0.00,-0.03,-0.02,-0.02,0.01,-0.00,-0.00,-0.02,-0.00,0.02,-0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.02,
303.00,-0.01,-0.01,0.01,0.01,-0.00,-0.01,0.01,-0.01,0.01,-0.02,0.01,0.03,-0.00,-0.01,-0.01,-0.00,-0.00,-0.01,0.02,0.00,-0.00,0.00,0.01,0.02,0.00,0.01,-0.01,0.03,0.00,-0.02,0.00,-0.03,-0.01,-0.02,-0.00,0.01,-0.00,-0.01,-0.01,0.03,-0.01,0.01,0.02,0.00,0.02,0.01,0.01,0.02,
304.00,-0.01,-0.00,0.01,0.02,0.01,-0.00,0.00,-0.01,0.02,-0.01,0.01,0.03,0.00,-0.00,0.00,-0.00,0.00,-0.01,0.01,0.00,-0.01,0.01,0.01,0.02,0.01,-0.00,0.00,0.02,-0.01,-0.00,0.01,-0.04,-0.01,-0.02,-0.00,0.01,-0.01,-0.01,-0.00,0.03,-0.00,0.02,0.02,0.01,0.02,0.03,0.03,0.03,
305.00,-0.00,-0.00,0.01,0.01,0.02,0.01,0.00,-0.01,0.01,-0.00,0.01,0.03,-0.01,0.00,0.01,0.01,0.00,-0.01,0.01,0.00,-0.01,0.01,0.01,0.01,0.01,-0.00,-0.00,0.01,-0.01,0.01,0.02,-0.04,-0.01,-0.02,0.01,0.02,0.00,0.00,-0.00,0.03,0.00,0.03,0.02,0.00,0.03,0.04,0.04,0.03,
