Date,2024/11/23,
Time,18:00:00,
Memo,EKO 711 DNI,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.2,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,-0.02,
301.00,-0.01,
302.00,-0.02,
303.00,-0.01,
304.00,-0.02,
305.00,-0.01,
306.00,-0.02,
307.00,-0.01,
308.00,-0.01,
309.00,-0.00,
310.00,-0.00,
311.00,-0.00,
312.00,0.00,
313.00,0.00,
314.00,-0.01,
315.00,-0.01,
316.00,-0.01,
317.00,-0.01,
318.00,-0.02,
319.00,-0.01,
320.00,-0.01,
321.00,-0.00,
322.00,-0.01,
323.00,0.00,
324.00,-0.02,
325.00,-0.01,
326.00,-0.01,
327.00,-0.02,
328.00,-0.02,
329.00,-0.01,
330.00,0.01,
331.00,0.00,
332.00,0.02,
333.00,0.02,
334.00,0.01,
335.00,-0.00,
336.00,0.00,
337.00,-0.01,
338.00,-0.01,
339.00,-0.01,
340.00,-0.00,
341.00,-0.00,
342.00,-0.00,
343.00,-0.00,
344.00,-0.01,
345.00,-0.00,
346.00,0.00,
347.00,0.00,
348.00,0.01,
349.00,0.01,
350.00,0.01,
351.00,-0.00,
352.00,-0.00,
353.00,-0.00,
354.00,0.01,
355.00,-0.00,
356.00,0.01,
357.00,-0.01,
358.00,-0.01,
359.00,-0.02,
360.00,-0.02,
361.00,-0.02,
362.00,-0.01,
363.00,-0.01,
364.00,-0.01,
365.00,-0.01,
366.00,-0.01,
367.00,-0.01,
368.00,-0.00,
369.00,0.00,
370.00,-0.01,
371.00,-0.00,
372.00,-0.00,
373.00,-0.01,
374.00,-0.02,
375.00,-0.01,
376.00,-0.00,
377.00,0.00,
378.00,-0.00,
379.00,0.01,
380.00,0.01,
381.00,0.01,
382.00,0.01,
383.00,0.01,
384.00,0.02,
385.00,0.02,
386.00,0.01,
387.00,0.02,
388.00,0.01,
389.00,-0.00,
390.00,-0.00,
391.00,0.01,
392.00,0.01,
393.00,0.01,
394.00,0.01,
395.00,0.01,
396.00,-0.00,
397.00,-0.01,
398.00,-0.01,
399.00,-0.00,
400.00,-0.01,
401.00,-0.01,
402.00,-0.00,
403.00,-0.01,
404.00,-0.01,
405.00,-0.01,
406.00,-0.00,
407.00,-0.01,
408.00,-0.01,
409.00,-0.02,
410.00,-0.01,
411.00,-0.01,
412.00,-0.01,
413.00,-0.00,
414.00,0.01,
415.00,0.00,
416.00,0.00,
417.00,0.01,
418.00,0.02,
419.00,0.03,
420.00,0.02,
421.00,0.02,
422.00,0.01,
423.00,0.00,
424.00,-0.01,
425.00,-0.01,
426.00,-0.00,
427.00,0.00,
428.00,-0.00,
429.00,0.00,
430.00,-0.00,
431.00,-0.00,
432.00,-0.01,
433.00,0.00,
434.00,0.02,
435.00,0.02,
436.00,0.03,
437.00,0.04,
438.00,0.03,
439.00,0.01,
440.00,-0.00,
441.00,-0.01,
442.00,-0.02,
443.00,-0.01,
444.00,-0.01,
445.00,0.01,
446.00,-0.01,
447.00,-0.01,
448.00,-0.02,
449.00,-0.02,
450.00,-0.02,
451.00,-0.01,
452.00,0.01,
453.00,0.02,
454.00,0.01,
455.00,-0.02,
456.00,-0.01,
457.00,-0.02,
458.00,-0.01,
459.00,-0.02,
460.00,0.02,
461.00,0.01,
462.00,0.01,
463.00,0.01,
464.00,0.02,
465.00,0.00,
466.00,-0.01,
467.00,-0.03,
468.00,-0.02,
469.00,-0.03,
470.00,-0.05,
471.00,-0.02,
472.00,-0.01,
473.00,-0.00,
474.00,-0.01,
475.00,-0.01,
476.00,-0.01,
477.00,-0.01,
478.00,-0.02,
479.00,0.02,
480.00,0.03,
481.00,0.03,
482.00,0.02,
483.00,0.02,
484.00,-0.02,
485.00,-0.03,
486.00,-0.03,
487.00,-0.02,
488.00,-0.02,
489.00,-0.03,
490.00,-0.03,
491.00,-0.01,
492.00,-0.01,
493.00,-0.01,
494.00,-0.01,
495.00,-0.02,
496.00,-0.03,
497.00,-0.02,
498.00,-0.03,
499.00,-0.04,
500.00,-0.03,
501.00,-0.05,
502.00,-0.05,
503.00,-0.06,
504.00,-0.05,
505.00,-0.08,
506.00,-0.01,
507.00,-0.02,
508.00,-0.00,
509.00,-0.00,
510.00,0.02,
511.00,-0.01,
512.00,-0.03,
513.00,-0.04,
514.00,-0.05,
515.00,-0.05,
516.00,-0.08,
517.00,-0.04,
518.00,-0.02,
519.00,-0.01,
520.00,-0.02,
521.00,0.04,
522.00,0.00,
523.00,-0.01,
524.00,-0.03,
525.00,-0.03,
526.00,-0.06,
527.00,-0.05,
528.00,-0.03,
529.00,-0.06,
530.00,-0.04,
531.00,-0.04,
532.00,-0.01,
533.00,-0.03,
534.00,0.00,
535.00,0.01,
536.00,0.02,
537.00,0.04,
538.00,0.04,
539.00,0.05,
540.00,0.01,
541.00,0.01,
542.00,-0.01,
543.00,0.01,
544.00,0.00,
545.00,0.05,
546.00,0.08,
547.00,0.07,
548.00,0.06,
549.00,0.05,
550.00,0.03,
551.00,-0.02,
552.00,-0.01,
553.00,-0.03,
554.00,-0.01,
555.00,-0.02,
556.00,0.02,
557.00,0.02,
558.00,0.02,
559.00,0.01,
560.00,0.01,
561.00,-0.03,
562.00,-0.04,
563.00,-0.04,
564.00,-0.07,
565.00,-0.07,
566.00,-0.05,
567.00,-0.01,
568.00,-0.02,
569.00,-0.01,
570.00,0.02,
571.00,0.03,
572.00,0.05,
573.00,0.05,
574.00,0.06,
575.00,0.02,
576.00,-0.01,
577.00,-0.03,
578.00,-0.04,
579.00,-0.04,
580.00,-0.01,
581.00,0.01,
582.00,0.00,
583.00,0.01,
584.00,0.02,
585.00,0.01,
586.00,-0.04,
587.00,-0.03,
588.00,-0.03,
589.00,-0.01,
590.00,-0.03,
591.00,0.03,
592.00,0.03,
593.00,0.02,
594.00,0.01,
595.00,0.02,
596.00,0.00,
597.00,-0.01,
598.00,0.03,
599.00,0.03,
600.00,0.02,
601.00,0.03,
602.00,-0.00,
603.00,-0.04,
604.00,-0.07,
605.00,-0.05,
606.00,-0.06,
607.00,-0.05,
608.00,-0.03,
609.00,-0.00,
610.00,-0.03,
611.00,-0.04,
612.00,-0.03,
613.00,-0.03,
614.00,-0.02,
615.00,-0.01,
616.00,0.04,
617.00,0.03,
618.00,0.01,
619.00,0.01,
620.00,0.02,
621.00,-0.01,
622.00,0.00,
623.00,0.03,
624.00,0.05,
625.00,0.01,
626.00,0.02,
627.00,0.03,
628.00,0.01,
629.00,0.02,
630.00,0.03,
631.00,0.04,
632.00,0.03,
633.00,0.06,
634.00,0.06,
635.00,0.07,
636.00,0.07,
637.00,0.08,
638.00,0.07,
639.00,0.04,
640.00,0.03,
641.00,-0.01,
642.00,-0.03,
643.00,-0.04,
644.00,-0.02,
645.00,-0.04,
646.00,-0.04,
647.00,0.03,
648.00,0.01,
649.00,0.00,
650.00,0.03,
651.00,0.07,
652.00,0.00,
653.00,-0.04,
654.00,-0.01,
655.00,-0.03,
656.00,-0.04,
657.00,-0.00,
658.00,0.07,
659.00,0.02,
660.00,0.01,
661.00,0.01,
662.00,-0.00,
663.00,-0.02,
664.00,-0.00,
665.00,0.03,
666.00,0.02,
667.00,0.03,
668.00,0.00,
669.00,0.01,
670.00,0.01,
671.00,0.00,
672.00,-0.02,
673.00,-0.03,
674.00,-0.06,
675.00,-0.08,
676.00,-0.07,
677.00,-0.06,
678.00,-0.02,
679.00,-0.04,
680.00,-0.04,
681.00,-0.03,
682.00,-0.01,
