Date,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,2024/11/05,
Time,10:00:00,10:01:00,10:02:00,10:03:00,10:04:00,10:05:00,10:06:00,10:24:00,10:25:00,10:26:00,10:27:00,10:28:00,10:29:00,10:30:00,10:31:00,10:32:00,10:33:00,10:34:00,10:35:00,10:36:00,10:37:00,10:38:00,10:39:00,10:40:00,10:41:00,10:42:00,10:43:00,10:44:00,10:45:00,10:46:00,10:47:00,10:48:00,10:49:00,10:50:00,10:51:00,10:52:00,10:53:00,10:54:00,10:55:00,10:56:00,10:57:00,10:58:00,10:59:00,
Memo,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,
Sensor Temp.(deg),24.6,24.6,24.6,24.7,24.6,24.7,24.6,24.4,24.5,24.5,24.5,24.6,24.6,24.6,24.5,24.5,24.4,24.4,24.5,24.4,24.5,24.6,24.6,24.5,24.5,24.4,24.4,24.4,24.5,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.5,24.5,24.5,24.6,24.6,24.5,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,16.89,15.78,17.17,16.58,16.42,15.22,16.02,15.36,16.26,16.34,16.20,17.29,17.09,15.23,11.37,15.48,17.51,16.56,14.95,11.21,15.98,16.57,16.18,16.14,15.92,15.96,15.70,12.13,12.82,16.77,16.46,15.86,16.75,16.06,17.81,17.57,10.51,11.81,10.39,7.57,9.15,9.71,11.05,
301.00,19.25,18.56,19.95,19.12,18.86,18.03,18.65,17.85,18.98,18.93,18.02,19.67,19.50,17.49,13.88,17.74,19.57,18.76,17.32,13.11,18.09,18.90,18.30,18.38,18.05,17.81,17.91,14.02,13.77,18.16,18.66,18.52,18.58,18.23,20.59,20.20,12.26,12.82,11.52,8.59,10.19,11.20,12.97,
302.00,22.39,21.96,22.66,22.26,21.71,21.95,21.99,21.39,22.79,22.95,21.14,22.67,22.26,19.14,16.45,20.40,22.82,21.53,20.16,15.92,21.12,22.93,21.38,21.83,21.07,20.67,20.95,16.17,16.84,21.67,21.56,21.83,22.65,21.70,23.11,23.26,14.17,15.14,13.04,10.53,11.90,12.92,14.90,
303.00,26.49,25.24,25.80,26.66,25.49,25.88,25.74,25.94,26.82,26.71,24.82,25.90,25.78,22.41,19.43,24.54,26.41,24.88,23.88,18.79,24.74,26.94,24.94,25.92,25.26,24.40,25.72,18.81,20.60,26.51,25.94,25.24,26.35,25.13,26.84,27.05,16.55,18.23,15.79,12.91,14.60,14.99,17.73,
304.00,31.10,30.24,30.44,31.15,31.06,30.66,30.63,30.81,31.90,31.39,29.14,30.34,30.87,27.15,24.29,29.06,31.23,29.38,28.16,22.69,29.02,31.05,30.00,30.49,30.14,29.62,30.16,23.16,24.78,30.87,30.49,30.30,30.77,29.35,31.53,32.77,21.34,20.78,18.55,15.16,17.20,18.06,21.45,
305.00,36.62,35.70,34.57,36.55,36.06,36.69,36.27,36.20,38.11,36.91,35.14,35.77,35.99,31.67,29.48,33.16,36.84,34.78,32.74,27.18,33.94,36.34,35.91,35.85,35.28,34.86,35.35,27.08,29.62,36.06,35.07,35.85,36.76,34.57,36.62,37.19,25.80,24.11,21.71,18.10,20.11,21.46,25.54,
