sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error
15.0,0.9659258262890683,794105.582194,51353.763904249994,-2.464318290073581e-12,845459.3460982499,822118.5939761295,845459.34609825,-1.1641532182693481e-10
15.5,0.963630453208623,791925.6244955,51327.7157997,9.976210143749003e-13,843253.3402952,821814.6508950674,843253.3402952,0.0
16.0,0.9612616959383189,789676.3084674999,51300.744496600004,-1.7116332940083228e-11,840977.0529640999,821499.8182120126,840977.0529640999,0.0
16.5,0.958819734868193,787357.782069,51272.84497635,-5.681749853951945e-12,838630.62704535,821173.9427508096,838630.6270453499,1.1641532182693481e-10
17.0,0.9563047559630354,784970.23904,51244.01000825001,2.0690089461678824e-11,836214.2490482501,820836.9080518741,836214.24904825,1.1641532182693481e-10
17.5,0.9537169507482269,782513.9712245001,51214.2300615,-2.907775370737423e-11,833728.201286,820488.6896584866,833728.2012860001,-1.1641532182693481e-10
18.0,0.9510565162951535,779989.1942435,51183.501225600005,1.9324375398086343e-11,831172.6954691,820129.1730610844,831172.6954691,0.0
18.5,0.9483236552061993,777396.0296284999,51151.81178145,1.9745196130353786e-11,828547.84140995,819758.1335872787,828547.8414099498,2.3283064365386963e-10
19.0,0.9455185755993168,774734.7789535,51119.15459095,4.027557979025095e-12,825853.93354445,819375.5246558053,825853.93354445,0.0
19.5,0.9426414910921784,772005.7240825,51085.5219389,1.9127529920493127e-11,823091.2460214,818981.268465094,823091.2460214,0.0
20.0,0.9396926207859084,769209.0470395,51050.902935399994,-2.7966668073528705e-12,820259.9499748999,818575.1702468141,820259.9499749,-1.1641532182693481e-10
20.5,0.9366721892483976,766345.0441175001,51015.2905661,-2.5959772937464982e-11,817360.3346836,818157.1449585035,817360.3346836001,-1.1641532182693481e-10
21.0,0.9335804264972017,763413.9004235,50978.67195065,6.16208683940285e-12,814392.5723741499,817726.9775115494,814392.57237415,-1.1641532182693481e-10
