sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error,ecc_factor,total_global_horiz_corr,total_diffuse_down_horiz_corr,dni_reconstructed_corr
15.0,0.9659258262890684,794105.582194,51353.76390425,-2.464318290073581e-12,845459.3460982499,822118.5939761295,845459.34609825,-1.1641532182693479e-10,0.9956105146843716,841748.2147135908,51128.34731169005,818509.9164801663
15.5,0.963630453208623,791925.6244955,51327.7157997,9.976210143749005e-13,843253.3402952,821814.6508950674,843253.3402952,0.0,0.9956105146843716,839551.8921406196,51102.41354491247,818207.3075527952
16.0,0.9612616959383188,789676.3084674999,51300.7444966,-1.7116332940083228e-11,840977.0529640999,821499.8182120126,840977.0529640999,0.0,0.9956105146843716,837285.5965393335,51075.56063195137,817893.8568231796
16.5,0.958819734868193,787357.782069,51272.84497635,-5.681749853951945e-12,838630.62704535,821173.9427508096,838630.6270453499,1.1641532182693479e-10,0.9956105146843716,834949.4702226982,51047.78357623582,817569.4117875282
17.0,0.9563047559630354,784970.23904,51244.01000825001,2.0690089461678824e-11,836214.2490482501,820836.9080518741,836214.24904825,1.1641532182693479e-10,0.9956105146843716,832543.6988813336,51019.07517880488,817233.8564974546
17.5,0.9537169507482268,782513.9712245001,51214.2300615,-2.9077753707374228e-11,833728.201286,820488.6896584866,833728.2012860001,-1.1641532182693479e-10,0.9956105146843716,830068.5635892297,50989.425950693825,816887.1666035915
18.0,0.9510565162951536,779989.1942435,51183.501225600005,1.9324375398086343e-11,831172.6954691,820129.1730610844,831172.6954691,0.0,0.9956105146843716,827524.2751275871,50958.83199856778,816529.2280990143
18.5,0.9483236552061992,777396.0296284999,51151.81178145,1.9745196130353782e-11,828547.84140995,819758.1335872787,828547.8414099498,2.3283064365386963e-10,0.9956105146843716,824910.9428267854,50927.28165476753,816159.8172975304
19.0,0.9455185755993168,774734.7789535,51119.15459095,4.027557979025095e-12,825853.93354445,819375.5246558053,825853.93354445,0.0,0.9956105146843716,822228.8598303027,50894.767812525686,815778.8878223433
19.5,0.9426414910921784,772005.7240825,51085.5219389,1.9127529920493127e-11,823091.2460214,818981.268465094,823091.2460214,0.0,0.9956105146843716,819478.2990835668,50861.28279050798,815386.3622133918
