Date,2025/05/01,
Time,18:00:00,
Memo,EKO 711 DNI,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.6,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,-0.01,
301.00,-0.01,
302.00,-0.01,
303.00,-0.00,
304.00,0.01,
305.00,0.00,
306.00,-0.00,
307.00,-0.01,
308.00,-0.01,
309.00,-0.02,
310.00,-0.01,
311.00,0.01,
312.00,0.00,
313.00,-0.00,
314.00,0.00,
315.00,-0.00,
316.00,-0.00,
317.00,0.01,
318.00,0.02,
319.00,0.01,
320.00,0.00,
321.00,0.01,
322.00,0.00,
323.00,0.01,
324.00,0.01,
325.00,0.00,
326.00,-0.00,
327.00,-0.01,
328.00,-0.00,
329.00,-0.01,
330.00,0.00,
331.00,0.01,
332.00,0.01,
333.00,-0.01,
334.00,-0.01,
335.00,-0.01,
336.00,-0.00,
337.00,0.01,
338.00,0.01,
339.00,0.00,
340.00,-0.01,
341.00,-0.01,
342.00,-0.01,
343.00,-0.00,
344.00,-0.00,
345.00,0.00,
346.00,-0.01,
347.00,-0.01,
348.00,-0.01,
349.00,-0.01,
350.00,0.00,
351.00,0.01,
352.00,0.01,
353.00,0.01,
354.00,-0.00,
355.00,-0.00,
356.00,-0.00,
357.00,0.00,
358.00,0.01,
359.00,0.01,
360.00,0.01,
361.00,0.01,
362.00,0.00,
363.00,0.01,
364.00,0.01,
365.00,0.00,
366.00,0.00,
367.00,-0.01,
368.00,-0.01,
369.00,-0.00,
370.00,-0.00,
371.00,0.00,
372.00,0.00,
373.00,-0.00,
374.00,-0.01,
375.00,-0.01,
376.00,-0.00,
377.00,-0.00,
378.00,0.00,
379.00,0.01,
380.00,-0.02,
381.00,-0.07,
382.00,-0.07,
383.00,-0.07,
384.00,-0.06,
385.00,-0.05,
386.00,0.01,
387.00,0.00,
388.00,-0.00,
389.00,-0.00,
390.00,-0.00,
391.00,0.00,
392.00,0.01,
393.00,0.01,
394.00,0.01,
395.00,0.01,
396.00,0.01,
397.00,0.01,
398.00,0.01,
399.00,0.01,
400.00,-0.00,
401.00,-0.00,
402.00,-0.00,
403.00,0.00,
404.00,0.01,
405.00,0.02,
406.00,0.01,
407.00,0.01,
408.00,-0.01,
409.00,-0.01,
410.00,-0.01,
411.00,-0.01,
412.00,0.00,
413.00,0.00,
414.00,0.00,
415.00,0.01,
416.00,0.01,
417.00,0.02,
418.00,0.02,
419.00,0.02,
420.00,0.01,
421.00,-0.01,
422.00,-0.02,
423.00,-0.02,
424.00,-0.02,
425.00,-0.00,
426.00,0.01,
427.00,0.00,
428.00,0.01,
429.00,0.00,
430.00,0.01,
431.00,0.00,
432.00,0.01,
433.00,0.01,
434.00,-0.00,
435.00,-0.00,
436.00,0.00,
437.00,0.00,
438.00,-0.00,
439.00,0.01,
440.00,0.01,
441.00,-0.01,
442.00,-0.01,
443.00,0.01,
444.00,0.00,
445.00,0.00,
446.00,0.03,
447.00,0.01,
448.00,-0.01,
449.00,-0.03,
450.00,-0.02,
451.00,-0.02,
452.00,-0.02,
453.00,0.01,
454.00,0.03,
455.00,0.01,
456.00,0.03,
457.00,0.06,
458.00,0.04,
459.00,0.05,
460.00,0.02,
461.00,-0.00,
462.00,-0.02,
463.00,-0.01,
464.00,-0.00,
465.00,0.00,
466.00,0.02,
467.00,0.01,
468.00,-0.04,
469.00,-0.05,
470.00,-0.03,
471.00,-0.02,
472.00,-0.01,
473.00,0.05,
474.00,0.05,
475.00,-0.01,
476.00,-0.02,
477.00,-0.02,
478.00,-0.05,
479.00,-0.05,
480.00,-0.00,
481.00,-0.03,
482.00,-0.01,
483.00,0.01,
484.00,0.03,
485.00,0.04,
486.00,0.03,
487.00,0.05,
488.00,0.01,
489.00,0.01,
490.00,0.00,
491.00,0.03,
492.00,0.04,
493.00,0.05,
494.00,0.03,
495.00,0.00,
496.00,-0.02,
497.00,-0.02,
498.00,-0.00,
499.00,-0.01,
500.00,0.04,
501.00,0.02,
502.00,-0.01,
503.00,-0.02,
504.00,-0.03,
505.00,-0.02,
506.00,0.02,
507.00,0.01,
508.00,0.02,
509.00,0.02,
510.00,0.01,
511.00,0.04,
512.00,0.06,
513.00,0.06,
514.00,0.05,
515.00,0.01,
516.00,-0.04,
517.00,-0.05,
518.00,-0.05,
519.00,-0.03,
520.00,0.00,
521.00,0.03,
522.00,0.01,
523.00,0.02,
524.00,0.04,
525.00,0.04,
526.00,0.05,
527.00,0.06,
528.00,0.03,
529.00,-0.02,
530.00,-0.02,
531.00,-0.01,
532.00,0.01,
533.00,0.01,
534.00,0.06,
535.00,0.00,
536.00,-0.03,
537.00,-0.04,
538.00,-0.02,
539.00,-0.02,
540.00,0.04,
541.00,0.04,
542.00,0.02,
543.00,-0.00,
544.00,0.01,
545.00,0.02,
546.00,0.06,
547.00,0.11,
548.00,0.10,
549.00,0.08,
550.00,0.07,
551.00,0.04,
552.00,-0.01,
553.00,-0.02,
554.00,-0.08,
555.00,-0.08,
556.00,-0.11,
557.00,-0.08,
558.00,-0.04,
559.00,-0.00,
560.00,0.03,
561.00,0.06,
562.00,0.02,
563.00,-0.02,
564.00,-0.02,
565.00,-0.02,
566.00,-0.01,
567.00,0.00,
568.00,0.03,
569.00,-0.01,
570.00,-0.05,
571.00,-0.05,
572.00,-0.04,
573.00,-0.01,
574.00,0.03,
575.00,0.05,
576.00,0.02,
577.00,0.04,
578.00,0.03,
579.00,0.01,
580.00,-0.01,
581.00,0.05,
582.00,0.01,
583.00,-0.00,
584.00,0.04,
585.00,0.07,
586.00,0.09,
587.00,0.12,
588.00,0.09,
589.00,0.03,
590.00,-0.01,
591.00,-0.07,
592.00,-0.08,
593.00,-0.09,
594.00,-0.03,
595.00,-0.03,
596.00,-0.01,
597.00,-0.00,
598.00,0.04,
599.00,0.04,
600.00,0.02,
601.00,-0.03,
602.00,-0.03,
603.00,-0.04,
604.00,-0.03,
605.00,0.03,
606.00,0.06,
607.00,0.05,
608.00,0.03,
609.00,-0.01,
610.00,-0.03,
611.00,-0.02,
612.00,-0.03,
613.00,0.00,
614.00,0.00,
615.00,-0.02,
616.00,-0.01,
617.00,0.02,
618.00,0.02,
619.00,0.02,
620.00,0.02,
621.00,0.06,
622.00,-0.01,
623.00,-0.02,
624.00,-0.00,
625.00,0.02,
626.00,0.03,
627.00,0.04,
628.00,-0.00,
629.00,-0.00,
630.00,-0.03,
631.00,-0.02,
632.00,0.05,
633.00,0.11,
634.00,0.13,
635.00,0.12,
636.00,0.08,
637.00,0.02,
638.00,-0.03,
639.00,-0.05,
640.00,-0.03,
641.00,-0.02,
642.00,-0.01,
643.00,-0.01,
644.00,0.01,
645.00,0.03,
646.00,0.01,
647.00,0.01,
648.00,0.02,
649.00,-0.02,
650.00,-0.06,
651.00,-0.07,
652.00,-0.08,
653.00,-0.07,
654.00,-0.04,
655.00,-0.02,
656.00,-0.00,
657.00,0.04,
658.00,0.05,
659.00,0.07,
660.00,0.08,
661.00,0.09,
662.00,0.02,
663.00,-0.01,
664.00,-0.01,
665.00,-0.01,
666.00,0.01,
667.00,0.06,
668.00,0.07,
669.00,0.06,
670.00,0.04,
671.00,0.02,
672.00,0.02,
673.00,-0.01,
674.00,0.01,
675.00,-0.01,
676.00,-0.04,
677.00,-0.04,
678.00,-0.01,
679.00,0.03,
680.00,0.07,
681.00,0.11,
682.00,0.11,
683.00,0.06,
684.00,0.02,
685.00,0.01,
686.00,-0.01,
687.00,-0.00,
688.00,0.07,
