Date,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,2025/05/02,
Time,14:00:00,14:01:00,14:02:00,14:03:00,14:04:00,14:05:00,14:06:00,14:07:00,14:08:00,14:09:00,14:10:00,14:11:00,14:12:00,14:13:00,14:14:00,14:15:00,14:16:00,14:17:00,14:18:00,14:19:00,14:20:00,14:21:00,14:22:00,14:23:00,14:24:00,14:25:00,14:26:00,14:27:00,14:28:00,14:29:00,
Memo,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,500,500,
Sensor Temp.(deg),25.4,25.4,25.5,25.5,25.4,25.5,25.5,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.5,25.4,25.4,25.5,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,4.31,4.32,3.53,3.70,2.86,2.85,6.20,5.78,5.09,4.71,4.15,4.18,3.49,3.48,2.51,4.45,4.33,3.89,3.55,3.34,2.88,4.27,3.44,3.52,3.22,2.64,2.40,1.76,1.58,1.16,
301.00,5.22,4.93,3.95,4.09,3.34,2.92,7.14,6.51,5.92,5.46,5.02,4.51,3.75,3.94,3.10,5.21,4.83,4.13,3.92,3.89,3.34,4.98,3.90,3.62,3.56,2.78,2.71,1.87,1.73,1.32,
302.00,6.39,5.68,4.69,4.73,4.17,3.35,8.19,7.23,6.73,6.61,5.68,4.98,4.11,4.27,3.71,6.15,5.36,4.49,3.94,4.36,4.05,5.72,4.54,4.20,3.89,3.36,2.95,2.19,1.96,1.52,
303.00,7.38,6.46,5.69,5.22,4.84,3.85,9.16,7.95,7.69,7.46,6.72,5.60,4.82,4.67,4.17,7.14,6.07,5.14,4.37,4.57,4.49,6.37,5.57,4.49,4.41,3.90,3.21,2.54,2.25,1.64,
304.00,8.66,7.49,6.95,6.03,5.67,4.48,10.51,9.15,8.93,8.55,7.93,6.44,5.87,5.10,4.78,8.42,7.11,6.05,5.00,5.19,4.94,7.22,6.55,5.19,5.05,4.59,3.80,2.91,2.54,1.90,
