Date,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,2025/05/04,
Time,08:11:00,08:12:00,08:13:00,08:14:00,08:15:00,08:16:00,08:17:00,08:18:00,08:19:00,08:20:00,08:21:00,08:22:00,08:23:00,08:24:00,08:25:00,08:26:00,08:27:00,08:28:00,08:29:00,08:30:00,08:31:00,08:32:00,08:33:00,08:34:00,08:35:00,08:36:00,08:37:00,08:38:00,08:39:00,08:40:00,08:41:00,08:42:00,08:43:00,08:44:00,08:45:00,08:46:00,08:47:00,08:48:00,08:49:00,08:50:00,08:51:00,08:52:00,08:53:00,08:54:00,08:55:00,08:56:00,08:57:00,08:58:00,08:59:00,
Memo,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Sensor Temp.(deg),25.4,25.3,25.4,25.5,25.4,25.3,25.4,25.4,25.3,25.4,25.3,25.5,25.3,25.4,25.4,25.3,25.3,25.3,25.4,25.3,25.2,25.4,25.3,25.3,25.5,25.3,25.4,25.2,25.2,25.4,25.3,25.2,25.4,25.3,25.5,25.4,25.4,25.4,25.4,25.2,25.4,25.3,25.5,25.4,25.3,25.4,25.2,25.3,25.3,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,9.32,8.90,8.93,8.17,7.84,7.43,9.60,8.95,9.79,10.21,10.39,9.69,10.67,9.45,9.96,8.55,9.37,9.68,9.43,9.75,9.18,9.31,9.23,10.71,10.84,10.94,10.70,11.32,10.04,9.88,9.64,9.89,10.56,9.93,9.54,9.76,9.86,10.22,9.86,9.67,11.10,11.01,11.09,11.75,11.08,10.58,11.20,9.65,9.26,
301.00,11.29,10.46,11.16,10.07,9.68,8.93,10.92,11.30,11.73,12.23,12.42,12.13,12.98,11.08,11.48,10.45,11.79,12.41,11.86,11.49,10.64,11.58,10.27,13.07,13.26,12.80,12.59,13.49,12.60,11.67,11.19,12.23,12.23,11.48,11.59,12.13,11.67,11.88,11.68,11.29,13.25,13.82,13.45,14.02,13.27,12.50,13.43,11.89,11.58,
302.00,13.86,13.19,13.45,12.25,11.89,10.71,13.19,14.35,13.84,14.70,14.90,14.64,15.38,13.49,14.02,12.81,15.04,15.60,14.75,14.06,12.97,14.26,12.47,15.82,15.89,15.55,15.00,15.62,15.38,14.18,13.35,14.82,14.78,14.17,14.87,15.08,14.36,14.58,14.31,14.12,16.06,16.76,16.36,17.10,16.44,15.30,15.90,15.48,14.56,
303.00,16.46,16.75,16.19,14.90,14.55,12.85,16.16,17.71,16.67,17.77,17.50,17.67,18.18,16.65,16.81,15.65,18.89,19.07,18.51,17.02,16.36,17.36,15.40,19.14,18.92,18.55,18.49,18.66,18.69,17.39,16.67,18.42,18.17,17.61,18.42,18.38,17.86,18.19,17.78,17.14,19.55,20.22,20.15,20.63,20.37,19.46,18.94,19.32,18.17,
304.00,19.99,20.70,19.99,18.19,17.82,15.70,20.69,21.67,20.64,21.45,21.02,21.62,21.40,20.69,20.86,19.50,23.08,23.19,23.08,21.07,20.64,21.07,19.17,23.08,23.14,22.98,23.14,22.92,23.14,21.67,20.80,23.03,22.60,22.11,22.97,22.70,22.38,22.16,21.94,21.56,24.33,24.87,25.09,24.98,25.15,24.66,23.62,24.22,22.54,
305.00,23.98,25.09,23.72,21.73,20.81,18.54,25.45,25.58,24.68,25.17,24.91,25.31,24.91,25.72,25.32,23.06,27.53,27.09,27.53,25.83,25.34,24.69,23.61,27.17,27.68,27.90,28.08,27.93,27.57,26.02,25.56,27.75,27.78,27.16,27.27,26.91,27.64,26.83,26.79,26.20,28.82,29.56,30.34,29.93,29.90,29.75,28.31,29.38,27.23,
306.00,28.19,29.33,27.70,25.65,24.13,22.05,30.52,29.33,29.29,29.92,29.49,29.56,29.09,30.67,30.72,27.30,31.46,30.97,31.99,30.52,30.58,28.66,28.39,32.35,32.55,33.56,33.94,33.24,32.42,31.12,30.92,32.84,33.09,32.13,31.52,31.46,32.82,31.68,31.39,31.12,34.52,34.50,35.92,35.25,35.66,35.81,33.91,34.23,31.93,
307.00,33.05,33.72,32.48,30.13,28.69,26.37,35.92,34.36,34.89,35.23,35.22,34.91,34.37,36.69,35.80,31.69,36.60,35.93,36.92,36.25,36.14,33.14,33.36,38.23,38.49,39.59,40.13,40.04,38.59,36.68,36.69,38.59,39.69,37.92,37.25,36.60,38.18,37.37,37.15,37.02,41.27,41.01,42.89,41.69,42.45,42.35,40.77,39.62,36.96,
308.00,39.51,38.71,37.72,35.62,33.17,30.89,42.18,39.80,40.76,41.14,41.47,40.90,40.63,42.66,42.09,37.12,42.43,41.73,42.65,42.78,42.09,39.19,38.85,44.57,45.35,46.75,46.55,46.89,44.88,43.49,43.32,45.09,46.01,44.13,43.00,43.08,44.95,43.91,43.00,43.42,48.79,48.46,49.48,49.15,49.34,48.92,47.92,46.10,43.61,
309.00,45.66,44.74,43.42,41.22,38.89,36.67,48.41,46.65,47.50,48.25,48.93,47.81,48.41,49.43,48.87,43.42,49.29,48.60,49.51,49.86,48.63,45.72,44.62,52.14,53.16,54.23,53.74,54.18,52.25,51.10,50.01,52.39,53.29,50.88,49.78,49.89,51.59,51.70,49.87,50.06,56.51,56.53,57.14,57.13,57.24,57.00,55.79,53.19,50.58,
310.00,53.26,51.14,50.26,48.13,44.95,42.91,55.10,54.33,54.92,55.58,56.88,55.88,56.43,56.21,55.79,50.46,57.02,56.23,57.20,57.46,55.69,52.88,51.03,60.58,61.01,62.07,61.45,62.12,60.42,58.79,57.09,60.20,60.82,58.27,57.76,58.09,59.05,59.88,56.98,57.62,64.99,65.16,65.47,65.92,65.93,65.51,64.36,60.91,58.21,
311.00,60.40,58.39,56.96,54.33,51.57,48.44,61.90,62.02,62.19,62.78,64.41,63.50,63.87,62.88,63.37,57.36,65.07,63.88,65.28,64.84,62.89,60.40,57.62,68.46,68.90,69.94,69.01,69.49,68.95,66.68,64.07,68.31,68.30,65.98,65.98,66.10,66.62,67.99,64.13,65.01,73.29,73.94,73.78,74.43,74.79,73.83,72.31,68.74,65.93,
