Date,2025/05/11,
Time,18:00:00,
Memo,EKO 711 DNI,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.5,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,0.00,
301.00,-0.00,
302.00,0.00,
303.00,-0.00,
304.00,-0.00,
305.00,0.00,
306.00,0.01,
307.00,-0.00,
308.00,-0.01,
309.00,-0.00,
310.00,-0.00,
311.00,-0.00,
312.00,0.00,
313.00,0.00,
314.00,-0.01,
315.00,-0.02,
316.00,-0.02,
317.00,-0.01,
318.00,-0.00,
319.00,-0.00,
320.00,0.00,
321.00,0.01,
322.00,0.00,
323.00,0.00,
324.00,0.00,
325.00,0.01,
326.00,-0.00,
327.00,-0.00,
328.00,-0.00,
329.00,-0.00,
330.00,-0.01,
331.00,-0.01,
332.00,-0.01,
333.00,-0.01,
334.00,-0.01,
335.00,-0.00,
336.00,-0.01,
337.00,0.00,
338.00,0.00,
339.00,-0.01,
340.00,-0.00,
341.00,0.01,
342.00,0.01,
343.00,0.01,
344.00,0.01,
345.00,0.01,
346.00,0.00,
347.00,0.00,
348.00,-0.01,
349.00,-0.01,
350.00,-0.01,
351.00,-0.01,
352.00,-0.01,
353.00,-0.01,
354.00,-0.01,
355.00,-0.00,
356.00,-0.01,
357.00,-0.01,
358.00,-0.00,
359.00,0.00,
360.00,0.00,
361.00,0.00,
362.00,0.00,
363.00,-0.01,
364.00,-0.01,
365.00,-0.01,
366.00,-0.01,
367.00,-0.00,
368.00,-0.00,
369.00,-0.00,
370.00,-0.00,
371.00,0.01,
372.00,-0.00,
373.00,-0.00,
374.00,-0.00,
375.00,0.00,
376.00,-0.01,
377.00,-0.00,
378.00,0.00,
379.00,-0.01,
380.00,-0.01,
381.00,0.01,
382.00,0.01,
383.00,0.02,
384.00,0.02,
385.00,0.02,
386.00,0.01,
387.00,0.00,
388.00,-0.00,
389.00,-0.00,
390.00,-0.01,
391.00,-0.01,
392.00,-0.01,
393.00,0.00,
394.00,0.01,
395.00,0.01,
396.00,0.02,
397.00,0.02,
398.00,0.01,
399.00,0.00,
400.00,0.00,
401.00,0.00,
402.00,0.00,
403.00,-0.00,
404.00,0.00,
405.00,0.01,
406.00,0.01,
407.00,0.02,
408.00,0.02,
409.00,0.01,
410.00,0.00,
411.00,0.00,
412.00,0.01,
413.00,0.00,
414.00,-0.01,
415.00,-0.01,
416.00,-0.01,
417.00,-0.01,
418.00,-0.01,
419.00,-0.00,
420.00,0.01,
421.00,0.00,
422.00,0.00,
423.00,0.01,
424.00,0.01,
425.00,0.01,
426.00,0.01,
427.00,0.00,
428.00,-0.00,
429.00,0.00,
430.00,0.01,
431.00,-0.00,
432.00,-0.01,
433.00,-0.01,
434.00,-0.02,
435.00,-0.02,
436.00,0.01,
437.00,-0.00,
438.00,0.00,
439.00,-0.00,
440.00,-0.00,
441.00,0.01,
442.00,0.02,
443.00,0.02,
444.00,0.01,
445.00,-0.00,
446.00,-0.02,
447.00,-0.01,
448.00,0.00,
449.00,0.00,
450.00,0.02,
451.00,0.02,
452.00,0.02,
453.00,0.03,
454.00,0.04,
455.00,0.02,
456.00,0.02,
457.00,0.02,
458.00,-0.00,
459.00,-0.02,
460.00,-0.01,
461.00,-0.02,
462.00,-0.03,
463.00,-0.03,
464.00,-0.04,
465.00,-0.00,
466.00,0.02,
467.00,0.02,
468.00,0.02,
469.00,0.05,
470.00,0.04,
471.00,0.03,
472.00,0.05,
473.00,0.06,
474.00,0.05,
475.00,0.01,
476.00,0.01,
477.00,0.04,
478.00,0.06,
479.00,0.03,
480.00,0.04,
481.00,0.04,
482.00,0.02,
483.00,0.02,
484.00,0.01,
485.00,0.01,
486.00,0.01,
487.00,-0.03,
488.00,-0.02,
489.00,-0.01,
490.00,-0.01,
491.00,-0.00,
492.00,0.04,
493.00,0.02,
494.00,0.00,
495.00,0.02,
496.00,0.00,
497.00,-0.02,
498.00,-0.02,
499.00,-0.01,
500.00,0.00,
501.00,0.02,
502.00,0.01,
503.00,0.02,
504.00,0.00,
505.00,-0.01,
506.00,-0.01,
507.00,0.02,
508.00,0.02,
509.00,0.03,
510.00,0.03,
511.00,0.01,
512.00,0.03,
513.00,0.02,
514.00,0.01,
515.00,0.02,
516.00,0.01,
517.00,-0.01,
518.00,-0.01,
519.00,0.01,
520.00,0.01,
521.00,0.02,
522.00,0.01,
523.00,-0.01,
524.00,-0.01,
525.00,-0.01,
526.00,-0.04,
527.00,-0.05,
528.00,-0.04,
529.00,-0.04,
530.00,0.00,
531.00,0.04,
532.00,0.05,
533.00,0.07,
534.00,0.07,
535.00,0.06,
536.00,0.07,
537.00,0.04,
538.00,0.00,
539.00,-0.00,
540.00,-0.01,
541.00,-0.00,
542.00,0.04,
543.00,0.06,
544.00,0.05,
545.00,0.07,
546.00,0.05,
547.00,-0.01,
548.00,-0.03,
549.00,-0.06,
550.00,-0.05,
551.00,-0.03,
552.00,-0.05,
553.00,-0.01,
554.00,0.04,
555.00,0.02,
556.00,-0.00,
557.00,-0.00,
558.00,-0.00,
559.00,-0.01,
560.00,-0.01,
561.00,-0.01,
562.00,0.00,
563.00,0.01,
564.00,0.02,
565.00,0.04,
566.00,0.03,
567.00,0.00,
568.00,-0.01,
569.00,-0.04,
570.00,-0.08,
571.00,-0.05,
572.00,-0.01,
573.00,-0.01,
574.00,0.01,
575.00,0.00,
576.00,0.01,
577.00,0.01,
578.00,-0.02,
579.00,-0.01,
580.00,0.04,
581.00,0.01,
582.00,0.00,
583.00,0.04,
584.00,0.04,
585.00,0.02,
586.00,0.05,
587.00,0.05,
588.00,0.05,
589.00,0.07,
590.00,0.05,
591.00,0.07,
592.00,0.03,
593.00,0.02,
594.00,-0.03,
595.00,-0.04,
596.00,-0.06,
597.00,-0.03,
598.00,-0.03,
599.00,-0.02,
600.00,-0.00,
601.00,-0.02,
602.00,-0.03,
603.00,0.00,
604.00,-0.01,
605.00,-0.03,
606.00,-0.02,
607.00,-0.02,
608.00,-0.03,
609.00,-0.03,
610.00,-0.04,
611.00,-0.03,
612.00,0.01,
613.00,0.01,
614.00,0.02,
615.00,0.04,
616.00,0.05,
617.00,0.03,
618.00,0.03,
619.00,0.00,
620.00,0.02,
621.00,0.00,
622.00,0.01,
623.00,0.04,
624.00,0.06,
625.00,0.03,
626.00,0.02,
627.00,0.00,
628.00,-0.05,
629.00,-0.03,
630.00,0.01,
631.00,0.02,
632.00,0.04,
633.00,0.05,
634.00,0.06,
635.00,0.03,
636.00,0.02,
637.00,-0.01,
638.00,-0.04,
639.00,-0.04,
640.00,-0.03,
641.00,-0.01,
642.00,0.01,
643.00,0.03,
644.00,0.02,
645.00,-0.03,
646.00,-0.06,
647.00,-0.03,
648.00,0.00,
649.00,0.01,
650.00,0.01,
651.00,-0.01,
652.00,-0.04,
653.00,-0.07,
654.00,-0.07,
655.00,-0.06,
656.00,-0.04,
657.00,-0.02,
658.00,-0.01,
659.00,0.03,
660.00,0.06,
661.00,0.07,
662.00,0.10,
663.00,0.08,
664.00,0.05,
665.00,0.01,
666.00,0.01,
667.00,-0.02,
668.00,0.00,
669.00,-0.02,
670.00,-0.01,
671.00,-0.00,
672.00,-0.00,
673.00,-0.03,
674.00,-0.01,
675.00,-0.01,
676.00,-0.02,
677.00,-0.05,
678.00,-0.00,
679.00,-0.02,
680.00,-0.02,
681.00,-0.01,
682.00,0.01,
683.00,0.02,
684.00,0.02,
685.00,0.02,
686.00,0.05,
687.00,0.05,
688.00,0.04,
