Date,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,2025/04/15,
Time,11:08:00,11:09:00,11:10:00,11:11:00,11:12:00,11:13:00,11:14:00,11:15:00,11:16:00,11:17:00,11:18:00,11:19:00,11:20:00,11:21:00,11:22:00,11:23:00,11:24:00,11:25:00,11:26:00,11:27:00,11:28:00,11:29:00,11:30:00,11:31:00,11:32:00,11:33:00,11:34:00,11:35:00,11:36:00,11:37:00,11:38:00,11:39:00,11:40:00,11:41:00,11:42:00,11:43:00,11:44:00,11:45:00,11:46:00,11:47:00,11:48:00,11:49:00,11:50:00,11:51:00,11:52:00,11:53:00,11:54:00,11:55:00,11:56:00,11:57:00,11:58:00,11:59:00,
Memo,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
Sensor Temp.(deg),24.6,24.7,24.7,24.7,24.6,24.7,24.6,24.6,24.6,24.6,24.8,24.8,24.8,24.8,24.8,24.7,24.7,24.7,24.6,24.6,24.8,24.8,24.8,24.8,24.7,24.7,24.8,24.7,24.7,24.7,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.7,24.6,24.7,24.7,24.8,24.8,24.8,24.8,24.8,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,4.99,5.42,4.75,4.47,4.56,4.54,3.80,4.15,3.84,3.75,3.78,3.74,4.26,4.43,4.59,4.67,4.79,4.99,5.57,5.66,5.90,6.18,6.46,7.10,7.18,7.94,7.75,7.85,8.03,7.78,8.01,8.12,8.70,8.90,8.90,9.03,9.23,8.83,8.82,8.67,8.63,8.84,8.60,8.80,8.89,8.83,8.71,9.13,9.20,9.47,10.11,10.23,
301.00,6.22,6.42,5.98,4.95,5.57,5.51,4.46,4.66,4.40,4.59,4.45,4.50,4.89,4.81,5.23,5.66,5.66,6.12,6.33,6.51,6.74,7.26,7.14,8.59,8.29,9.13,8.87,9.01,9.02,9.11,9.53,9.59,10.05,10.36,10.91,10.62,10.57,10.22,10.30,9.75,10.33,10.58,10.60,10.51,10.06,10.19,10.23,10.68,10.88,11.09,11.58,11.88,
302.00,7.25,7.20,6.92,6.22,6.18,6.63,5.41,5.55,5.24,5.35,5.35,5.46,5.86,5.72,6.18,6.52,6.94,7.39,7.70,8.01,8.01,8.59,8.66,9.97,10.24,10.38,10.37,10.81,10.98,11.32,11.33,11.95,12.50,12.57,12.54,12.46,12.84,12.23,12.74,11.83,12.45,12.52,12.20,12.41,11.79,12.29,12.29,13.07,13.25,13.74,14.03,14.22,
303.00,8.59,8.63,8.23,7.85,7.49,7.60,6.59,6.80,6.47,6.45,6.39,6.50,7.07,7.10,7.63,8.03,8.44,8.79,9.19,9.71,10.04,10.31,11.16,11.79,12.45,13.05,12.94,12.96,13.64,13.92,13.67,14.20,15.04,15.14,14.92,15.32,15.44,14.81,15.17,14.81,14.72,15.00,14.73,14.67,14.48,14.74,14.97,15.29,15.88,16.62,16.81,17.36,
304.00,10.45,10.60,10.16,9.15,9.51,8.86,8.00,8.15,7.79,7.87,7.77,8.02,8.41,8.25,9.11,9.87,10.16,10.71,10.91,11.60,12.13,12.46,13.09,14.34,14.78,15.43,15.50,15.41,15.98,16.17,16.68,16.98,17.78,18.26,18.16,18.45,18.21,17.72,17.92,17.37,17.73,18.30,18.15,17.80,17.67,17.57,18.07,18.16,18.85,19.75,19.84,20.86,
