Date,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,2025/05/01,
Time,14:01:00,14:02:00,14:03:00,14:04:00,14:05:00,14:06:00,14:07:00,14:08:00,14:09:00,14:10:00,14:11:00,14:12:00,14:13:00,14:14:00,14:15:00,14:16:00,14:17:00,14:18:00,14:19:00,14:20:00,14:21:00,14:22:00,14:23:00,14:24:00,14:25:00,14:26:00,14:27:00,14:28:00,14:29:00,14:30:00,14:31:00,14:32:00,14:33:00,14:34:00,14:35:00,14:36:00,14:37:00,14:38:00,14:39:00,14:40:00,14:41:00,14:42:00,14:43:00,14:44:00,14:45:00,14:46:00,14:47:00,14:48:00,14:49:00,14:50:00,14:51:00,14:52:00,14:53:00,14:54:00,14:55:00,14:56:00,14:57:00,14:58:00,14:59:00,
Memo,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
Sensor Temp.(deg),25.2,25.2,25.2,25.1,25.2,25.2,25.2,25.1,25.3,25.3,25.3,25.2,25.2,25.2,25.3,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.3,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.3,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.1,25.1,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,5.11,5.38,5.36,5.18,4.85,5.29,5.66,5.22,5.70,5.53,6.10,6.26,6.35,6.77,6.79,7.28,7.15,9.04,8.93,7.45,6.63,6.36,6.39,7.23,8.31,6.57,6.76,6.64,6.40,9.68,8.78,8.21,8.88,6.72,6.66,7.11,6.34,7.88,8.68,6.19,6.00,5.72,5.52,5.00,5.27,5.05,5.15,6.15,5.13,4.80,4.73,4.64,5.24,4.71,4.94,5.10,5.36,5.23,5.47,
301.00,5.83,6.01,5.94,5.69,5.61,5.80,6.03,5.90,5.87,6.20,6.32,6.60,7.11,7.04,7.77,8.28,7.77,9.96,10.15,8.22,7.36,6.97,6.97,7.80,9.04,7.28,7.45,7.35,7.24,10.77,9.25,8.77,9.72,7.50,7.21,7.98,7.05,8.51,9.47,6.67,6.21,6.14,5.80,5.25,5.41,5.46,5.93,6.97,5.83,5.37,5.17,5.21,5.44,5.16,5.24,5.56,5.83,5.52,5.94,
302.00,6.57,6.58,6.64,6.46,6.14,6.68,6.92,6.63,6.86,7.08,7.20,7.20,8.00,7.82,8.78,9.52,9.01,11.01,11.24,9.58,7.85,7.93,8.00,8.69,10.10,7.73,8.34,8.16,7.89,11.43,10.22,9.75,10.62,8.07,7.83,8.91,7.99,9.42,10.72,7.33,6.86,6.69,6.51,6.12,5.85,6.13,6.53,7.55,6.19,5.96,5.67,5.79,6.01,5.95,5.73,6.02,6.09,5.91,6.48,
303.00,7.49,7.54,7.70,7.38,7.13,7.56,7.68,7.65,7.81,7.96,8.40,8.34,8.87,8.79,9.89,10.85,10.37,12.60,12.66,10.93,9.02,8.96,8.99,9.81,11.67,8.54,8.95,9.08,8.95,12.36,11.80,11.05,12.01,9.07,8.77,9.63,8.88,10.40,11.71,8.40,7.81,7.79,7.40,7.07,6.83,6.70,6.93,8.27,6.47,6.56,6.39,6.13,6.41,6.80,6.53,6.60,6.42,6.40,6.88,
304.00,8.31,8.77,9.04,8.39,8.51,8.56,8.47,8.96,9.17,9.06,9.84,9.85,10.02,9.81,11.41,12.29,11.72,14.25,14.38,12.31,10.88,10.18,10.54,11.26,13.05,10.02,10.16,10.14,10.14,14.03,13.42,12.45,13.59,10.49,9.82,10.70,9.88,11.84,12.81,9.48,8.79,8.79,8.01,7.56,7.80,7.61,7.59,9.41,7.55,7.29,6.98,7.31,6.98,7.33,7.35,7.59,7.41,7.33,7.71,
305.00,9.93,10.29,10.21,9.53,9.67,10.12,9.90,10.32,10.63,10.69,11.37,11.51,12.08,11.54,13.26,13.94,13.38,16.18,16.43,14.08,12.33,11.76,12.16,13.35,15.05,11.96,11.71,11.91,11.79,15.47,14.88,13.69,15.22,11.93,11.11,11.99,11.26,13.55,14.20,10.41,10.21,9.98,8.88,8.63,8.68,8.71,8.63,10.75,8.80,8.26,7.92,8.31,8.06,8.29,8.26,8.51,8.09,8.20,8.85,
306.00,11.72,11.94,11.84,11.38,10.94,11.66,11.70,12.01,12.79,12.53,13.59,13.77,13.88,13.85,15.37,16.46,15.42,18.44,18.62,16.38,14.14,13.42,14.09,14.99,17.46,13.88,13.53,13.75,13.85,17.27,16.94,15.61,17.01,13.49,12.68,13.60,13.20,15.42,15.98,11.92,11.58,11.44,10.51,10.40,9.67,9.90,9.86,11.84,9.65,9.34,9.45,9.41,9.32,9.55,9.53,9.54,9.14,9.25,9.93,
307.00,13.49,14.00,13.84,13.36,13.07,13.48,13.58,14.01,15.31,14.42,16.08,16.35,16.08,16.62,17.66,19.04,17.92,21.08,20.94,18.91,17.03,15.82,16.84,17.11,19.90,16.46,16.16,15.99,15.94,20.10,19.46,18.42,19.93,15.70,14.79,15.78,15.03,17.71,17.95,13.88,13.47,13.05,12.37,12.04,11.58,11.48,11.23,13.33,11.27,10.80,10.82,10.93,10.51,10.81,11.17,11.02,10.74,10.62,11.53,
308.00,16.05,16.57,16.20,15.77,15.40,15.93,15.89,16.77,17.93,17.43,18.83,19.30,19.31,19.52,20.93,22.04,20.83,24.50,24.41,21.88,19.97,18.98,19.56,20.26,23.03,19.41,19.09,19.04,18.98,23.60,22.81,21.23,23.03,18.77,17.25,18.67,17.52,20.45,20.67,16.35,16.04,15.47,14.42,13.94,13.78,13.52,13.21,15.72,13.47,12.68,12.47,12.72,12.63,12.42,13.04,12.72,12.77,12.58,13.72,
309.00,19.40,19.77,19.00,18.69,18.22,18.58,19.10,19.72,21.21,21.18,22.48,22.87,22.95,23.32,24.83,26.54,24.84,28.79,29.05,25.96,23.44,22.45,23.33,24.08,27.35,23.43,22.83,22.89,22.79,27.61,26.48,24.66,26.78,22.13,20.63,22.20,20.99,24.04,24.47,19.42,18.94,18.34,17.29,16.70,16.01,16.08,16.20,18.52,15.86,15.19,15.29,14.90,15.15,14.88,15.17,15.01,15.25,14.84,16.08,
