Date,2025/05/15,
Time,18:00:00,
Memo,EKO 711,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.6,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,0.00,
301.00,0.00,
302.00,0.01,
303.00,0.01,
304.00,0.00,
305.00,0.00,
306.00,0.00,
307.00,-0.00,
308.00,0.00,
309.00,0.00,
310.00,-0.00,
311.00,0.00,
312.00,0.00,
313.00,-0.00,
314.00,0.00,
315.00,0.01,
316.00,0.01,
317.00,0.01,
318.00,0.01,
319.00,0.01,
320.00,0.01,
321.00,0.01,
322.00,0.01,
323.00,0.01,
324.00,0.02,
325.00,0.03,
326.00,0.03,
327.00,0.03,
328.00,0.04,
329.00,0.03,
330.00,0.03,
331.00,0.04,
332.00,0.04,
333.00,0.04,
334.00,0.04,
335.00,0.04,
336.00,0.04,
337.00,0.05,
338.00,0.05,
339.00,0.05,
340.00,0.06,
341.00,0.06,
342.00,0.06,
343.00,0.06,
344.00,0.06,
345.00,0.06,
346.00,0.06,
347.00,0.07,
348.00,0.06,
349.00,0.06,
350.00,0.06,
351.00,0.07,
352.00,0.06,
353.00,0.07,
354.00,0.07,
355.00,0.07,
356.00,0.07,
357.00,0.07,
358.00,0.07,
359.00,0.06,
360.00,0.07,
361.00,0.07,
362.00,0.07,
363.00,0.07,
364.00,0.08,
365.00,0.08,
366.00,0.08,
367.00,0.08,
368.00,0.08,
369.00,0.08,
370.00,0.08,
371.00,0.08,
372.00,0.07,
373.00,0.07,
374.00,0.07,
375.00,0.07,
376.00,0.07,
377.00,0.08,
378.00,0.07,
379.00,0.08,
380.00,0.07,
381.00,0.07,
382.00,0.06,
383.00,0.06,
384.00,0.06,
385.00,0.06,
386.00,0.07,
387.00,0.07,
388.00,0.07,
389.00,0.07,
390.00,0.07,
391.00,0.07,
392.00,0.07,
393.00,0.07,
394.00,0.06,
395.00,0.07,
396.00,0.07,
397.00,0.07,
398.00,0.08,
399.00,0.09,
400.00,0.10,
401.00,0.10,
402.00,0.11,
403.00,0.11,
404.00,0.11,
405.00,0.11,
406.00,0.10,
407.00,0.10,
408.00,0.10,
409.00,0.10,
410.00,0.10,
411.00,0.10,
412.00,0.10,
413.00,0.10,
414.00,0.10,
415.00,0.11,
416.00,0.10,
417.00,0.10,
418.00,0.10,
419.00,0.10,
420.00,0.10,
421.00,0.11,
422.00,0.11,
423.00,0.11,
424.00,0.10,
425.00,0.10,
426.00,0.10,
427.00,0.09,
428.00,0.09,
429.00,0.09,
430.00,0.09,
431.00,0.09,
432.00,0.10,
433.00,0.10,
434.00,0.10,
435.00,0.10,
436.00,0.10,
437.00,0.10,
438.00,0.10,
439.00,0.10,
440.00,0.10,
441.00,0.10,
442.00,0.11,
443.00,0.11,
444.00,0.11,
445.00,0.11,
446.00,0.12,
447.00,0.11,
448.00,0.12,
449.00,0.12,
450.00,0.12,
451.00,0.12,
452.00,0.11,
453.00,0.11,
454.00,0.12,
455.00,0.12,
456.00,0.12,
457.00,0.12,
458.00,0.11,
459.00,0.11,
460.00,0.10,
461.00,0.10,
462.00,0.10,
463.00,0.10,
464.00,0.10,
465.00,0.11,
466.00,0.11,
467.00,0.11,
468.00,0.11,
469.00,0.12,
470.00,0.11,
471.00,0.11,
472.00,0.11,
473.00,0.11,
474.00,0.10,
475.00,0.11,
476.00,0.10,
477.00,0.10,
478.00,0.10,
479.00,0.10,
480.00,0.09,
481.00,0.10,
482.00,0.10,
483.00,0.09,
484.00,0.10,
485.00,0.09,
486.00,0.09,
487.00,0.09,
488.00,0.09,
489.00,0.09,
490.00,0.10,
491.00,0.09,
492.00,0.09,
493.00,0.09,
494.00,0.09,
495.00,0.08,
496.00,0.08,
497.00,0.09,
498.00,0.09,
499.00,0.09,
500.00,0.09,
501.00,0.08,
502.00,0.08,
503.00,0.08,
504.00,0.07,
505.00,0.07,
506.00,0.08,
507.00,0.08,
508.00,0.07,
509.00,0.07,
510.00,0.08,
511.00,0.07,
512.00,0.07,
513.00,0.07,
514.00,0.07,
515.00,0.07,
516.00,0.08,
517.00,0.07,
518.00,0.06,
519.00,0.06,
520.00,0.06,
521.00,0.05,
522.00,0.06,
523.00,0.07,
524.00,0.07,
525.00,0.07,
526.00,0.07,
527.00,0.06,
528.00,0.06,
529.00,0.07,
530.00,0.05,
531.00,0.05,
532.00,0.06,
533.00,0.05,
534.00,0.04,
535.00,0.06,
536.00,0.06,
537.00,0.05,
538.00,0.06,
539.00,0.05,
540.00,0.04,
541.00,0.04,
542.00,0.05,
543.00,0.04,
544.00,0.04,
545.00,0.05,
546.00,0.05,
547.00,0.04,
548.00,0.05,
549.00,0.04,
550.00,0.03,
551.00,0.03,
552.00,0.04,
553.00,0.03,
554.00,0.03,
555.00,0.04,
556.00,0.04,
557.00,0.03,
558.00,0.04,
559.00,0.02,
560.00,0.02,
561.00,0.03,
562.00,0.03,
563.00,0.03,
564.00,0.04,
565.00,0.04,
566.00,0.03,
567.00,0.04,
568.00,0.03,
569.00,0.03,
570.00,0.05,
571.00,0.05,
572.00,0.04,
573.00,0.04,
574.00,0.06,
575.00,0.04,
576.00,0.03,
577.00,0.04,
578.00,0.04,
579.00,0.02,
580.00,0.03,
581.00,0.04,
582.00,0.03,
583.00,0.04,
584.00,0.04,
585.00,0.03,
586.00,0.03,
587.00,0.03,
588.00,0.03,
589.00,0.02,
590.00,0.03,
591.00,0.03,
592.00,0.03,
593.00,0.03,
594.00,0.02,
595.00,0.01,
596.00,0.02,
597.00,0.02,
598.00,0.01,
599.00,0.02,
600.00,0.03,
601.00,0.01,
602.00,0.01,
603.00,0.02,
604.00,0.02,
605.00,0.01,
606.00,0.02,
607.00,0.02,
608.00,0.01,
609.00,0.02,
610.00,0.02,
611.00,0.02,
612.00,0.02,
613.00,0.03,
614.00,0.02,
615.00,0.02,
616.00,0.02,
617.00,0.02,
618.00,0.02,
619.00,0.03,
620.00,0.03,
621.00,0.03,
622.00,0.04,
623.00,0.04,
624.00,0.03,
625.00,0.03,
626.00,0.03,
627.00,0.02,
628.00,0.02,
629.00,0.02,
630.00,0.02,
631.00,0.02,
632.00,0.02,
633.00,0.03,
634.00,0.02,
635.00,0.02,
