Date,2025/04/30,
Time,18:00:00,
Memo,EKO 711,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.6,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,0.01,
301.00,0.01,
302.00,0.00,
303.00,0.00,
304.00,0.00,
305.00,0.00,
306.00,-0.00,
307.00,0.00,
308.00,0.00,
309.00,0.00,
310.00,0.01,
311.00,0.01,
312.00,0.00,
313.00,0.00,
314.00,-0.00,
315.00,-0.01,
316.00,-0.00,
317.00,-0.01,
318.00,-0.00,
319.00,-0.00,
320.00,0.00,
321.00,0.00,
322.00,0.00,
323.00,0.01,
324.00,0.01,
325.00,0.00,
326.00,0.00,
327.00,0.01,
328.00,0.01,
329.00,0.01,
330.00,0.01,
331.00,0.01,
332.00,0.01,
333.00,0.01,
334.00,0.01,
335.00,0.01,
336.00,0.01,
337.00,0.01,
338.00,0.00,
339.00,0.00,
340.00,0.01,
341.00,0.00,
342.00,0.00,
343.00,0.01,
344.00,0.01,
345.00,0.01,
346.00,0.01,
347.00,0.01,
348.00,0.01,
349.00,0.01,
350.00,0.01,
351.00,0.01,
352.00,0.01,
353.00,0.01,
354.00,0.01,
355.00,0.01,
356.00,0.01,
357.00,0.01,
358.00,0.01,
359.00,0.01,
360.00,0.01,
361.00,0.00,
362.00,0.00,
363.00,0.00,
364.00,0.01,
365.00,0.00,
366.00,0.00,
367.00,0.01,
368.00,0.01,
369.00,0.01,
370.00,0.01,
371.00,0.01,
372.00,0.01,
373.00,0.01,
374.00,0.01,
375.00,0.01,
376.00,0.01,
377.00,0.01,
378.00,0.01,
379.00,0.01,
380.00,0.01,
381.00,0.01,
382.00,0.01,
383.00,0.01,
384.00,0.01,
385.00,0.01,
386.00,0.01,
387.00,0.01,
388.00,0.01,
389.00,0.01,
390.00,0.01,
391.00,0.01,
392.00,0.01,
393.00,0.01,
394.00,0.01,
395.00,0.01,
396.00,0.01,
397.00,0.01,
398.00,0.01,
399.00,0.01,
400.00,0.01,
401.00,0.02,
402.00,0.02,
403.00,0.02,
404.00,0.02,
405.00,0.02,
406.00,0.01,
407.00,0.02,
408.00,0.01,
409.00,0.01,
410.00,0.01,
411.00,0.01,
412.00,0.01,
413.00,0.01,
414.00,0.01,
415.00,0.01,
416.00,0.02,
417.00,0.02,
418.00,0.02,
419.00,0.02,
420.00,0.02,
421.00,0.02,
422.00,0.02,
423.00,0.01,
424.00,0.01,
425.00,0.01,
426.00,0.01,
427.00,0.02,
428.00,0.02,
429.00,0.02,
430.00,0.02,
431.00,0.02,
432.00,0.02,
433.00,0.01,
434.00,0.02,
435.00,0.01,
436.00,0.01,
437.00,0.02,
438.00,0.01,
439.00,0.01,
440.00,0.01,
441.00,0.01,
442.00,0.01,
443.00,0.01,
444.00,0.01,
445.00,0.01,
446.00,0.01,
447.00,0.02,
448.00,0.02,
449.00,0.02,
450.00,0.03,
451.00,0.02,
452.00,0.02,
453.00,0.01,
454.00,0.02,
455.00,0.02,
456.00,0.02,
457.00,0.02,
458.00,0.03,
459.00,0.03,
460.00,0.03,
461.00,0.04,
462.00,0.04,
463.00,0.04,
464.00,0.04,
465.00,0.04,
466.00,0.03,
467.00,0.03,
468.00,0.02,
469.00,0.01,
470.00,0.01,
471.00,0.02,
472.00,0.02,
473.00,0.01,
474.00,0.02,
475.00,0.01,
476.00,0.00,
477.00,0.01,
478.00,0.02,
479.00,0.02,
480.00,0.02,
481.00,0.03,
482.00,0.03,
483.00,0.02,
484.00,0.03,
485.00,0.02,
486.00,0.01,
487.00,0.01,
488.00,0.02,
489.00,0.01,
490.00,0.01,
491.00,0.01,
492.00,0.01,
493.00,0.01,
494.00,0.02,
495.00,0.03,
496.00,0.02,
497.00,0.02,
498.00,0.02,
499.00,0.01,
500.00,0.01,
501.00,0.01,
502.00,0.01,
503.00,0.00,
504.00,0.01,
505.00,0.01,
506.00,0.01,
507.00,0.01,
508.00,0.02,
509.00,0.01,
510.00,0.02,
511.00,0.02,
512.00,0.02,
513.00,0.01,
514.00,0.02,
515.00,0.02,
516.00,0.02,
517.00,0.01,
518.00,0.02,
519.00,0.01,
520.00,-0.00,
521.00,0.01,
522.00,0.01,
523.00,0.01,
524.00,0.02,
525.00,0.03,
526.00,0.02,
527.00,0.01,
528.00,0.01,
529.00,0.00,
530.00,-0.01,
531.00,-0.00,
532.00,0.01,
533.00,0.00,
534.00,0.01,
535.00,0.01,
536.00,0.01,
537.00,0.01,
538.00,0.01,
539.00,0.01,
540.00,0.01,
541.00,0.01,
542.00,0.02,
543.00,0.02,
544.00,0.02,
545.00,0.02,
546.00,0.02,
547.00,0.01,
548.00,0.02,
549.00,0.02,
550.00,0.02,
551.00,0.02,
552.00,0.03,
553.00,0.02,
554.00,-0.00,
555.00,0.00,
556.00,0.01,
557.00,0.00,
558.00,0.01,
559.00,0.00,
560.00,-0.00,
561.00,0.00,
562.00,0.00,
563.00,-0.00,
564.00,0.01,
565.00,0.02,
566.00,0.01,
567.00,0.01,
568.00,0.02,
569.00,0.02,
570.00,0.01,
571.00,0.02,
572.00,0.02,
573.00,0.00,
574.00,0.01,
575.00,0.01,
576.00,0.00,
577.00,0.01,
578.00,0.01,
579.00,0.01,
580.00,0.01,
581.00,0.02,
582.00,0.01,
583.00,0.01,
584.00,0.00,
585.00,0.01,
586.00,0.01,
587.00,-0.00,
588.00,-0.00,
589.00,0.00,
590.00,-0.01,
591.00,-0.01,
592.00,0.02,
593.00,0.02,
594.00,0.02,
595.00,0.04,
596.00,0.03,
597.00,0.01,
598.00,0.01,
599.00,0.01,
600.00,-0.00,
601.00,0.00,
602.00,0.00,
603.00,-0.01,
604.00,-0.02,
605.00,-0.01,
606.00,-0.00,
607.00,-0.01,
608.00,0.01,
609.00,0.02,
610.00,0.00,
611.00,0.01,
612.00,0.01,
613.00,-0.00,
614.00,0.00,
615.00,0.01,
616.00,0.01,
617.00,0.01,
618.00,0.02,
619.00,0.02,
620.00,0.02,
621.00,0.01,
622.00,0.02,
623.00,0.01,
624.00,-0.00,
625.00,-0.00,
626.00,0.00,
627.00,0.00,
628.00,0.00,
629.00,0.01,
630.00,0.01,
631.00,0.01,
632.00,0.03,
633.00,0.03,
