Date,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,2025/05/07,
Time,16:00:00,16:01:00,16:02:00,16:03:00,16:04:00,16:05:00,16:06:00,16:07:00,16:08:00,16:09:00,16:10:00,16:11:00,16:12:00,16:13:00,16:14:00,16:15:00,16:16:00,16:17:00,16:18:00,16:19:00,16:20:00,16:21:00,16:22:00,16:23:00,16:24:00,16:25:00,16:26:00,16:27:00,16:28:00,16:29:00,16:30:00,16:31:00,16:32:00,16:33:00,16:34:00,16:35:00,16:36:00,16:37:00,16:38:00,16:39:00,16:40:00,16:41:00,16:42:00,16:43:00,16:44:00,16:45:00,16:46:00,16:47:00,16:48:00,16:49:00,16:50:00,16:51:00,16:52:00,16:53:00,16:54:00,16:55:00,16:56:00,16:57:00,16:58:00,16:59:00,
Memo,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
Sensor Temp.(deg),25.4,25.3,25.4,25.4,25.4,25.3,25.4,25.4,25.4,25.5,25.5,25.4,25.3,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.3,25.3,25.4,25.4,25.4,25.4,25.4,25.3,25.3,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.3,25.4,25.3,25.4,25.4,25.4,25.4,25.3,25.4,25.3,25.3,25.3,25.4,25.3,25.3,25.5,25.4,25.3,25.3,25.2,25.2,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,3.98,4.03,3.81,3.91,3.46,3.46,3.70,3.49,3.40,3.73,3.46,3.46,3.62,3.38,2.57,2.99,2.88,2.77,2.62,2.74,2.50,2.72,2.36,2.42,2.40,2.48,2.20,2.32,2.31,2.08,2.25,2.00,2.02,1.93,1.99,2.03,1.85,1.74,1.71,1.65,1.55,1.41,1.53,1.22,1.36,1.43,1.45,1.31,1.25,1.31,1.23,1.15,1.16,1.08,1.04,1.07,0.96,0.90,0.87,0.93,
301.00,4.19,3.95,3.97,4.28,3.57,3.79,3.48,3.65,3.82,3.82,3.74,3.33,4.02,3.48,2.84,3.19,3.09,2.92,2.84,2.98,2.70,2.96,2.53,2.57,2.54,2.57,2.37,2.34,2.49,2.21,2.24,2.20,2.15,2.09,1.92,2.16,2.07,1.88,1.96,1.73,1.81,1.54,1.76,1.46,1.40,1.48,1.45,1.37,1.31,1.39,1.31,1.20,1.19,1.23,1.14,1.07,0.97,0.92,0.88,1.01,
302.00,4.48,4.36,4.21,4.48,3.74,4.03,3.69,4.14,4.03,4.03,4.03,3.58,4.10,3.64,2.98,3.32,3.21,3.04,3.09,3.04,2.98,3.13,2.78,2.75,2.86,2.56,2.53,2.42,2.59,2.30,2.39,2.36,2.33,2.30,2.04,2.22,2.27,1.99,2.07,1.87,1.91,1.67,1.82,1.81,1.48,1.49,1.53,1.45,1.42,1.41,1.34,1.21,1.25,1.24,1.28,1.18,1.02,1.04,0.96,0.98,
303.00,5.01,4.72,4.60,4.74,4.03,4.44,4.09,4.47,4.19,4.16,4.03,3.98,4.08,3.63,3.32,3.51,3.39,3.36,3.30,3.22,3.16,3.23,2.82,2.87,3.10,2.66,2.56,2.76,2.70,2.42,2.40,2.43,2.41,2.53,2.28,2.19,2.29,2.02,2.11,2.10,1.98,1.87,1.78,1.93,1.61,1.59,1.64,1.52,1.55,1.42,1.40,1.24,1.41,1.27,1.31,1.26,1.15,1.13,1.02,1.00,
304.00,5.33,4.97,4.85,4.76,4.51,4.89,4.42,4.42,4.43,4.48,4.53,4.32,4.42,3.79,3.64,3.66,3.60,3.42,3.49,3.41,3.31,3.20,3.08,2.95,3.15,2.93,2.67,2.84,2.88,2.57,2.40,2.73,2.37,2.70,2.54,2.28,2.31,2.17,2.28,2.17,2.14,2.07,2.02,1.91,1.71,1.69,1.70,1.58,1.62,1.46,1.54,1.34,1.49,1.36,1.36,1.29,1.20,1.17,1.11,1.08,
305.00,5.57,5.23,5.29,5.23,4.98,5.15,4.61,4.78,4.92,4.58,4.72,4.53,4.58,4.02,3.78,3.95,3.82,3.56,3.76,3.46,3.63,3.46,3.38,3.20,3.17,3.18,3.00,2.83,3.01,2.76,2.55,2.83,2.49,2.87,2.66,2.45,2.32,2.28,2.46,2.15,2.28,2.22,2.11,2.05,1.79,1.78,1.82,1.62,1.67,1.61,1.56,1.44,1.50,1.44,1.44,1.32,1.24,1.21,1.22,1.08,
306.00,5.99,5.65,5.63,5.84,5.30,5.43,5.10,5.02,5.24,4.80,4.74,4.89,4.46,4.28,3.92,4.10,4.01,3.76,4.05,3.58,3.77,3.73,3.54,3.35,3.32,3.29,3.21,3.05,3.11,2.95,2.85,2.87,2.61,2.95,2.74,2.48,2.48,2.48,2.49,2.12,2.36,2.35,2.08,2.15,1.94,1.83,1.87,1.77,1.81,1.70,1.59,1.48,1.50,1.49,1.39,1.36,1.32,1.28,1.29,1.06,
307.00,6.43,6.30,5.92,6.08,5.84,5.91,5.66,5.42,5.69,5.20,4.85,5.21,4.63,4.56,4.16,4.27,4.14,4.03,4.17,3.79,3.83,3.82,3.76,3.55,3.59,3.44,3.39,3.33,3.32,2.92,3.06,2.88,2.69,3.01,2.87,2.45,2.61,2.60,2.40,2.29,2.37,2.37,2.07,2.11,2.03,1.86,1.92,1.88,1.90,1.72,1.65,1.54,1.51,1.53,1.39,1.43,1.38,1.33,1.31,1.14,
308.00,7.03,7.08,6.35,6.46,6.36,6.25,6.25,5.68,5.88,5.72,5.36,5.72,5.09,5.30,4.65,4.73,4.49,4.46,4.39,4.17,4.04,4.04,4.20,3.86,3.86,3.78,3.52,3.57,3.44,3.13,3.28,3.10,2.97,3.10,3.07,2.63,2.54,2.62,2.52,2.44,2.52,2.47,2.23,2.13,2.07,1.98,2.06,1.89,1.94,1.80,1.72,1.69,1.59,1.58,1.46,1.45,1.42,1.37,1.39,1.22,
309.00,7.64,7.82,7.18,7.31,7.24,6.97,6.85,6.41,6.72,6.29,6.18,6.21,5.83,5.98,5.32,5.31,5.18,5.01,4.90,4.69,4.55,4.63,4.49,4.23,4.16,4.14,3.97,3.93,3.74,3.57,3.57,3.44,3.30,3.31,3.21,2.99,2.77,2.81,2.78,2.54,2.78,2.61,2.55,2.33,2.21,2.15,2.16,2.02,2.03,1.93,1.85,1.84,1.69,1.71,1.55,1.47,1.47,1.39,1.40,1.30,
310.00,8.72,9.01,8.27,8.46,8.13,7.95,7.63,7.50,7.49,7.21,6.97,7.03,6.68,6.79,5.94,5.94,5.91,5.63,5.62,5.34,5.25,5.21,5.01,4.77,4.76,4.47,4.44,4.44,4.21,4.06,4.12,3.89,3.76,3.60,3.43,3.34,3.17,3.14,2.97,2.79,3.01,2.76,2.80,2.67,2.40,2.30,2.34,2.23,2.22,2.12,2.01,1.92,1.78,1.78,1.71,1.58,1.56,1.52,1.45,1.34,
311.00,10.31,10.40,9.72,9.73,9.39,9.18,8.79,8.74,8.29,8.29,7.89,8.12,7.51,7.48,6.87,6.82,6.72,6.51,6.36,6.13,6.07,5.88,5.56,5.50,5.48,5.05,5.02,5.11,4.72,4.59,4.63,4.35,4.28,4.07,3.87,3.69,3.58,3.49,3.25,3.28,3.25,3.08,2.98,2.92,2.65,2.57,2.58,2.45,2.42,2.32,2.20,2.13,1.94,1.85,1.86,1.73,1.72,1.74,1.58,1.49,
312.00,12.02,12.03,11.48,11.09,10.97,10.71,10.40,9.94,9.43,9.70,9.28,9.40,8.97,8.68,8.13,8.00,7.85,7.62,7.35,7.24,6.98,6.68,6.43,6.42,6.25,5.89,5.76,5.81,5.48,5.30,5.25,5.05,4.90,4.64,4.53,4.29,4.04,4.01,3.83,3.78,3.62,3.48,3.51,3.18,2.99,2.96,2.91,2.72,2.67,2.54,2.57,2.38,2.18,2.12,2.10,1.91,1.96,1.91,1.76,1.78,
313.00,13.93,13.83,13.53,12.99,13.04,12.51,11.98,11.68,11.05,11.25,11.09,10.71,10.61,10.07,9.49,9.49,9.25,8.93,8.69,8.42,8.20,7.83,7.57,7.52,7.09,7.01,6.81,6.46,6.40,6.18,5.97,5.94,5.55,5.33,5.31,5.09,4.70,4.67,4.55,4.36,4.24,4.02,4.04,3.72,3.47,3.44,3.30,3.08,2.96,2.96,2.91,2.75,2.53,2.42,2.48,2.17,2.14,2.13,1.97,2.01,
314.00,16.42,16.07,15.82,15.38,15.17,14.55,14.02,13.72,13.11,13.07,12.90,12.36,12.29,11.75,11.09,11.13,10.86,10.52,10.32,9.91,9.66,9.31,8.88,8.85,8.31,8.26,8.07,7.49,7.49,7.35,6.99,6.88,6.56,6.27,6.12,5.96,5.57,5.48,5.33,5.01,4.93,4.74,4.59,4.40,4.08,3.99,3.80,3.62,3.41,3.44,3.28,3.10,2.90,2.81,2.82,2.53,2.47,2.42,2.26,2.23,
315.00,19.22,18.59,18.38,17.69,17.35,17.07,16.49,16.21,15.65,15.25,15.15,14.23,14.28,13.70,12.98,12.97,12.60,12.37,12.07,11.60,11.32,10.78,10.39,10.34,9.79,9.67,9.46,8.83,8.80,8.49,8.22,8.07,7.67,7.41,7.15,6.86,6.70,6.47,6.13,5.92,5.61,5.53,5.28,5.19,4.80,4.64,4.46,4.31,4.01,3.94,3.77,3.59,3.39,3.27,3.20,3.02,2.90,2.79,2.58,2.58,
316.00,22.45,21.94,21.36,20.42,20.22,19.96,19.35,18.91,18.19,17.82,17.68,16.90,16.59,16.22,15.35,15.23,14.73,14.55,14.04,13.66,13.18,12.71,12.35,12.08,11.65,11.43,11.02,10.49,10.39,9.88,9.65,9.43,9.09,8.75,8.46,8.10,7.82,7.54,7.24,7.08,6.57,6.52,6.20,6.11,5.63,5.49,5.31,5.04,4.74,4.64,4.45,4.25,4.09,3.90,3.74,3.62,3.42,3.24,3.06,2.96,
317.00,25.98,25.41,24.67,23.62,23.39,23.07,22.39,21.90,21.35,20.78,20.79,19.80,19.39,18.97,18.07,17.81,17.31,16.98,16.44,15.99,15.46,15.08,14.50,14.08,13.56,13.39,12.86,12.30,12.22,11.72,11.27,11.12,10.66,10.34,9.93,9.63,9.28,8.75,8.59,8.26,7.88,7.81,7.40,7.18,6.73,6.53,6.24,5.96,5.61,5.52,5.19,5.06,4.91,4.65,4.42,4.23,4.00,3.73,3.61,3.42,
318.00,29.32,28.91,28.19,27.03,26.70,26.35,25.54,25.10,24.45,23.62,23.61,22.72,22.27,21.70,20.65,20.33,19.86,19.34,18.93,18.33,17.92,17.49,16.79,16.30,15.69,15.39,14.86,14.29,14.13,13.51,13.12,12.77,12.41,12.06,11.35,11.17,10.83,10.24,9.97,9.62,9.25,9.03,8.60,8.42,7.85,7.56,7.30,7.01,6.60,6.49,6.10,5.84,5.64,5.42,5.12,4.96,4.70,4.35,4.22,3.93,
319.00,32.80,32.45,31.58,30.37,29.88,29.59,28.57,28.23,27.26,26.48,26.13,25.80,24.64,24.19,23.30,22.84,22.30,21.89,21.38,20.60,20.23,19.73,19.10,18.47,17.91,17.32,16.82,16.40,15.96,15.35,14.99,14.46,14.19,13.68,13.00,12.68,12.51,11.74,11.47,11.18,10.64,10.38,9.79,9.69,9.03,8.76,8.45,8.09,7.67,7.44,7.01,6.77,6.51,6.17,5.89,5.76,5.44,5.08,4.89,4.53,
