Date,2024/11/10,
Time,18:00:00,
Memo,EKO 711 DNI,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.4,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,-0.01,
301.00,0.00,
302.00,0.01,
303.00,0.00,
304.00,0.01,
305.00,-0.00,
306.00,-0.00,
307.00,-0.01,
308.00,-0.00,
309.00,0.00,
310.00,0.01,
311.00,-0.01,
312.00,-0.00,
313.00,-0.00,
314.00,-0.02,
315.00,-0.02,
316.00,-0.01,
317.00,-0.01,
318.00,-0.00,
319.00,0.01,
320.00,0.01,
321.00,0.01,
322.00,0.00,
323.00,-0.00,
324.00,-0.01,
325.00,-0.01,
326.00,-0.01,
327.00,-0.01,
328.00,-0.01,
329.00,-0.01,
330.00,-0.01,
331.00,-0.00,
332.00,-0.01,
333.00,-0.00,
334.00,0.01,
335.00,0.01,
336.00,0.00,
337.00,-0.00,
338.00,-0.01,
339.00,-0.01,
340.00,-0.00,
341.00,-0.00,
342.00,-0.00,
343.00,-0.01,
344.00,-0.01,
345.00,-0.01,
346.00,-0.01,
347.00,-0.01,
348.00,-0.00,
349.00,0.00,
350.00,-0.00,
351.00,0.00,
352.00,0.00,
353.00,0.00,
354.00,-0.00,
355.00,0.00,
356.00,0.01,
357.00,0.00,
358.00,0.00,
359.00,-0.01,
360.00,-0.01,
361.00,-0.01,
362.00,-0.01,
363.00,-0.02,
364.00,-0.01,
365.00,-0.00,
366.00,-0.01,
367.00,-0.00,
368.00,0.00,
369.00,0.01,
370.00,0.01,
371.00,0.01,
372.00,0.00,
373.00,0.00,
374.00,-0.00,
375.00,-0.01,
376.00,-0.01,
377.00,-0.00,
378.00,-0.01,
379.00,-0.01,
380.00,-0.00,
381.00,-0.01,
382.00,-0.01,
383.00,-0.00,
384.00,-0.00,
385.00,0.00,
386.00,0.01,
387.00,0.01,
388.00,0.01,
389.00,0.00,
390.00,0.00,
391.00,-0.00,
392.00,0.01,
393.00,0.00,
394.00,0.00,
395.00,-0.00,
396.00,-0.00,
397.00,-0.01,
398.00,-0.01,
399.00,-0.01,
400.00,-0.00,
401.00,-0.00,
402.00,-0.00,
403.00,-0.01,
404.00,-0.01,
405.00,-0.01,
406.00,-0.01,
407.00,-0.00,
408.00,0.00,
409.00,0.00,
410.00,-0.00,
411.00,0.01,
412.00,0.00,
413.00,-0.00,
414.00,-0.01,
415.00,0.01,
416.00,0.01,
417.00,0.01,
418.00,0.01,
419.00,0.01,
420.00,0.00,
421.00,-0.01,
422.00,-0.02,
423.00,-0.01,
424.00,-0.00,
425.00,0.00,
426.00,0.02,
427.00,0.03,
428.00,0.02,
429.00,0.02,
430.00,0.00,
431.00,-0.01,
432.00,-0.02,
433.00,-0.01,
434.00,-0.01,
435.00,-0.00,
436.00,0.00,
437.00,0.01,
438.00,0.00,
439.00,0.00,
440.00,-0.01,
441.00,0.00,
442.00,0.01,
443.00,0.00,
444.00,0.00,
445.00,0.01,
446.00,-0.01,
447.00,-0.03,
448.00,-0.03,
449.00,-0.03,
450.00,-0.02,
451.00,0.00,
452.00,0.01,
453.00,0.03,
454.00,0.05,
455.00,0.05,
456.00,0.03,
457.00,0.04,
458.00,0.02,
459.00,-0.01,
460.00,-0.03,
461.00,-0.05,
462.00,-0.05,
463.00,-0.00,
464.00,-0.01,
465.00,0.02,
466.00,0.07,
467.00,0.09,
468.00,0.08,
469.00,0.08,
470.00,0.07,
471.00,0.04,
472.00,0.01,
473.00,-0.03,
474.00,-0.04,
475.00,-0.05,
476.00,-0.03,
477.00,-0.04,
478.00,-0.05,
479.00,-0.04,
480.00,-0.03,
481.00,-0.02,
482.00,-0.02,
483.00,0.00,
484.00,0.03,
485.00,0.04,
486.00,0.01,
487.00,0.01,
488.00,0.01,
489.00,-0.00,
490.00,-0.01,
491.00,-0.01,
492.00,0.01,
493.00,0.03,
494.00,0.04,
495.00,0.02,
496.00,0.02,
497.00,0.05,
498.00,0.04,
499.00,0.03,
500.00,0.02,
501.00,0.01,
502.00,0.03,
503.00,0.02,
504.00,0.00,
505.00,0.02,
506.00,0.02,
507.00,-0.01,
508.00,-0.03,
509.00,0.00,
510.00,0.01,
511.00,0.05,
512.00,0.04,
513.00,0.03,
514.00,0.02,
515.00,0.02,
516.00,-0.01,
517.00,-0.01,
518.00,-0.00,
519.00,-0.02,
520.00,-0.04,
521.00,-0.04,
522.00,-0.05,
523.00,-0.05,
524.00,-0.04,
525.00,-0.06,
526.00,-0.07,
527.00,-0.06,
528.00,-0.06,
529.00,-0.04,
530.00,-0.02,
531.00,-0.01,
532.00,0.03,
533.00,0.06,
534.00,0.02,
535.00,0.01,
536.00,0.04,
537.00,0.01,
538.00,-0.01,
539.00,0.02,
540.00,0.02,
541.00,0.03,
542.00,0.03,
543.00,-0.01,
544.00,-0.01,
545.00,0.02,
546.00,-0.02,
547.00,-0.03,
548.00,0.02,
549.00,0.02,
550.00,0.03,
551.00,0.02,
552.00,0.01,
553.00,-0.01,
554.00,0.01,
555.00,-0.03,
556.00,-0.06,
557.00,-0.07,
558.00,-0.05,
559.00,-0.08,
560.00,-0.08,
561.00,-0.03,
562.00,0.02,
563.00,0.04,
564.00,0.02,
565.00,0.04,
566.00,0.05,
567.00,0.03,
568.00,0.04,
569.00,0.03,
570.00,0.02,
571.00,0.01,
572.00,0.01,
573.00,-0.04,
574.00,-0.06,
575.00,-0.03,
576.00,-0.03,
577.00,-0.04,
578.00,-0.02,
579.00,0.02,
580.00,0.04,
581.00,0.03,
582.00,0.04,
583.00,0.02,
584.00,0.01,
585.00,-0.04,
586.00,-0.05,
587.00,-0.05,
588.00,-0.02,
589.00,0.01,
590.00,0.02,
591.00,-0.01,
592.00,-0.02,
593.00,0.01,
594.00,-0.03,
595.00,-0.01,
596.00,0.04,
597.00,0.04,
598.00,0.02,
599.00,0.03,
600.00,0.01,
601.00,0.01,
602.00,0.04,
603.00,0.03,
604.00,0.04,
605.00,0.07,
606.00,0.08,
607.00,0.07,
608.00,0.09,
609.00,0.09,
610.00,0.08,
611.00,0.04,
612.00,-0.03,
613.00,-0.08,
614.00,-0.07,
615.00,-0.07,
616.00,-0.04,
617.00,0.00,
618.00,0.00,
619.00,-0.01,
620.00,-0.03,
621.00,-0.05,
622.00,-0.03,
623.00,0.00,
624.00,-0.02,
625.00,-0.02,
626.00,-0.03,
627.00,-0.04,
628.00,-0.02,
629.00,-0.00,
630.00,0.01,
631.00,0.05,
632.00,0.05,
633.00,0.02,
634.00,0.05,
635.00,0.05,
636.00,0.03,
637.00,0.04,
638.00,0.02,
639.00,-0.01,
640.00,0.01,
641.00,-0.01,
642.00,-0.02,
643.00,0.01,
644.00,0.01,
645.00,-0.01,
646.00,-0.03,
647.00,-0.04,
648.00,-0.11,
649.00,-0.09,
650.00,-0.12,
651.00,-0.11,
652.00,-0.09,
653.00,-0.02,
654.00,-0.02,
655.00,-0.01,
656.00,-0.00,
657.00,0.01,
658.00,0.02,
659.00,0.01,
660.00,0.00,
661.00,-0.00,
662.00,0.02,
663.00,-0.02,
664.00,-0.02,
665.00,0.01,
666.00,0.04,
667.00,0.03,
668.00,0.03,
669.00,0.02,
670.00,0.07,
671.00,0.03,
672.00,-0.01,
673.00,0.00,
674.00,0.03,
675.00,0.02,
676.00,0.04,
677.00,0.06,
678.00,0.04,
679.00,0.05,
680.00,0.01,
681.00,-0.00,
682.00,0.01,
683.00,0.03,
684.00,0.02,
685.00,0.01,
686.00,0.01,
687.00,0.02,
