Date,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,2024/11/18,
Time,06:00:00,06:01:00,06:02:00,06:03:00,06:04:00,06:05:00,06:06:00,06:07:00,06:08:00,06:09:00,06:10:00,06:11:00,06:12:00,06:13:00,06:14:00,06:15:00,06:16:00,06:17:00,06:18:00,06:19:00,06:20:00,06:21:00,06:22:00,06:23:00,06:24:00,06:25:00,06:26:00,06:27:00,06:28:00,06:29:00,06:30:00,06:31:00,06:32:00,06:33:00,06:34:00,06:35:00,06:36:00,06:37:00,06:38:00,06:39:00,06:40:00,06:41:00,06:42:00,06:43:00,06:44:00,06:45:00,06:46:00,06:47:00,06:48:00,06:49:00,06:50:00,06:51:00,06:52:00,06:53:00,06:54:00,06:55:00,06:56:00,06:57:00,06:58:00,06:59:00,
Memo,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,EKO 711 DNI,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),500,500,500,500,500,500,500,500,500,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,1000,200,200,200,200,200,200,200,200,200,200,
Sensor Temp.(deg),24.3,24.3,24.4,24.3,24.5,24.4,24.3,24.5,24.3,24.4,24.6,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.6,24.6,24.5,24.6,24.6,24.6,24.4,24.4,24.6,24.5,24.5,24.6,24.6,24.5,24.6,24.5,24.6,24.5,24.6,24.6,24.5,24.6,24.6,24.6,24.6,24.6,24.6,24.5,24.6,24.6,24.6,24.5,24.2,24.6,24.5,24.4,24.6,24.6,24.6,24.6,24.6,24.5,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,0.70,0.86,0.69,0.90,0.77,1.01,1.02,1.03,1.16,0.98,1.15,1.19,1.50,1.37,1.68,1.81,1.95,1.73,1.72,1.46,2.16,1.86,1.94,2.34,2.26,1.99,2.43,2.39,2.52,2.48,2.56,2.69,2.43,2.99,2.74,2.91,2.65,2.69,1.38,2.39,2.25,3.13,3.22,1.81,3.36,3.44,3.52,3.23,3.19,0.39,3.17,3.80,2.42,3.93,3.70,3.97,3.75,3.75,3.31,4.15,
301.00,0.83,0.92,0.81,1.05,0.88,1.09,1.17,1.15,1.24,1.12,1.32,1.36,1.79,1.55,1.83,1.88,2.16,1.97,1.97,1.50,2.40,2.02,2.20,2.49,2.35,2.25,2.73,2.72,2.81,2.63,2.72,3.00,2.63,3.33,3.15,3.19,2.96,3.10,1.50,2.54,2.49,3.48,3.57,2.11,3.75,3.99,3.85,3.52,3.47,0.39,3.52,4.12,2.67,4.31,4.08,4.37,4.18,4.27,3.71,4.55,
302.00,0.95,0.97,0.95,1.09,0.95,1.16,1.29,1.28,1.36,1.33,1.70,1.75,2.05,1.67,1.99,2.11,2.39,2.14,2.25,1.56,2.69,2.25,2.47,2.81,2.60,2.53,3.21,3.04,3.17,2.80,3.00,3.24,2.96,3.75,3.57,3.60,3.46,3.56,1.78,2.86,2.79,3.97,4.01,2.34,4.25,4.52,4.26,4.01,3.86,0.43,3.86,4.40,2.94,4.63,4.54,4.90,4.68,4.81,4.16,4.99,
303.00,1.02,0.94,1.12,1.21,1.01,1.26,1.30,1.35,1.42,1.51,2.00,1.98,2.31,1.81,2.11,2.33,2.44,2.29,2.55,1.68,2.79,2.36,2.57,3.07,2.85,2.86,3.45,3.21,3.50,3.07,3.19,3.50,3.51,4.02,3.96,3.80,3.94,3.92,2.08,3.24,3.03,4.32,4.42,2.57,4.75,5.03,4.65,4.28,4.20,0.46,4.32,4.65,3.12,5.01,4.85,5.46,5.08,5.22,4.58,5.39,
304.00,1.10,1.01,1.16,1.29,1.11,1.34,1.40,1.42,1.53,1.63,2.39,2.33,2.39,2.06,2.17,2.61,2.52,2.55,2.82,2.01,2.77,2.63,2.82,3.23,2.99,3.15,3.61,3.47,3.83,3.45,3.56,3.77,3.96,4.40,4.34,4.07,4.51,4.37,2.39,3.61,3.31,4.89,4.81,2.74,5.32,5.35,5.13,4.67,4.72,0.47,4.81,4.99,3.31,5.43,5.29,5.97,5.54,5.67,5.02,5.97,
305.00,1.09,1.02,1.23,1.37,1.23,1.39,1.45,1.52,1.61,1.76,2.35,2.48,2.46,2.22,2.33,2.72,2.63,2.64,2.90,2.14,2.79,3.01,3.05,3.25,3.05,3.40,3.75,3.72,4.07,3.73,3.88,3.92,4.25,4.62,4.53,4.40,4.75,4.61,2.66,4.03,3.53,5.18,4.99,2.96,5.64,5.70,5.60,4.99,5.29,0.50,5.27,5.25,3.48,5.79,5.79,6.36,5.93,6.19,5.42,6.51,
306.00,1.14,1.11,1.28,1.43,1.33,1.48,1.43,1.58,1.76,1.83,2.33,2.60,2.46,2.31,2.35,2.79,2.78,2.74,2.97,2.27,2.66,3.16,3.11,3.35,3.07,3.52,3.83,3.95,4.23,4.08,4.27,3.91,4.45,4.73,4.73,4.63,5.01,4.79,2.94,4.49,3.63,5.30,5.12,2.98,5.90,5.81,5.99,5.27,5.71,0.53,5.75,5.64,3.71,6.38,6.22,6.66,6.28,6.46,5.76,7.04,
307.00,1.07,1.18,1.34,1.49,1.45,1.52,1.45,1.65,1.78,2.01,2.46,2.40,2.29,2.35,2.34,2.79,3.12,2.85,3.18,2.40,2.79,3.29,3.18,3.51,3.12,3.68,3.85,4.02,4.19,4.24,4.52,4.13,4.52,4.91,4.96,4.85,5.18,4.96,2.96,4.90,3.90,5.69,5.41,2.96,6.08,6.08,6.46,5.69,6.13,0.57,6.35,6.18,4.12,6.75,6.68,7.08,6.80,6.80,6.13,7.63,
308.00,1.09,1.19,1.37,1.50,1.51,1.59,1.53,1.75,1.88,1.94,2.49,2.26,2.33,2.55,2.60,2.82,3.27,3.05,3.11,2.50,2.72,3.32,3.21,3.71,3.60,3.88,4.10,4.11,4.21,4.54,4.77,4.49,4.66,4.93,5.16,5.05,5.31,5.27,3.16,5.12,3.99,5.99,5.78,3.05,6.37,6.38,6.83,5.83,6.61,0.60,6.89,6.62,4.62,7.38,7.10,7.50,7.44,7.27,6.55,8.27,
309.00,1.16,1.13,1.43,1.44,1.66,1.64,1.61,1.78,1.99,1.99,2.55,2.26,2.25,2.66,2.68,2.77,3.31,3.32,3.36,2.75,3.02,3.44,3.43,3.80,3.79,3.88,4.28,4.31,4.39,4.77,5.02,4.69,4.95,5.13,5.57,5.25,5.47,5.58,3.25,5.56,4.38,6.43,6.31,3.28,6.70,6.86,7.33,6.28,7.19,0.69,7.59,7.43,5.17,8.07,7.64,8.23,8.20,7.85,7.02,9.12,
310.00,1.20,1.19,1.49,1.46,1.79,1.74,1.79,1.93,2.08,2.04,2.57,2.17,2.25,2.81,2.81,2.84,3.42,3.60,3.50,2.78,3.39,3.76,3.68,4.00,4.07,4.22,4.60,4.47,4.68,5.13,5.27,5.06,5.28,5.42,5.82,5.76,5.92,6.02,3.38,5.89,4.75,6.87,6.98,3.58,7.31,7.55,8.07,6.86,7.80,0.79,8.20,8.42,5.81,8.99,8.57,9.14,9.16,8.75,7.90,10.24,
311.00,1.24,1.24,1.62,1.44,1.83,1.79,1.89,2.01,2.18,2.22,2.57,2.33,2.49,3.03,2.95,2.79,3.33,3.81,3.60,2.95,3.79,3.95,3.90,4.11,4.30,4.55,4.92,4.77,4.96,5.27,5.58,5.53,5.74,5.82,6.31,6.31,6.50,6.36,3.57,6.36,5.25,7.47,7.75,4.09,8.07,8.39,8.91,7.56,8.58,0.85,8.80,9.40,6.47,10.05,9.45,10.21,10.27,9.72,8.83,11.48,
312.00,1.23,1.33,1.69,1.54,1.77,1.92,2.00,2.09,2.24,2.37,2.82,2.55,2.57,3.03,3.29,3.04,3.47,4.04,3.57,3.16,4.20,4.11,4.29,4.31,4.60,4.88,5.28,4.99,5.42,5.55,6.02,6.02,6.16,6.23,6.83,6.66,7.18,7.04,3.73,6.79,5.73,8.26,8.53,4.74,9.02,9.27,9.79,8.60,9.43,0.94,9.61,10.62,7.20,11.19,10.43,11.42,11.48,10.90,9.90,12.81,
313.00,1.27,1.43,1.69,1.62,1.80,1.96,2.07,2.22,2.30,2.46,2.70,2.71,2.80,3.16,3.46,3.35,3.64,4.22,3.84,3.31,4.52,4.42,4.58,4.64,4.91,5.32,5.70,5.43,6.01,6.00,6.55,6.58,6.74,6.95,7.40,7.34,7.92,7.76,4.05,7.29,6.43,9.05,9.47,5.35,10.12,10.34,10.93,9.71,10.45,1.10,10.67,11.80,7.97,12.54,11.73,12.85,12.75,12.22,11.09,14.28,
314.00,1.32,1.54,1.67,1.62,1.86,2.05,2.09,2.33,2.39,2.46,2.67,2.83,2.94,3.37,3.73,3.84,3.74,4.59,4.00,3.52,4.80,4.75,5.12,5.07,5.28,5.76,6.14,6.13,6.46,6.78,7.15,7.20,7.42,7.79,8.16,7.90,8.80,8.59,4.59,8.06,7.04,10.03,10.41,5.97,11.26,11.52,12.22,10.99,11.68,1.24,12.00,13.12,9.01,14.14,13.12,14.45,14.24,13.81,12.38,16.16,
315.00,1.48,1.61,1.66,1.76,1.92,2.12,2.21,2.40,2.60,2.51,2.86,3.06,3.12,3.87,3.91,4.09,4.04,4.88,4.41,3.97,5.15,5.25,5.58,5.60,5.91,6.29,6.60,6.88,7.14,7.46,7.79,8.07,8.34,8.76,8.98,8.67,9.89,9.69,5.26,8.93,7.90,11.19,11.56,6.62,12.59,13.01,13.60,12.46,13.23,1.41,13.62,14.63,10.12,15.97,14.79,16.34,16.03,15.44,13.87,18.28,
316.00,1.52,1.74,1.78,1.90,1.97,2.25,2.31,2.54,2.81,2.62,3.33,3.54,3.41,4.14,4.07,4.48,4.49,5.13,5.01,4.34,5.70,5.68,6.11,6.39,6.56,7.04,7.30,7.71,7.80,8.25,8.78,9.06,9.29,9.84,10.02,9.77,10.98,10.85,5.89,10.10,8.83,12.63,13.02,7.38,14.18,14.58,15.34,13.87,14.75,1.62,15.65,16.39,11.51,18.02,16.65,18.46,17.99,17.48,15.57,20.55,
317.00,1.60,1.78,1.87,2.05,2.05,2.39,2.42,2.71,2.99,2.73,3.68,4.03,3.87,4.42,4.31,5.07,5.01,5.58,5.49,4.89,6.13,6.20,6.80,7.17,7.47,7.85,7.96,8.51,8.60,9.20,9.83,10.32,10.52,11.04,11.38,11.09,12.08,12.34,6.82,11.40,10.03,14.32,14.74,8.30,16.07,16.40,17.33,15.46,16.79,1.89,17.95,18.54,13.14,20.38,18.76,20.79,20.36,19.90,17.56,23.14,
318.00,1.74,1.89,1.96,2.17,2.18,2.57,2.66,2.93,3.24,2.98,4.09,4.52,4.15,4.78,4.59,5.55,5.60,6.13,6.08,5.36,6.89,6.92,7.62,7.85,8.31,8.48,8.75,9.45,9.44,10.34,10.68,11.68,11.95,12.28,12.79,12.35,13.51,13.89,7.65,12.74,11.27,16.07,16.61,9.21,18.12,18.39,19.32,17.41,18.98,2.13,20.30,20.61,14.89,22.60,21.02,23.20,22.77,22.32,19.57,25.84,
319.00,1.82,1.98,2.13,2.31,2.32,2.74,2.93,3.16,3.46,3.27,4.22,4.77,4.51,5.08,4.92,5.99,6.08,6.65,6.62,5.81,7.50,7.62,8.43,8.44,9.01,9.28,9.64,10.34,10.45,11.30,11.84,12.90,13.20,13.36,14.08,13.61,14.79,15.19,8.53,14.08,12.38,17.62,18.46,10.12,19.91,20.30,21.14,19.17,20.95,2.36,22.30,22.64,16.31,24.72,23.07,25.49,25.06,24.38,21.44,28.48,
320.00,1.91,2.18,2.31,2.54,2.46,2.97,3.18,3.47,3.76,3.68,4.43,5.07,5.00,5.60,5.33,6.41,6.51,7.40,7.20,6.29,8.19,8.52,9.17,9.32,9.83,10.27,10.59,11.36,11.67,12.52,12.99,14.03,14.39,14.60,15.66,15.03,16.20,16.67,9.39,15.50,13.64,19.36,20.47,11.17,21.94,22.33,23.34,21.00,22.92,2.60,24.37,25.03,17.86,26.99,25.46,27.94,27.46,26.76,23.60,31.34,
