Date,2024/11/15,
Time,18:00:00,
Memo,EKO 711 DNI,
Sensor,MS-711,
Exposure Time(msec),5000,
Sensor Temp.(deg),24.5,
Power(V),5.9,
Wavelength(nm),Irradiance(W/m2/um),
300.00,0.00,
301.00,0.00,
302.00,0.00,
303.00,0.00,
304.00,0.01,
305.00,0.01,
306.00,0.02,
307.00,-0.01,
308.00,-0.01,
309.00,-0.01,
310.00,-0.01,
311.00,-0.02,
312.00,-0.01,
313.00,-0.01,
314.00,-0.01,
315.00,-0.00,
316.00,-0.02,
317.00,-0.02,
318.00,-0.01,
319.00,-0.01,
320.00,0.01,
321.00,0.01,
322.00,0.01,
323.00,0.01,
324.00,0.01,
325.00,0.01,
326.00,0.00,
327.00,0.01,
328.00,0.00,
329.00,0.00,
330.00,-0.01,
331.00,-0.01,
332.00,-0.03,
333.00,-0.03,
334.00,-0.02,
335.00,-0.02,
336.00,-0.02,
337.00,-0.01,
338.00,-0.01,
339.00,-0.01,
340.00,-0.01,
341.00,-0.01,
342.00,-0.01,
343.00,-0.01,
344.00,-0.01,
345.00,-0.01,
346.00,-0.00,
347.00,0.00,
348.00,0.00,
349.00,0.00,
350.00,0.00,
351.00,-0.01,
352.00,-0.01,
353.00,-0.01,
354.00,-0.00,
355.00,-0.00,
356.00,0.00,
357.00,0.00,
358.00,-0.01,
359.00,-0.02,
360.00,-0.03,
361.00,-0.02,
362.00,-0.01,
363.00,-0.01,
364.00,0.00,
365.00,0.01,
366.00,0.01,
367.00,0.01,
368.00,0.01,
369.00,0.01,
370.00,0.01,
371.00,0.01,
372.00,0.01,
373.00,0.01,
374.00,0.01,
375.00,0.01,
376.00,0.01,
377.00,0.00,
378.00,0.01,
379.00,0.00,
380.00,0.00,
381.00,-0.01,
382.00,-0.00,
383.00,-0.00,
384.00,0.00,
385.00,0.01,
386.00,0.01,
387.00,0.01,
388.00,0.00,
389.00,0.00,
390.00,-0.00,
391.00,-0.00,
392.00,0.00,
393.00,0.00,
394.00,0.01,
395.00,0.00,
396.00,0.00,
397.00,0.01,
398.00,0.00,
399.00,0.00,
400.00,-0.00,
401.00,-0.00,
402.00,-0.00,
403.00,0.00,
404.00,0.00,
405.00,-0.00,
406.00,-0.00,
407.00,-0.01,
408.00,-0.01,
409.00,-0.02,
410.00,-0.02,
411.00,-0.01,
412.00,-0.01,
413.00,0.00,
414.00,-0.00,
415.00,0.00,
416.00,0.00,
417.00,0.01,
418.00,0.01,
419.00,0.00,
420.00,0.02,
421.00,0.02,
422.00,0.02,
423.00,0.01,
424.00,0.01,
425.00,0.00,
426.00,0.00,
427.00,0.01,
428.00,0.01,
429.00,0.01,
430.00,0.01,
431.00,0.01,
432.00,0.01,
433.00,0.01,
434.00,0.02,
435.00,0.02,
436.00,0.03,
437.00,0.01,
438.00,-0.00,
439.00,-0.03,
440.00,-0.05,
441.00,-0.04,
442.00,-0.04,
443.00,-0.01,
444.00,0.00,
445.00,0.02,
446.00,0.03,
447.00,0.03,
448.00,0.02,
449.00,0.01,
450.00,0.01,
451.00,0.02,
452.00,0.00,
453.00,0.01,
454.00,0.03,
455.00,0.03,
456.00,0.02,
457.00,0.02,
458.00,0.01,
459.00,-0.01,
460.00,-0.03,
461.00,-0.04,
462.00,-0.04,
463.00,-0.04,
464.00,-0.01,
465.00,-0.04,
466.00,-0.03,
467.00,-0.03,
468.00,0.01,
469.00,0.01,
470.00,0.00,
471.00,0.01,
472.00,0.01,
473.00,0.00,
474.00,-0.01,
475.00,0.02,
476.00,0.04,
477.00,0.07,
478.00,0.07,
479.00,0.05,
480.00,0.03,
481.00,0.00,
482.00,-0.01,
483.00,-0.02,
484.00,-0.00,
485.00,0.01,
486.00,0.00,
487.00,0.00,
488.00,-0.00,
489.00,-0.02,
490.00,-0.03,
491.00,-0.01,
492.00,0.02,
493.00,0.01,
494.00,0.01,
495.00,0.03,
496.00,0.05,
497.00,0.05,
498.00,0.02,
499.00,0.04,
500.00,0.00,
501.00,-0.01,
502.00,-0.04,
503.00,-0.01,
504.00,0.01,
505.00,0.02,
506.00,0.04,
507.00,0.01,
508.00,0.03,
509.00,-0.00,
510.00,-0.01,
511.00,-0.02,
512.00,0.01,
513.00,-0.01,
514.00,-0.02,
515.00,0.01,
516.00,-0.02,
517.00,-0.02,
518.00,-0.01,
519.00,0.02,
520.00,0.02,
521.00,0.01,
522.00,0.01,
523.00,0.01,
524.00,0.01,
525.00,-0.00,
526.00,-0.00,
527.00,0.02,
528.00,0.02,
529.00,0.03,
530.00,-0.01,
531.00,-0.04,
532.00,-0.07,
533.00,-0.08,
534.00,-0.07,
535.00,-0.07,
536.00,-0.02,
537.00,0.00,
538.00,0.04,
539.00,0.02,
540.00,0.05,
541.00,0.04,
542.00,0.04,
543.00,0.05,
544.00,0.03,
545.00,0.00,
546.00,0.00,
547.00,-0.00,
548.00,-0.04,
549.00,-0.05,
550.00,-0.02,
551.00,0.01,
552.00,0.02,
553.00,0.03,
554.00,0.02,
555.00,0.00,
556.00,-0.02,
557.00,-0.03,
558.00,-0.05,
559.00,-0.03,
560.00,-0.01,
561.00,-0.02,
562.00,-0.02,
563.00,-0.03,
564.00,-0.02,
565.00,-0.03,
566.00,-0.01,
567.00,-0.00,
568.00,0.05,
569.00,0.04,
570.00,-0.00,
571.00,-0.02,
572.00,-0.05,
573.00,-0.08,
574.00,-0.08,
575.00,-0.08,
576.00,-0.05,
577.00,-0.04,
578.00,-0.02,
579.00,-0.04,
580.00,-0.02,
581.00,-0.06,
582.00,-0.04,
583.00,-0.02,
584.00,-0.02,
585.00,-0.01,
586.00,-0.02,
587.00,-0.00,
588.00,-0.01,
589.00,-0.01,
590.00,-0.03,
591.00,-0.02,
592.00,-0.04,
593.00,-0.04,
594.00,-0.05,
595.00,-0.02,
596.00,0.01,
597.00,0.03,
598.00,0.02,
599.00,0.06,
600.00,0.06,
601.00,0.06,
602.00,0.02,
603.00,-0.01,
604.00,-0.04,
605.00,-0.05,
606.00,-0.08,
607.00,-0.03,
608.00,-0.03,
609.00,-0.02,
610.00,0.01,
611.00,-0.01,
612.00,-0.04,
613.00,-0.06,
614.00,-0.08,
615.00,-0.09,
616.00,-0.06,
617.00,-0.07,
618.00,-0.07,
619.00,-0.08,
620.00,-0.10,
621.00,-0.09,
622.00,-0.07,
623.00,-0.04,
624.00,0.01,
625.00,0.01,
626.00,-0.00,
627.00,0.01,
628.00,0.01,
629.00,0.02,
630.00,0.05,
631.00,0.07,
632.00,0.09,
633.00,0.06,
634.00,0.06,
635.00,0.06,
636.00,0.04,
637.00,0.02,
638.00,0.01,
639.00,-0.03,
640.00,-0.02,
641.00,-0.03,
642.00,-0.04,
643.00,-0.03,
644.00,-0.00,
645.00,0.00,
646.00,0.02,
647.00,0.05,
648.00,0.04,
649.00,0.06,
650.00,0.04,
651.00,0.02,
652.00,-0.01,
653.00,-0.01,
654.00,-0.01,
655.00,-0.01,
656.00,-0.01,
657.00,0.04,
658.00,0.03,
659.00,0.03,
660.00,0.03,
661.00,0.03,
662.00,-0.02,
663.00,0.01,
664.00,0.02,
665.00,0.03,
666.00,0.03,
667.00,0.00,
668.00,-0.00,
669.00,-0.06,
670.00,-0.08,
671.00,-0.06,
672.00,-0.04,
673.00,-0.02,
674.00,-0.01,
675.00,0.02,
676.00,0.05,
677.00,0.07,
678.00,0.06,
679.00,0.06,
680.00,0.02,
681.00,-0.00,
682.00,-0.02,
683.00,-0.03,
684.00,-0.03,
685.00,0.01,
686.00,-0.01,
687.00,-0.02,
