Date,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,2024/11/15,
Time,10:00:00,10:01:00,10:03:00,10:04:00,10:05:00,10:06:00,10:07:00,10:08:00,10:09:00,10:10:00,10:11:00,10:12:00,10:13:00,10:14:00,10:15:00,10:16:00,10:17:00,10:18:00,10:19:00,10:20:00,10:22:00,10:23:00,10:24:00,10:25:00,10:26:00,10:27:00,10:30:00,10:31:00,10:34:00,10:35:00,10:36:00,10:37:00,10:38:00,10:39:00,10:40:00,10:41:00,10:42:00,10:43:00,10:44:00,10:45:00,10:46:00,10:47:00,10:48:00,10:49:00,10:50:00,10:51:00,10:52:00,10:53:00,10:54:00,10:55:00,10:56:00,10:57:00,10:58:00,10:59:00,
Memo,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,EKO 711,
Sensor,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,MS-711,
Exposure Time(msec),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Sensor Temp.(deg),24.5,24.6,24.4,24.5,24.6,24.6,24.6,24.6,24.6,24.5,24.6,24.5,24.6,24.6,24.5,24.6,24.5,24.3,24.4,24.5,24.6,24.6,24.6,24.6,24.4,24.4,24.2,24.7,24.5,24.5,24.5,24.6,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.6,24.5,24.5,24.6,24.6,24.4,24.5,24.5,24.5,24.6,24.6,24.5,24.6,24.6,
Power(V),5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,
Wavelength(nm),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),Irradiance(W/m2/um),
300.00,9.10,9.25,9.02,10.45,8.51,7.63,7.96,8.15,7.71,7.44,7.08,7.15,7.27,6.84,6.62,6.91,7.11,7.08,7.38,6.92,6.81,6.93,7.04,6.92,6.92,7.02,6.35,6.79,4.79,5.41,5.48,5.08,4.82,4.80,3.76,4.08,4.24,3.93,3.51,3.25,3.38,3.43,3.53,3.78,3.46,3.43,3.44,3.39,3.32,3.30,3.56,3.55,3.45,3.45,
301.00,10.69,10.71,10.40,12.13,10.13,9.00,9.14,9.43,8.98,8.64,8.40,8.35,8.21,8.04,8.18,7.73,8.14,8.08,8.29,7.88,7.83,8.07,8.04,8.35,8.08,8.33,7.04,7.56,5.86,6.23,6.07,5.85,5.63,5.21,4.38,4.79,4.85,4.42,4.04,3.76,4.01,3.98,4.12,4.11,3.89,3.77,3.98,3.95,3.66,3.80,4.00,3.98,3.91,4.03,
302.00,12.68,12.75,12.07,14.11,11.74,10.97,10.92,10.98,10.42,10.25,9.86,10.02,9.68,9.90,9.59,9.24,9.42,9.62,9.98,9.23,9.29,9.19,9.61,9.75,9.52,9.75,8.50,9.07,6.96,7.08,6.87,6.91,6.52,6.40,5.24,5.61,5.69,5.21,4.71,4.51,4.59,4.73,4.95,4.71,4.50,4.36,4.68,4.59,4.17,4.45,4.59,4.62,4.59,4.62,
303.00,14.84,15.01,14.50,16.81,14.23,13.19,13.09,13.34,12.58,12.22,11.84,11.62,11.81,11.87,11.67,11.27,11.48,11.33,12.06,11.47,11.01,10.76,11.44,11.59,11.53,11.94,10.32,10.75,8.49,8.36,8.18,8.02,7.95,7.49,6.41,6.70,6.74,6.19,5.78,5.33,5.48,5.75,5.85,5.83,5.32,5.33,5.47,5.38,5.07,5.37,5.47,5.33,5.61,5.33,
