Datetime_UTC,DHI-MS80,MS80-temp,DNI-MS57
2024-11-22 00:00:00,0.62,4.84,3.79
2024-11-22 00:00:10,0.74,4.82,4.65
2024-11-22 00:00:20,0.38,4.82,3.51
2024-11-22 00:00:30,0.44,4.82,6.03
2024-11-22 00:00:40,0.56,4.82,2.78
2024-11-22 00:00:50,0.71,4.81,3.79
2024-11-22 00:01:00,0.89,4.81,3.91
2024-11-22 00:01:10,0.33,4.79,4.05
2024-11-22 00:01:20,0.23,4.79,3.5
2024-11-22 00:01:30,0.36,4.79,3.82
2024-11-22 00:01:40,0.53,4.79,2.39
2024-11-22 00:01:50,0.17,4.81,4.01
2024-11-22 00:02:00,0.0,4.81,3.19
2024-11-22 00:02:10,0.0,4.84,2.45
2024-11-22 00:02:20,0.0,4.86,2.14
2024-11-22 00:02:30,0.0,4.86,2.78
2024-11-22 00:02:40,0.0,4.87,3.36
2024-11-22 00:02:50,0.3,4.89,2.93
2024-11-22 00:03:00,0.0,4.9,4.01
2024-11-22 00:03:10,0.0,4.92,3.69
2024-11-22 00:03:20,0.0,4.93,3.69
2024-11-22 00:03:30,0.0,4.95,3.49
2024-11-22 00:03:40,0.0,4.97,3.45
2024-11-22 00:03:50,0.0,4.98,2.63
2024-11-22 00:04:00,0.0,5.0,3.49
2024-11-22 00:04:10,0.0,5.01,3.97
2024-11-22 00:04:20,0.0,5.03,4.38
2024-11-22 00:04:30,0.0,5.04,4.16
2024-11-22 00:04:40,0.0,5.04,3.72
2024-11-22 00:04:50,0.0,5.06,2.88
2024-11-22 00:05:00,0.07,5.08,3.98
2024-11-22 00:05:10,0.22,5.08,2.45
2024-11-22 00:05:20,0.07,5.09,4.2
2024-11-22 00:05:30,0.1,5.09,3.03
2024-11-22 00:05:40,0.23,5.09,4.19
2024-11-22 00:05:50,0.18,5.11,5.01
2024-11-22 00:06:00,0.18,5.11,2.5
2024-11-22 00:06:10,0.27,5.11,3.87
2024-11-22 00:06:20,0.3,5.11,4.35
2024-11-22 00:06:30,0.36,5.11,4.27
2024-11-22 00:06:40,0.47,5.09,4.61
2024-11-22 00:06:50,0.56,5.09,1.76
2024-11-22 00:07:00,0.65,5.09,3.39
2024-11-22 00:07:10,0.77,5.08,4.21
2024-11-22 00:07:20,0.65,5.08,3.69
2024-11-22 00:07:30,0.71,5.06,3.91
2024-11-22 00:07:40,0.74,5.06,4.2
2024-11-22 00:07:50,0.83,5.04,3.29
2024-11-22 00:08:00,0.74,5.04,4.05
2024-11-22 00:08:10,0.56,5.04,3.03
2024-11-22 00:08:20,0.71,5.03,3.82
2024-11-22 00:08:30,0.77,5.01,3.87
2024-11-22 00:08:40,0.74,5.01,6.02
2024-11-22 00:08:50,0.83,5.01,3.24
2024-11-22 00:09:00,0.74,5.0,4.42
2024-11-22 00:09:10,0.83,5.0,3.55
2024-11-22 00:09:20,0.53,4.98,3.82
2024-11-22 00:09:30,0.47,4.98,4.55
2024-11-22 00:09:40,0.5,4.98,3.32
2024-11-22 00:09:50,0.5,4.98,4.1
2024-11-22 00:10:00,0.33,4.98,4.15
2024-11-22 00:10:10,0.74,4.97,5.28
2024-11-22 00:10:20,0.44,4.97,4.96
2024-11-22 00:10:30,0.3,4.97,4.05
2024-11-22 00:10:40,0.24,4.97,5.26
2024-11-22 00:10:50,0.2,4.97,4.5
2024-11-22 00:11:00,0.33,4.97,4.7
2024-11-22 00:11:10,0.36,4.97,2.73
2024-11-22 00:11:20,0.65,4.95,4.05
2024-11-22 00:11:30,0.47,4.95,2.45
2024-11-22 00:11:40,0.59,4.95,2.73
2024-11-22 00:11:50,0.53,4.95,4.0
2024-11-22 00:12:00,0.71,4.93,4.37
2024-11-22 00:12:10,0.74,4.93,4.72
2024-11-22 00:12:20,0.65,4.92,4.38
2024-11-22 00:12:30,0.89,4.92,3.47
2024-11-22 00:12:40,0.8,4.9,5.58
2024-11-22 00:12:50,0.8,4.9,4.5
2024-11-22 00:13:00,0.92,4.89,3.7
2024-11-22 00:13:10,0.98,4.87,2.43
2024-11-22 00:13:20,1.01,4.86,4.61
2024-11-22 00:13:30,0.98,4.86,6.31
2024-11-22 00:13:40,1.04,4.84,2.93
2024-11-22 00:13:50,0.95,4.82,4.78
2024-11-22 00:14:00,0.98,4.81,4.55
2024-11-22 00:14:10,0.86,4.81,5.11
2024-11-22 00:14:20,0.89,4.79,4.4
2024-11-22 00:14:30,0.8,4.78,2.56
2024-11-22 00:14:40,0.86,4.78,2.84
2024-11-22 00:14:50,0.68,4.78,5.35
2024-11-22 00:15:00,0.5,4.76,1.77
2024-11-22 00:15:10,0.68,4.76,5.01
2024-11-22 00:15:20,0.56,4.76,4.55
2024-11-22 00:15:30,0.47,4.75,5.46
2024-11-22 00:15:40,0.44,4.75,6.83
2024-11-22 00:15:50,0.36,4.75,4.72
2024-11-22 00:16:00,0.41,4.75,5.69
2024-11-22 00:16:10,0.33,4.75,2.88
2024-11-22 00:16:20,0.38,4.75,6.02
2024-11-22 00:16:30,0.33,4.75,3.91
2024-11-22 00:16:40,0.33,4.75,3.64
2024-11-22 00:16:50,0.38,4.75,3.51
2024-11-22 00:17:00,0.3,4.75,2.28
2024-11-22 00:17:10,0.27,4.75,3.13
2024-11-22 00:17:20,0.26,4.75,3.97
2024-11-22 00:17:30,0.5,4.75,3.84
2024-11-22 00:17:40,0.38,4.73,4.42
2024-11-22 00:17:50,0.44,4.73,4.1
2024-11-22 00:18:00,0.47,4.73,5.29
2024-11-22 00:18:10,0.41,4.73,4.49
2024-11-22 00:18:20,0.36,4.73,3.36
2024-11-22 00:18:30,0.44,4.73,4.69
2024-11-22 00:18:40,0.41,4.73,3.26
2024-11-22 00:18:50,0.33,4.73,4.5
2024-11-22 00:19:00,0.2,4.73,3.77
2024-11-22 00:19:10,0.23,4.73,3.73
2024-11-22 00:19:20,0.21,4.73,2.82
2024-11-22 00:19:30,0.13,4.75,3.19
2024-11-22 00:19:40,0.13,4.75,4.1
2024-11-22 00:19:50,0.13,4.75,4.81
2024-11-22 00:20:00,0.0,4.76,5.08
2024-11-22 00:20:10,0.33,4.76,2.35
2024-11-22 00:20:20,0.36,4.76,4.1
2024-11-22 00:20:30,0.53,4.76,4.55
2024-11-22 00:20:40,0.38,4.76,3.12
2024-11-22 00:20:50,0.33,4.75,4.15
2024-11-22 00:21:00,0.65,4.75,3.49
2024-11-22 00:21:10,0.59,4.75,2.64
2024-11-22 00:21:20,0.56,4.75,4.42
2024-11-22 00:21:30,0.56,4.73,4.55
2024-11-22 00:21:40,0.5,4.73,3.59
2024-11-22 00:21:50,0.47,4.73,4.82
2024-11-22 00:22:00,0.53,4.73,2.16
2024-11-22 00:22:10,0.47,4.71,3.13
2024-11-22 00:22:20,0.56,4.71,4.6
2024-11-22 00:22:30,0.38,4.71,4.7
2024-11-22 00:22:40,0.33,4.71,4.6
2024-11-22 00:22:50,0.44,4.71,3.24
2024-11-22 00:23:00,0.5,4.7,4.2
2024-11-22 00:23:10,0.38,4.7,1.37
2024-11-22 00:23:20,0.41,4.7,3.97
2024-11-22 00:23:30,0.41,4.7,2.54
2024-11-22 00:23:40,0.38,4.7,4.84
2024-11-22 00:23:50,0.38,4.7,2.58
2024-11-22 00:24:00,0.18,4.7,2.9
2024-11-22 00:24:10,0.16,4.7,4.49
2024-11-22 00:24:20,0.2,4.7,3.82
2024-11-22 00:24:30,0.19,4.7,4.15
2024-11-22 00:24:40,0.12,4.71,4.86
2024-11-22 00:24:50,0.12,4.71,4.14
2024-11-22 00:25:00,0.15,4.71,6.03
2024-11-22 00:25:10,0.33,4.71,2.12
2024-11-22 00:25:20,0.3,4.71,4.1
2024-11-22 00:25:30,0.41,4.71,4.03
2024-11-22 00:25:40,0.5,4.7,3.06
2024-11-22 00:25:50,0.41,4.7,5.41
2024-11-22 00:26:00,0.5,4.7,5.64
2024-11-22 00:26:10,0.56,4.7,5.26
2024-11-22 00:26:20,0.2,4.7,3.7
2024-11-22 00:26:30,0.12,4.7,4.67
2024-11-22 00:26:40,0.38,4.7,5.41
2024-11-22 00:26:50,0.44,4.7,4.29
2024-11-22 00:27:00,0.38,4.7,4.68
2024-11-22 00:27:10,0.38,4.7,4.95
2024-11-22 00:27:20,0.47,4.68,4.96
2024-11-22 00:27:30,0.47,4.68,4.48
2024-11-22 00:27:40,0.53,4.68,5.46
2024-11-22 00:27:50,0.56,4.68,3.44
2024-11-22 00:28:00,0.47,4.68,3.58
2024-11-22 00:28:10,0.56,4.67,5.06
2024-11-22 00:28:20,0.41,4.67,3.09
2024-11-22 00:28:30,0.38,4.67,3.13
2024-11-22 00:28:40,0.33,4.67,6.27
2024-11-22 00:28:50,0.44,4.67,6.22
2024-11-22 00:29:00,0.41,4.67,4.2
2024-11-22 00:29:10,0.33,4.67,2.28
2024-11-22 00:29:20,0.33,4.67,3.64
2024-11-22 00:29:30,0.56,4.67,5.46
2024-11-22 00:29:40,0.5,4.65,3.41
2024-11-22 00:29:50,0.36,4.65,4.05
2024-11-22 00:30:00,0.5,4.65,4.95
2024-11-22 00:30:10,0.62,4.64,3.19
2024-11-22 00:30:20,0.53,4.64,4.25
2024-11-22 00:30:30,0.65,4.64,4.44
2024-11-22 00:30:40,0.53,4.64,4.2
2024-11-22 00:30:50,0.59,4.62,6.02
2024-11-22 00:31:00,0.68,4.62,2.79
2024-11-22 00:31:10,0.62,4.62,3.71
2024-11-22 00:31:20,0.47,4.61,4.65
2024-11-22 00:31:30,0.53,4.61,4.2
2024-11-22 00:31:40,0.5,4.61,4.68
2024-11-22 00:31:50,0.59,4.59,5.77
2024-11-22 00:32:00,0.68,4.62,2.73
2024-11-22 00:32:10,0.38,4.59,3.12
2024-11-22 00:32:20,0.33,4.59,6.42
2024-11-22 00:32:30,0.15,4.59,4.89
2024-11-22 00:32:40,0.27,4.59,4.15
2024-11-22 00:32:50,0.3,4.59,3.74
2024-11-22 00:33:00,0.24,4.59,3.81
2024-11-22 00:33:10,0.21,4.59,4.25
2024-11-22 00:33:20,0.21,4.59,4.1
2024-11-22 00:33:30,0.24,4.59,3.64
2024-11-22 00:33:40,0.39,4.59,2.45
2024-11-22 00:33:50,0.24,4.59,4.78
2024-11-22 00:34:00,0.3,4.59,5.82
2024-11-22 00:34:10,0.38,4.59,4.87
2024-11-22 00:34:20,0.3,4.59,4.03
2024-11-22 00:34:30,0.41,4.59,3.34
2024-11-22 00:34:40,0.41,4.57,5.33
2024-11-22 00:34:50,0.74,4.57,4.48
2024-11-22 00:35:00,0.41,4.57,3.53
2024-11-22 00:35:10,0.47,4.57,3.74
2024-11-22 00:35:20,0.47,4.56,4.32
2024-11-22 00:35:30,0.56,4.56,4.88
2024-11-22 00:35:40,0.62,4.56,4.44
2024-11-22 00:35:50,0.5,4.56,4.75
2024-11-22 00:36:00,0.74,4.54,3.09
2024-11-22 00:36:10,0.65,4.56,4.73
2024-11-22 00:36:20,0.77,4.53,3.34
2024-11-22 00:36:30,0.56,4.53,5.06
2024-11-22 00:36:40,0.24,4.53,4.25
2024-11-22 00:36:50,0.5,4.53,3.84
