sza_deg,mu0_cos_sza,total_direct_horiz,total_diffuse_down_horiz,total_diffuse_up_horiz,total_global_horiz,dni_reconstructed,ghi_from_identity,ghi_check_error,n_points
15.0,0.9659258262890683,841646.4138985,43085.9898145,1.6358238725671344e-11,884732.4037129999,871336.4846366829,884732.403713,-1.1641532182693481e-10,801
15.5,0.963630453208623,839411.633018,43067.392657,-1.394414550097227e-11,882479.0256749999,871092.8865136956,882479.025675,-1.1641532182693481e-10,801
16.0,0.9612616959383189,837105.6155415,43048.137365500006,3.3800669466861346e-11,880153.752907,870840.4996044016,880153.752907,0.0,801
16.5,0.958819734868193,834728.5750785,43028.216520999995,5.743486484171359e-12,877756.7915995,870579.259815974,877756.7915995,0.0,801
17.0,0.9563047559630354,832280.5908165,43007.625319499995,-1.1269629916385209e-11,875288.2161360001,870308.9529010672,875288.216136,1.1641532182693481e-10,801
17.5,0.9537169507482269,829762.0334465,42986.3576585,-7.500559529317205e-12,872748.3911049999,870029.6590047186,872748.3911049999,0.0,801
18.0,0.9510565162951535,827173.067929,42964.410297,-3.504681640940908e-11,870137.478226,869741.2338346177,870137.478226,0.0,801
18.5,0.9483236552061993,824513.8381035,42941.7734525,8.4352176832192e-11,867455.6115560001,869443.5001984858,867455.611556,1.1641532182693481e-10,801
19.0,0.9455185755993168,821784.5936895,42918.444191,7.267470885005616e-12,864703.0378805,869136.3817666003,864703.0378805,0.0,801
19.5,0.9426414910921784,818985.67258,42894.4148385,-1.0134325954635048e-11,861880.0874184999,868819.8857352372,861880.0874185,-1.1641532182693481e-10,801
20.0,0.9396926207859084,816117.1958315,42869.6781415,-8.009844112412002e-12,858986.8739730001,868493.7795392534,858986.873973,1.1641532182693481e-10,801
20.5,0.9366721892483976,813179.4542105,42844.228176,1.20547685329136e-11,856023.6823865,868157.9997192078,856023.6823865,0.0,801
21.0,0.9335804264972017,810172.6438635,42818.0572995,3.4467828950977237e-11,852990.701163,867812.3714560637,852990.701163,0.0,801
21.5,0.9304175679820246,807097.1726895,42791.1586935,3.3572091611334943e-12,849888.3313829999,867456.9359647913,849888.331383,-1.1641532182693481e-10,801
22.0,0.9271838545667874,803953.1118350001,42763.524431,8.868850975185483e-12,846716.6362660001,867091.3625978043,846716.6362660001,0.0,801
22.5,0.9238795325112867,800740.8099959999,42735.14519449999,2.8609974343405996e-12,843475.9551905,866715.6071954841,843475.9551904999,1.1641532182693481e-10,801
23.0,0.9205048534524404,797460.625522,42706.014839,1.3278948868968641e-11,840166.6403610001,866329.6261079435,840166.640361,1.1641532182693481e-10,801
23.5,0.917060074385124,794112.7162625,42676.123795,3.396358487829557e-11,836788.8400574999,865933.1470677551,836788.8400575,-1.1641532182693481e-10,801
24.0,0.9135454576426009,790697.3933605,42645.463865,-3.4951349060404386e-12,833342.8572255,865526.0520925695,833342.8572255,0.0,801
24.5,0.9099612708765432,787215.0469445,42614.0263745,2.656729427643762e-11,829829.073319,865108.2987149499,829829.073319,0.0,801
25.0,0.9063077870366499,783665.8698585001,42581.80090450001,1.4149099344186002e-11,826247.670763,864679.6166464027,826247.6707630001,-1.1641532182693481e-10,801
25.5,0.9025852843498606,780050.1613115,42548.777195500006,1.1589644327907022e-11,822598.938507,864239.8395331432,822598.938507,0.0,801
26.0,0.898794046299167,776368.33585,42514.947797,3.534055288992484e-11,818883.283647,863788.9169902032,818883.2836470001,-1.1641532182693481e-10,801
26.5,0.8949343616020251,772620.596587,42480.299779500005,1.9438672172351057e-11,815100.8963665001,863326.5519092698,815100.8963665,1.1641532182693481e-10,801
27.0,0.8910065241883679,768807.3545555,42444.824144,5.73522386078612e-12,811252.1786994999,862852.6657039003,811252.1786994999,0.0,801
27.5,0.8870108331782217,764928.864232,42408.5084335,-4.1089026026631935e-14,807337.3726655,862366.9921721321,807337.3726654999,1.1641532182693481e-10,801
28.0,0.882947592858927,760985.526108,42371.3423325,-1.742435156283455e-11,803356.8684405,861869.4158777626,803356.8684405,0.0,801
28.5,0.8788171126619654,756977.7344675,42333.314858,2.437777538036584e-11,799311.0493255,861359.8023536319,799311.0493255,0.0,801
29.0,0.8746197071393957,752905.671715,42294.4107285,-2.1621032877987164e-11,795200.0824434999,860837.7624802397,795200.0824434999,0.0,801
29.5,0.8703556959398997,748769.823035,42254.6205645,1.1271203834273302e-11,791024.4435995,860303.2375474963,791024.4435995,0.0,801
30.0,0.8660254037844387,744570.4449044999,42213.93033349999,-4.2874703064042104e-11,786784.375238,859755.8935925048,786784.375238,0.0,801
30.5,0.8616291604415258,740308.0678975,42172.326205499994,-9.671612514057102e-12,782480.3941029999,859195.6979707406,782480.3941029999,0.0,801
31.0,0.8571673007021123,735982.884546,42129.794525,-4.0339301504932986e-12,778112.679071,858622.2128902384,778112.6790710001,-1.1641532182693481e-10,801
31.5,0.8526401643540923,731595.3784594999,42086.3220415,2.91406027597511e-11,773681.700501,858035.3225721094,773681.7005009999,1.1641532182693481e-10,801
32.0,0.848048096156426,727145.9258435,42041.8912865,2.320627867531146e-11,769187.81713,857434.7718473916,769187.81713,0.0,801
32.5,0.8433914458128857,722634.87731,41996.48945949999,3.006779688839823e-11,764631.3667695001,856820.2593203954,764631.3667695,1.1641532182693481e-10,801
33.0,0.838670567945424,718062.6975255,41950.100462999995,2.951626971813132e-11,760012.7979885,856191.602484168,760012.7979885,0.0,801
33.5,0.8338858220671682,713429.783101,41902.68937950001,1.826684195560239e-13,755332.4724804999,855548.5226172059,755332.4724805,-1.1641532182693481e-10,801
34.0,0.8290375725550417,708736.4203695,41854.2188985,-1.2138123019636793e-11,750590.639268,854890.5910080997,750590.6392679999,1.1641532182693481e-10,801
34.5,0.8241261886220157,703983.1848490001,41804.78895649999,-2.689868008472359e-13,745787.9738055,854217.7090939176,745787.9738055001,-1.1641532182693481e-10,801
35.0,0.8191520442889918,699170.4497535,41754.3078165,2.6469771015345497e-12,740924.75757,853529.5182719913,740924.75757,0.0,801
35.5,0.8141155183563192,694298.5790255,41702.739203,6.9214557111392736e-12,736001.3182285001,852825.6290056638,736001.3182285,1.1641532182693481e-10,801
36.0,0.8090169943749475,689368.080005,41650.04575899999,1.7986916022468477e-12,731018.125764,852105.8084046935,731018.125764,0.0,801
36.5,0.8038568606172173,684379.360267,41596.2101005,5.1110162890877405e-12,725975.5703675,851369.6825844342,725975.5703675001,-1.1641532182693481e-10,801
37.0,0.7986355100472928,679332.8802014999,41541.282368,3.2223644472219766e-11,720874.1625695,850616.9230582695,720874.1625694999,1.1641532182693481e-10,801
